ocel_IoTobject_id;ocel_object_id;ocel_qualifier;ocel_time
WS13;tr91;Weight sensor measuring empty truck weight;2024-05-01 22:53:20
WS17;tr70;Weight sensor measuring empty truck weight;2024-05-02 00:23:20
WS05;tr81;Weight sensor measuring empty truck weight;2024-05-02 00:23:20
null;Silo29;Temperature sensor measuring silo temperature;2024-05-02 05:16:40
null;Silo29;Humidity sensor measuring silo humidity;2024-05-02 05:16:40
null;Silo29;1st Grain Termperature sensor located in the silo;2024-05-02 05:16:40
null;Silo29;2nd Grain Termperature sensor located in the silo;2024-05-02 05:16:40
null;Silo29;3rd Grain Termperature sensor located in the silo;2024-05-02 05:16:40
null;Silo29;Temperature sensor measuring silo temperature;2024-05-02 06:46:40
null;Silo29;Humidity sensor measuring silo humidity;2024-05-02 06:46:40
null;Silo29;1st Grain Termperature sensor located in the silo;2024-05-02 06:46:40
null;Silo29;2nd Grain Termperature sensor located in the silo;2024-05-02 06:46:40
null;Silo29;3rd Grain Termperature sensor located in the silo;2024-05-02 06:46:40
WS01;tr91;Weight sensor measuring loaded truck weight;2024-05-02 11:06:40
WS06;tr70;Weight sensor measuring loaded truck weight;2024-05-02 12:36:40
WS06;tr3;Weight sensor measuring empty truck weight;2024-05-03 17:46:40
WS17;tr79;Weight sensor measuring empty truck weight;2024-05-03 19:16:40
WS04;tr67;Weight sensor measuring empty truck weight;2024-05-03 19:16:40
WS05;tr52;Weight sensor measuring empty truck weight;2024-05-03 19:16:40
WS11;tr5;Weight sensor measuring empty truck weight;2024-05-03 19:16:40
null;Silo41;Temperature sensor measuring silo temperature;2024-05-04 05:16:40
null;Silo41;Humidity sensor measuring silo humidity;2024-05-04 05:16:40
null;Silo41;1st Grain Termperature sensor located in the silo;2024-05-04 05:16:40
null;Silo41;2nd Grain Termperature sensor located in the silo;2024-05-04 05:16:40
null;Silo41;3rd Grain Termperature sensor located in the silo;2024-05-04 05:16:40
null;Silo41;Temperature sensor measuring silo temperature;2024-05-04 05:16:40
null;Silo41;Humidity sensor measuring silo humidity;2024-05-04 05:16:40
null;Silo41;1st Grain Termperature sensor located in the silo;2024-05-04 05:16:40
null;Silo41;2nd Grain Termperature sensor located in the silo;2024-05-04 05:16:40
null;Silo41;3rd Grain Termperature sensor located in the silo;2024-05-04 05:16:40
WS14;tr5;Weight sensor measuring loaded truck weight;2024-05-04 11:06:40
WS08;tr52;Weight sensor measuring loaded truck weight;2024-05-04 11:06:40
WS11;tr55;Weight sensor measuring empty truck weight;2024-05-05 08:16:40
WS14;tr62;Weight sensor measuring empty truck weight;2024-05-05 08:16:40
WS06;tr68;Weight sensor measuring empty truck weight;2024-05-05 08:16:40
WS09;tr22;Weight sensor measuring empty truck weight;2024-05-05 09:46:40
WS20;tr50;Weight sensor measuring empty truck weight;2024-05-05 09:46:40
WS01;tr100;Weight sensor measuring empty truck weight;2024-05-05 09:46:40
WS12;tr23;Weight sensor measuring empty truck weight;2024-05-05 11:16:40
null;Silo29;Temperature sensor measuring silo temperature;2024-05-05 19:40:00
null;Silo29;Humidity sensor measuring silo humidity;2024-05-05 19:40:00
null;Silo29;1st Grain Termperature sensor located in the silo;2024-05-05 19:40:00
null;Silo29;2nd Grain Termperature sensor located in the silo;2024-05-05 19:40:00
null;Silo29;3rd Grain Termperature sensor located in the silo;2024-05-05 19:40:00
null;Silo29;Temperature sensor measuring silo temperature;2024-05-05 21:10:00
null;Silo29;Humidity sensor measuring silo humidity;2024-05-05 21:10:00
null;Silo29;1st Grain Termperature sensor located in the silo;2024-05-05 21:10:00
null;Silo29;2nd Grain Termperature sensor located in the silo;2024-05-05 21:10:00
null;Silo29;3rd Grain Termperature sensor located in the silo;2024-05-05 21:10:00
WS01;tr68;Weight sensor measuring loaded truck weight;2024-05-06 01:30:00
WS03;tr22;Weight sensor measuring loaded truck weight;2024-05-06 03:00:00
WS05;tr26;Weight sensor measuring empty truck weight;2024-05-06 19:23:20
WS08;tr76;Weight sensor measuring empty truck weight;2024-05-06 20:53:20
WS12;tr19;Weight sensor measuring empty truck weight;2024-05-06 20:53:20
WS18;tr35;Weight sensor measuring empty truck weight;2024-05-06 20:53:20
null;Silo32;Temperature sensor measuring silo temperature;2024-05-07 03:16:40
null;Silo32;Humidity sensor measuring silo humidity;2024-05-07 03:16:40
null;Silo32;1st Grain Termperature sensor located in the silo;2024-05-07 03:16:40
null;Silo32;2nd Grain Termperature sensor located in the silo;2024-05-07 03:16:40
null;Silo32;3rd Grain Termperature sensor located in the silo;2024-05-07 03:16:40
WS07;tr35;Weight sensor measuring loaded truck weight;2024-05-07 09:06:40
WS07;tr57;Weight sensor measuring empty truck weight;2024-05-08 03:07:15
WS16;tr12;Weight sensor measuring empty truck weight;2024-05-08 03:07:15
WS14;tr37;Weight sensor measuring empty truck weight;2024-05-08 03:07:15
WS12;tr8;Weight sensor measuring empty truck weight;2024-05-08 03:07:15
WS04;tr41;Weight sensor measuring empty truck weight;2024-05-08 04:37:15
WS20;tr72;Weight sensor measuring empty truck weight;2024-05-08 04:37:15
WS19;tr52;Weight sensor measuring empty truck weight;2024-05-08 04:37:15
