ocel_id;ocel_time
trs_entrytr40;2024-05-01 21:30:00
trs_entrytr15;2024-05-01 23:00:00
trs_entrytr193;2024-05-01 23:00:00
trs_entrytr58;2024-05-03 15:00:00
trs_entrytr26;2024-05-03 16:30:00
trs_entrytr248;2024-05-03 16:30:00
trs_entrytr134;2024-05-03 16:30:00
trs_entrytr247;2024-05-03 16:30:00
trs_entrytr119;2024-05-05 05:30:00
trs_entrytr71;2024-05-05 05:30:00
trs_entrytr212;2024-05-05 07:00:00
trs_entrytr298;2024-05-05 07:00:00
trs_entrytr245;2024-05-05 07:00:00
trs_entrytr253;2024-05-05 08:30:00
trs_entrytr141;2024-05-05 08:30:00
trs_entrytr140;2024-05-06 18:00:00
trs_entrytr262;2024-05-06 19:30:00
trs_entrytr151;2024-05-06 19:30:00
trs_entrytr291;2024-05-06 19:30:00
trs_entrytr252;2024-05-07 22:57:15
trs_entrytr113;2024-05-07 22:57:15
trs_entrytr157;2024-05-08 00:27:15
trs_entrytr135;2024-05-08 00:27:15
trs_entrytr238;2024-05-08 00:27:15
trs_entrytr143;2024-05-08 01:57:15
trs_entrytr236;2024-05-08 01:57:15
trs_entrytr69;2024-05-08 23:00:00
trs_entrytr199;2024-05-08 23:00:00
trs_entrytr33;2024-05-08 23:00:00
trs_entrytr94;2024-05-09 00:30:00
trs_entrytr239;2024-05-09 00:30:00
trs_entrytr13;2024-05-09 00:30:00
trs_entrytr176;2024-05-09 19:00:00
trs_entrytr219;2024-05-09 19:00:00
trs_entrytr119;2024-05-09 20:30:00
trs_entrytr175;2024-05-09 20:30:00
trs_entrytr184;2024-05-09 20:30:00
trs_entrytr46;2024-05-09 20:30:00
trs_entrytr169;2024-05-11 20:30:00
trs_entrytr167;2024-05-11 22:00:00
trs_entrytr161;2024-05-11 22:00:00
trs_entrytr75;2024-05-11 22:00:00
trs_entrytr101;2024-05-11 22:00:00
trs_entrytr100;2024-05-13 18:30:00
trs_entrytr215;2024-05-13 20:00:00
trs_entrytr108;2024-05-13 20:00:00
trs_entrytr51;2024-05-13 20:00:00
trs_entrytr90;2024-05-13 20:00:00
trs_entrytr217;2024-05-13 21:30:00
trs_entrytr256;2024-05-14 22:00:00
trs_entrytr88;2024-05-14 22:00:00
trs_entrytr85;2024-05-14 23:30:00
trs_entrytr56;2024-05-14 23:30:00
trs_entrytr77;2024-05-14 23:30:00
trs_entrytr259;2024-05-14 23:30:00
trs_entrytr216;2024-05-14 23:30:00
trs_entrytr235;2024-05-14 23:30:00
trs_entrytr228;2024-05-14 23:30:00
trs_entrytr250;2024-05-15 01:00:00
trs_entrytr153;2024-05-18 14:30:00
trs_entrytr47;2024-05-18 14:30:00
trs_entrytr158;2024-05-18 14:30:00
trs_entrytr91;2024-05-18 16:00:00
trs_entrytr7;2024-05-18 16:00:00
trs_entrytr230;2024-05-18 16:00:00
trs_entrytr264;2024-05-19 07:00:00
trs_entrytr122;2024-05-19 07:00:00
trs_entrytr232;2024-05-19 08:30:00
trs_entrytr299;2024-05-19 08:30:00
trs_entrytr190;2024-05-19 08:30:00
trs_entrytr61;2024-05-19 08:30:00
trs_entrytr21;2024-05-19 10:00:00
trs_entrytr256;2024-05-20 17:30:00
trs_entrytr208;2024-05-20 17:30:00
trs_entrytr207;2024-05-20 19:00:00
trs_entrytr131;2024-05-20 19:00:00
trs_entrytr73;2024-05-20 19:00:00
trs_entrytr103;2024-05-21 09:00:00
trs_entrytr231;2024-05-21 09:00:00
trs_entrytr230;2024-05-21 09:00:00
trs_entrytr273;2024-05-21 09:00:00
trs_entrytr160;2024-05-21 10:30:00
trs_entrytr59;2024-05-21 10:30:00
trs_entrytr156;2024-05-21 10:30:00
trs_entrytr85;2024-05-22 02:30:00
trs_entrytr284;2024-05-22 02:30:00
trs_entrytr140;2024-05-22 02:30:00
trs_entrytr292;2024-05-22 04:00:00
trs_entrytr113;2024-05-23 17:00:00
trs_entrytr36;2024-05-23 17:00:00
trs_entrytr163;2024-05-23 17:00:00
trs_entrytr154;2024-05-23 18:30:00
trs_entrytr202;2024-05-23 18:30:00
trs_entrytr38;2024-05-23 18:30:00
trs_entrytr173;2024-05-24 11:30:00
trs_entrytr82;2024-05-24 11:30:00
trs_entrytr124;2024-05-24 11:30:00
trs_entrytr53;2024-05-24 11:30:00
trs_entrytr283;2024-05-26 05:30:00
trs_entrytr134;2024-05-26 07:00:00
trs_entrytr43;2024-05-26 07:00:00
trs_entrytr66;2024-05-27 02:30:00
trs_entrytr217;2024-05-27 02:30:00
trs_entrytr11;2024-05-27 02:30:00
trs_entrytr140;2024-05-27 04:00:00
trs_entrytr246;2024-05-29 07:00:00
trs_entrytr22;2024-05-29 08:30:00
trs_entrytr195;2024-05-29 08:30:00
trs_entrytr182;2024-05-29 08:30:00
trs_entrytr235;2024-05-30 15:30:00
