ocel_id;ocel_time
Lodge_Pcp770;2024-04-29 17:00:00
Lodge_Pcp1776;2024-05-01 06:00:00
Lodge_Pcp820;2024-05-02 14:30:00
Lodge_Pcp1020;2024-05-04 09:30:00
Lodge_Pcp1922;2024-05-04 13:30:00
Lodge_Pcp1911;2024-05-06 00:30:00
Lodge_Pcp1963;2024-05-06 10:00:00
Lodge_Pcp551;2024-05-08 16:00:00
Lodge_Pcp1188;2024-05-10 14:00:00
Lodge_Pcp1008;2024-05-11 08:30:00
Lodge_Pcp1913;2024-05-11 11:30:00
Lodge_Pcp435;2024-05-15 11:30:00
Lodge_Pcp1410;2024-05-16 10:00:00
Lodge_Pcp247;2024-05-17 14:30:00
Lodge_Pcp143;2024-05-17 22:30:00
Lodge_Pcp1987;2024-05-18 10:00:00
Lodge_Pcp963;2024-05-19 14:00:00
Lodge_Pcp1866;2024-05-20 05:30:00
Lodge_Pcp696;2024-05-22 23:30:00
Lodge_Pcp830;2024-05-23 16:00:00
Lodge_Pcp1081;2024-05-27 02:30:00
Lodge_Pcp1329;2024-05-28 00:30:00
Lodge_Pcp1556;2024-05-28 04:30:00
Lodge_Pcp982;2024-05-30 20:30:00
Lodge_Pcp703;2024-05-31 11:30:00
Lodge_Pcp214;2024-06-01 05:00:00
Lodge_Pcp1169;2024-06-01 12:00:00
Lodge_Pcp611;2024-06-02 21:30:00
Lodge_Pcp1837;2024-06-03 16:00:00
Lodge_Pcp1619;2024-06-04 03:30:00
Lodge_Pcp1419;2024-06-05 06:00:00
Lodge_Pcp62;2024-06-06 19:00:00
Lodge_Pcp1227;2024-06-07 17:00:00
Lodge_Pcp1700;2024-06-11 19:00:00
Lodge_Pcp1843;2024-06-12 14:00:00
Lodge_Pcp1143;2024-06-13 00:00:00
Lodge_Pcp1084;2024-06-14 13:00:00
Lodge_Pcp1527;2024-06-15 22:00:00
Lodge_Pcp243;2024-06-16 06:00:00
Lodge_Pcp1746;2024-06-17 06:00:00
