ocel_id;ocel_time
weigh_empty_trucktr40;2024-05-01 22:53:20
weigh_empty_trucktr15;2024-05-02 00:23:20
weigh_empty_trucktr193;2024-05-02 00:23:20
weigh_empty_trucktr58;2024-05-03 17:46:40
weigh_empty_trucktr26;2024-05-03 19:16:40
weigh_empty_trucktr247;2024-05-03 19:16:40
weigh_empty_trucktr134;2024-05-03 19:16:40
weigh_empty_trucktr248;2024-05-03 19:16:40
weigh_empty_trucktr119;2024-05-05 08:16:40
weigh_empty_trucktr71;2024-05-05 08:16:40
weigh_empty_trucktr298;2024-05-05 09:46:40
weigh_empty_trucktr212;2024-05-05 09:46:40
weigh_empty_trucktr245;2024-05-05 09:46:40
weigh_empty_trucktr253;2024-05-05 11:16:40
weigh_empty_trucktr141;2024-05-05 11:16:40
weigh_empty_trucktr140;2024-05-06 19:23:20
weigh_empty_trucktr151;2024-05-06 20:53:20
weigh_empty_trucktr262;2024-05-06 20:53:20
weigh_empty_trucktr291;2024-05-06 20:53:20
weigh_empty_trucktr113;2024-05-08 03:07:15
weigh_empty_trucktr252;2024-05-08 03:07:15
weigh_empty_trucktr157;2024-05-08 04:37:15
weigh_empty_trucktr238;2024-05-08 04:37:15
weigh_empty_trucktr135;2024-05-08 04:37:15
weigh_empty_trucktr236;2024-05-08 08:53:55
weigh_empty_trucktr143;2024-05-08 08:53:55
weigh_empty_trucktr33;2024-05-09 05:56:40
weigh_empty_trucktr199;2024-05-09 05:56:40
weigh_empty_trucktr69;2024-05-09 05:56:40
weigh_empty_trucktr94;2024-05-09 07:26:40
weigh_empty_trucktr239;2024-05-09 07:26:40
weigh_empty_trucktr13;2024-05-09 07:26:40
weigh_empty_trucktr176;2024-05-10 01:56:40
weigh_empty_trucktr219;2024-05-10 01:56:40
weigh_empty_trucktr119;2024-05-10 03:26:40
weigh_empty_trucktr184;2024-05-10 03:26:40
weigh_empty_trucktr175;2024-05-10 03:26:40
weigh_empty_trucktr46;2024-05-10 03:26:40
weigh_empty_trucktr169;2024-05-12 03:26:40
weigh_empty_trucktr161;2024-05-12 04:56:40
weigh_empty_trucktr101;2024-05-12 04:56:40
weigh_empty_trucktr75;2024-05-12 04:56:40
weigh_empty_trucktr167;2024-05-12 04:56:40
weigh_empty_trucktr100;2024-05-14 02:50:00
weigh_empty_trucktr51;2024-05-14 04:20:00
weigh_empty_trucktr215;2024-05-14 04:20:00
weigh_empty_trucktr90;2024-05-14 04:20:00
weigh_empty_trucktr108;2024-05-14 04:20:00
weigh_empty_trucktr217;2024-05-14 05:50:00
weigh_empty_trucktr256;2024-05-15 06:20:00
weigh_empty_trucktr88;2024-05-15 06:20:00
weigh_empty_trucktr216;2024-05-15 07:50:00
weigh_empty_trucktr77;2024-05-15 07:50:00
weigh_empty_trucktr235;2024-05-15 07:50:00
weigh_empty_trucktr259;2024-05-15 07:50:00
weigh_empty_trucktr228;2024-05-15 07:50:00
weigh_empty_trucktr85;2024-05-15 07:50:00
weigh_empty_trucktr56;2024-05-15 07:50:00
weigh_empty_trucktr250;2024-05-15 07:56:40
weigh_empty_trucktr153;2024-05-18 20:03:20
weigh_empty_trucktr47;2024-05-18 20:03:20
weigh_empty_trucktr158;2024-05-18 20:03:20
weigh_empty_trucktr7;2024-05-18 21:33:20
weigh_empty_trucktr91;2024-05-18 21:33:20
weigh_empty_trucktr230;2024-05-18 21:33:20
weigh_empty_trucktr264;2024-05-19 12:33:20
weigh_empty_trucktr122;2024-05-19 12:33:20
weigh_empty_trucktr61;2024-05-19 14:03:20
weigh_empty_trucktr232;2024-05-19 14:03:20
weigh_empty_trucktr299;2024-05-19 14:03:20
weigh_empty_trucktr190;2024-05-19 14:03:20
weigh_empty_trucktr21;2024-05-19 15:33:20
weigh_empty_trucktr256;2024-05-21 03:13:20
weigh_empty_trucktr208;2024-05-21 03:13:20
weigh_empty_trucktr131;2024-05-21 04:43:20
weigh_empty_trucktr207;2024-05-21 04:43:20
weigh_empty_trucktr73;2024-05-21 04:43:20
weigh_empty_trucktr231;2024-05-21 18:43:20
weigh_empty_trucktr230;2024-05-21 18:43:20
weigh_empty_trucktr273;2024-05-21 18:43:20
weigh_empty_trucktr103;2024-05-21 18:43:20
weigh_empty_trucktr156;2024-05-21 20:13:20
weigh_empty_trucktr160;2024-05-21 20:13:20
weigh_empty_trucktr59;2024-05-21 20:13:20
weigh_empty_trucktr85;2024-05-22 15:00:00
weigh_empty_trucktr140;2024-05-22 15:00:00
weigh_empty_trucktr284;2024-05-22 15:00:00
weigh_empty_trucktr292;2024-05-22 16:30:00
weigh_empty_trucktr163;2024-05-24 02:43:20
weigh_empty_trucktr113;2024-05-24 02:43:20
weigh_empty_trucktr36;2024-05-24 02:43:20
weigh_empty_trucktr202;2024-05-24 04:13:20
weigh_empty_trucktr38;2024-05-24 04:13:20
weigh_empty_trucktr154;2024-05-24 04:13:20
weigh_empty_trucktr82;2024-05-24 19:50:00
weigh_empty_trucktr53;2024-05-24 19:50:00
weigh_empty_trucktr173;2024-05-24 19:50:00
weigh_empty_trucktr124;2024-05-24 19:50:00
weigh_empty_trucktr283;2024-05-26 13:50:00
weigh_empty_trucktr43;2024-05-26 15:20:00
weigh_empty_trucktr134;2024-05-26 15:20:00
weigh_empty_trucktr11;2024-05-27 09:26:40
weigh_empty_trucktr66;2024-05-27 09:26:40
weigh_empty_trucktr217;2024-05-27 09:26:40
weigh_empty_trucktr140;2024-05-27 10:56:40
weigh_empty_trucktr246;2024-05-29 08:23:20
weigh_empty_trucktr182;2024-05-29 09:53:20
weigh_empty_trucktr195;2024-05-29 09:53:20
weigh_empty_trucktr22;2024-05-29 09:53:20
weigh_empty_trucktr130;2024-05-30 19:40:00
weigh_empty_trucktr256;2024-05-30 19:40:00
weigh_empty_trucktr235;2024-05-30 19:40:00
weigh_empty_trucktr63;2024-05-30 21:10:00
weigh_empty_trucktr37;2024-05-30 21:10:00
weigh_empty_trucktr137;2024-05-30 21:10:00
weigh_empty_trucktr131;2024-05-31 02:40:00
weigh_empty_trucktr96;2024-05-31 02:40:00
weigh_empty_trucktr238;2024-05-31 02:40:00
weigh_empty_trucktr104;2024-05-31 03:10:00
weigh_empty_trucktr58;2024-06-02 02:23:20
weigh_empty_trucktr46;2024-06-02 03:53:20
weigh_empty_trucktr23;2024-06-02 03:53:20
weigh_empty_trucktr4;2024-06-02 03:53:20
weigh_empty_trucktr176;2024-06-03 06:40:00
weigh_empty_trucktr260;2024-06-03 06:40:00
weigh_empty_trucktr26;2024-06-03 06:40:00
weigh_empty_trucktr218;2024-06-03 08:10:00
weigh_empty_trucktr144;2024-06-03 08:10:00
weigh_empty_trucktr282;2024-06-03 08:10:00
weigh_empty_trucktr37;2024-06-04 09:03:20
weigh_empty_trucktr179;2024-06-04 09:03:20
weigh_empty_trucktr300;2024-06-04 09:03:20
weigh_empty_trucktr133;2024-06-04 09:03:20
weigh_empty_trucktr241;2024-06-04 10:33:20
weigh_empty_trucktr165;2024-06-04 22:03:20
weigh_empty_trucktr160;2024-06-04 22:03:20
weigh_empty_trucktr238;2024-06-04 22:03:20
weigh_empty_trucktr96;2024-06-04 23:33:20
weigh_empty_trucktr214;2024-06-04 23:33:20
weigh_empty_trucktr210;2024-06-06 03:03:20
weigh_empty_trucktr111;2024-06-06 03:03:20
weigh_empty_trucktr82;2024-06-06 03:03:20
weigh_empty_trucktr155;2024-06-06 04:33:20
weigh_empty_trucktr249;2024-06-06 22:50:00
weigh_empty_trucktr138;2024-06-06 22:50:00
weigh_empty_trucktr28;2024-06-06 22:56:40
weigh_empty_trucktr281;2024-06-06 22:56:40
weigh_empty_trucktr268;2024-06-07 20:50:00
weigh_empty_trucktr170;2024-06-07 22:20:00
weigh_empty_trucktr206;2024-06-07 22:20:00
weigh_empty_trucktr128;2024-06-07 22:20:00
weigh_empty_trucktr122;2024-06-07 22:20:00
weigh_empty_trucktr125;2024-06-08 22:03:20
weigh_empty_trucktr225;2024-06-08 22:03:20
weigh_empty_trucktr179;2024-06-08 22:03:20
weigh_empty_trucktr132;2024-06-08 22:03:20
weigh_empty_trucktr49;2024-06-10 13:43:20
