ocel_id;ocel_time
weigh_loaded_trucktr15;2024-05-02 12:36:40
weigh_loaded_trucktr58;2024-05-04 11:00:00
weigh_loaded_trucktr248;2024-05-04 12:30:00
weigh_loaded_trucktr134;2024-05-04 12:30:00
weigh_loaded_trucktr212;2024-05-06 03:00:00
weigh_loaded_trucktr245;2024-05-06 03:00:00
weigh_loaded_trucktr140;2024-05-07 07:36:40
weigh_loaded_trucktr291;2024-05-07 09:06:40
weigh_loaded_trucktr262;2024-05-07 09:06:40
weigh_loaded_trucktr252;2024-05-10 17:37:15
weigh_loaded_trucktr157;2024-05-10 18:17:15
weigh_loaded_trucktr135;2024-05-10 18:17:15
weigh_loaded_trucktr33;2024-05-11 11:50:00
weigh_loaded_trucktr199;2024-05-11 11:50:00
weigh_loaded_trucktr13;2024-05-11 11:56:40
weigh_loaded_trucktr94;2024-05-11 11:56:40
weigh_loaded_trucktr239;2024-05-11 11:56:40
weigh_loaded_trucktr176;2024-05-12 12:50:00
weigh_loaded_trucktr219;2024-05-12 12:50:00
weigh_loaded_trucktr175;2024-05-12 14:20:00
weigh_loaded_trucktr184;2024-05-12 14:20:00
weigh_loaded_trucktr161;2024-05-15 00:43:20
weigh_loaded_trucktr75;2024-05-15 00:43:20
weigh_loaded_trucktr169;2024-05-15 03:23:20
weigh_loaded_trucktr51;2024-05-16 21:03:20
weigh_loaded_trucktr217;2024-05-16 22:33:20
weigh_loaded_trucktr88;2024-05-17 05:00:00
weigh_loaded_trucktr235;2024-05-17 05:06:40
weigh_loaded_trucktr77;2024-05-17 05:06:40
weigh_loaded_trucktr228;2024-05-17 05:06:40
weigh_loaded_trucktr56;2024-05-17 05:06:40
weigh_loaded_trucktr85;2024-05-17 05:06:40
weigh_loaded_trucktr250;2024-05-17 05:13:20
weigh_loaded_trucktr153;2024-05-21 10:50:00
weigh_loaded_trucktr7;2024-05-21 10:56:40
weigh_loaded_trucktr91;2024-05-21 10:56:40
weigh_loaded_trucktr122;2024-05-22 14:26:40
weigh_loaded_trucktr264;2024-05-22 14:26:40
weigh_loaded_trucktr299;2024-05-22 15:56:40
weigh_loaded_trucktr21;2024-05-23 00:40:00
weigh_loaded_trucktr256;2024-05-25 02:30:00
weigh_loaded_trucktr208;2024-05-25 02:30:00
weigh_loaded_trucktr230;2024-05-25 12:26:40
weigh_loaded_trucktr160;2024-05-25 12:33:20
weigh_loaded_trucktr284;2024-05-25 20:46:40
weigh_loaded_trucktr85;2024-05-25 20:46:40
weigh_loaded_trucktr292;2024-05-25 20:53:20
weigh_loaded_trucktr38;2024-05-27 00:33:20
weigh_loaded_trucktr202;2024-05-27 00:33:20
weigh_loaded_trucktr154;2024-05-27 00:33:20
weigh_loaded_trucktr113;2024-05-27 01:50:00
weigh_loaded_trucktr124;2024-05-27 16:10:00
weigh_loaded_trucktr53;2024-05-27 16:10:00
weigh_loaded_trucktr66;2024-05-28 16:16:40
weigh_loaded_trucktr11;2024-05-28 16:16:40
weigh_loaded_trucktr140;2024-05-28 17:46:40
weigh_loaded_trucktr246;2024-05-29 20:36:40
weigh_loaded_trucktr22;2024-05-29 22:06:40
weigh_loaded_trucktr235;2024-05-31 19:16:40
weigh_loaded_trucktr131;2024-05-31 20:43:20
weigh_loaded_trucktr104;2024-05-31 21:13:20
weigh_loaded_trucktr96;2024-05-31 22:06:40
weigh_loaded_trucktr58;2024-06-02 14:36:40
weigh_loaded_trucktr4;2024-06-02 16:06:40
weigh_loaded_trucktr260;2024-06-05 10:20:00
weigh_loaded_trucktr144;2024-06-05 10:26:40
weigh_loaded_trucktr300;2024-06-06 06:20:00
weigh_loaded_trucktr133;2024-06-06 06:20:00
weigh_loaded_trucktr241;2024-06-06 06:26:40
weigh_loaded_trucktr96;2024-06-07 10:26:40
weigh_loaded_trucktr210;2024-06-08 21:10:00
weigh_loaded_trucktr155;2024-06-08 22:06:40
weigh_loaded_trucktr138;2024-06-09 14:43:20
weigh_loaded_trucktr249;2024-06-09 14:43:20
weigh_loaded_trucktr281;2024-06-09 14:50:00
weigh_loaded_trucktr28;2024-06-09 14:50:00
weigh_loaded_trucktr268;2024-06-10 17:10:00
weigh_loaded_trucktr128;2024-06-10 18:40:00
weigh_loaded_trucktr179;2024-06-12 02:10:00
weigh_loaded_trucktr24;2024-06-12 16:50:00
weigh_loaded_trucktr242;2024-06-12 17:30:00
weigh_loaded_trucktr264;2024-06-12 20:30:00
weigh_loaded_trucktr126;2024-06-12 22:00:00
weigh_loaded_trucktr150;2024-06-12 22:00:00
weigh_loaded_trucktr270;2024-06-15 22:20:00
weigh_loaded_trucktr126;2024-06-15 22:20:00
weigh_loaded_trucktr284;2024-06-15 22:20:00
weigh_loaded_trucktr25;2024-06-17 15:43:20
weigh_loaded_trucktr102;2024-06-17 15:43:20
weigh_loaded_trucktr185;2024-06-17 15:50:00
weigh_loaded_trucktr281;2024-06-17 15:50:00
weigh_loaded_trucktr78;2024-06-18 04:06:40
weigh_loaded_trucktr237;2024-06-18 04:06:40
weigh_loaded_trucktr91;2024-06-18 04:06:40
weigh_loaded_trucktr267;2024-06-21 01:46:40
weigh_loaded_trucktr263;2024-06-21 01:46:40
weigh_loaded_trucktr2;2024-06-21 03:03:20
weigh_loaded_trucktr251;2024-06-21 04:40:00
weigh_loaded_trucktr9;2024-06-21 04:40:00
weigh_loaded_trucktr207;2024-06-22 16:36:40
weigh_loaded_trucktr112;2024-06-22 18:06:40
weigh_loaded_trucktr71;2024-06-23 07:26:40
weigh_loaded_trucktr296;2024-06-23 09:26:40
weigh_loaded_trucktr184;2024-06-23 10:56:40
weigh_loaded_trucktr187;2024-06-23 10:56:40
weigh_loaded_trucktr214;2024-06-23 10:56:40
weigh_loaded_trucktr294;2024-06-23 20:36:40
weigh_loaded_trucktr128;2024-06-23 20:36:40
weigh_loaded_trucktr16;2024-06-25 16:20:00
weigh_loaded_trucktr86;2024-06-25 16:20:00
weigh_loaded_trucktr122;2024-06-28 04:30:00
weigh_loaded_trucktr165;2024-06-28 06:30:00
weigh_loaded_trucktr3;2024-06-28 08:00:00
weigh_loaded_trucktr164;2024-06-28 08:00:00
weigh_loaded_trucktr252;2024-06-28 08:00:00
weigh_loaded_trucktr182;2024-06-29 02:20:00
weigh_loaded_trucktr74;2024-06-29 10:06:40
weigh_loaded_trucktr219;2024-06-29 23:06:40
weigh_loaded_trucktr295;2024-06-29 23:06:40
weigh_loaded_trucktr206;2024-06-29 23:06:40
weigh_loaded_trucktr174;2024-07-02 11:56:40
weigh_loaded_trucktr104;2024-07-02 12:03:20
weigh_loaded_trucktr233;2024-07-05 05:16:25
weigh_loaded_trucktr217;2024-07-05 05:16:25
weigh_loaded_trucktr199;2024-07-05 14:49:45
weigh_loaded_trucktr111;2024-07-05 14:49:45
weigh_loaded_trucktr188;2024-07-06 12:16:40
weigh_loaded_trucktr183;2024-07-08 23:46:40
weigh_loaded_trucktr278;2024-07-08 23:46:40
weigh_loaded_trucktr60;2024-07-09 04:03:20
weigh_loaded_trucktr133;2024-07-09 04:03:20
weigh_loaded_trucktr39;2024-07-09 23:30:00
weigh_loaded_trucktr137;2024-07-09 23:30:00
weigh_loaded_trucktr216;2024-07-09 23:30:00
weigh_loaded_trucktr118;2024-07-11 06:10:00
weigh_loaded_trucktr248;2024-07-11 06:10:00
weigh_loaded_trucktr151;2024-07-12 05:36:40
weigh_loaded_trucktr136;2024-07-12 08:30:00
weigh_loaded_trucktr95;2024-07-12 08:30:00
weigh_loaded_trucktr264;2024-07-12 08:30:00
weigh_loaded_trucktr223;2024-07-13 17:10:00
weigh_loaded_trucktr63;2024-07-13 17:10:00
weigh_loaded_trucktr164;2024-07-14 15:36:40
weigh_loaded_trucktr76;2024-07-14 15:36:40
weigh_loaded_trucktr243;2024-07-14 17:06:40
weigh_loaded_trucktr244;2024-07-14 17:06:40
weigh_loaded_trucktr266;2024-07-14 23:50:00
weigh_loaded_trucktr260;2024-07-14 23:50:00
weigh_loaded_trucktr53;2024-07-14 23:56:40
weigh_loaded_trucktr38;2024-07-15 16:13:20
weigh_loaded_trucktr261;2024-07-15 19:06:40
weigh_loaded_trucktr78;2024-07-15 19:06:40
weigh_loaded_trucktr203;2024-07-15 19:13:20
weigh_loaded_trucktr144;2024-07-16 06:33:20
weigh_loaded_trucktr297;2024-07-16 06:40:00
weigh_loaded_trucktr29;2024-07-16 11:03:20
weigh_loaded_trucktr46;2024-07-16 12:46:40
weigh_loaded_trucktr92;2024-07-16 13:30:00
weigh_loaded_trucktr74;2024-07-21 13:46:40
weigh_loaded_trucktr98;2024-07-22 11:26:40
weigh_loaded_trucktr113;2024-07-22 15:46:40
weigh_loaded_trucktr237;2024-07-24 00:46:40
weigh_loaded_trucktr148;2024-07-24 00:53:20
weigh_loaded_trucktr209;2024-07-24 00:53:20
weigh_loaded_trucktr31;2024-07-24 00:53:20
weigh_loaded_trucktr238;2024-07-24 17:20:00
weigh_loaded_trucktr290;2024-07-24 17:26:40
weigh_loaded_trucktr87;2024-07-25 22:06:40
weigh_loaded_trucktr278;2024-07-26 02:23:20
weigh_loaded_trucktr159;2024-07-26 02:23:20
weigh_loaded_trucktr214;2024-07-26 03:53:20
weigh_loaded_trucktr293;2024-07-27 20:50:00
weigh_loaded_trucktr245;2024-07-27 22:20:00
weigh_loaded_trucktr60;2024-07-27 22:20:00
weigh_loaded_trucktr8;2024-07-28 10:56:40
weigh_loaded_trucktr173;2024-07-28 10:56:40
weigh_loaded_trucktr140;2024-07-28 10:56:40
weigh_loaded_trucktr263;2024-07-28 11:03:20
weigh_loaded_trucktr256;2024-07-28 12:26:40
weigh_loaded_trucktr59;2024-07-30 06:50:00
weigh_loaded_trucktr233;2024-07-30 23:23:20
weigh_loaded_trucktr246;2024-07-30 23:23:20
weigh_loaded_trucktr21;2024-07-30 23:23:20
weigh_loaded_trucktr184;2024-07-31 00:53:20
weigh_loaded_trucktr20;2024-07-31 09:13:20
weigh_loaded_trucktr201;2024-07-31 09:13:20
weigh_loaded_trucktr88;2024-07-31 09:13:20
weigh_loaded_trucktr189;2024-07-31 11:53:20
weigh_loaded_trucktr9;2024-07-31 17:26:40
weigh_loaded_trucktr92;2024-07-31 17:26:40
weigh_loaded_trucktr36;2024-07-31 17:33:20
weigh_loaded_trucktr207;2024-08-01 11:43:20
weigh_loaded_trucktr294;2024-08-01 23:06:40
weigh_loaded_trucktr12;2024-08-01 23:06:40
weigh_loaded_trucktr195;2024-08-06 18:06:40
weigh_loaded_trucktr122;2024-08-08 00:33:20
weigh_loaded_trucktr14;2024-08-08 16:16:40
weigh_loaded_trucktr222;2024-08-08 18:26:40
weigh_loaded_trucktr255;2024-08-08 21:26:40
weigh_loaded_trucktr54;2024-08-08 21:26:40
weigh_loaded_trucktr190;2024-08-10 19:26:40
weigh_loaded_trucktr105;2024-08-10 20:43:20
weigh_loaded_trucktr273;2024-08-10 20:43:20
weigh_loaded_trucktr38;2024-08-10 20:43:20
weigh_loaded_trucktr231;2024-08-11 13:40:00
weigh_loaded_trucktr259;2024-08-11 13:43:20
weigh_loaded_trucktr66;2024-08-11 13:46:40
weigh_loaded_trucktr179;2024-08-11 13:46:40
weigh_loaded_trucktr55;2024-08-13 06:00:00
weigh_loaded_trucktr203;2024-08-13 06:13:20
weigh_loaded_trucktr68;2024-08-13 06:13:20
weigh_loaded_trucktr143;2024-08-13 07:13:20
weigh_loaded_trucktr295;2024-08-14 16:20:00
weigh_loaded_trucktr147;2024-08-14 17:50:00
