ocel_event_id;ocel_object_id;ocel_qualifier
Lodge_Pcp770;Pcp770;lodged pickup plan
Lodge_Pcp770;Cr774;cargo to be picked up
Lodge_Pcp1776;Pcp1776;lodged pickup plan
Lodge_Pcp1776;Cr651;cargo to be picked up
assign_trs_Pcp770;tr40;Pickup plan trucks assignment
assign_trs_Pcp770;tr193;Pickup plan trucks assignment
assign_trs_Pcp770;tr15;Pickup plan trucks assignment
trs_entrytr40;tr40;Entry evaluation for truck
weigh_empty_trucktr40;tr40;Empty truck weighed
trs_entrytr15;tr15;Entry evaluation for truck
trs_entrytr193;tr193;Entry evaluation for truck
weigh_empty_trucktr15;tr15;Empty truck weighed
weigh_empty_trucktr193;tr193;Empty truck weighed
check_abnormalitytr40;tr40;truck exmained for empty weight abnormality
fail_weightr40;tr40;Truck failed to be weighed
check_abnormalitytr193;tr193;truck exmained for empty weight abnormality
check_abnormalitytr15;tr15;truck exmained for empty weight abnormality
fail_weightr193;tr193;Truck failed to be weighed
arrive_at_Silo70;Silo70;Silo for truck load
determine_continuanceSilo70;Silo70;silo evaluated for pickup continuance
load_trucktr15;tr15;cargo load for truck
weigh_loaded_trucktr15;tr15;Truck weighed
Lodge_Pcp820;Pcp820;lodged pickup plan
Lodge_Pcp820;Cr319;cargo to be picked up
print_w_tickettr15;tr15;Printed weighing ticket for pickup plan
input_tally_sheettr15;tr15;Tally Sheet for pickup plan
eval_trs_exittr15_Pcp770;tr15;Exit evaluation for truck
assign_trs_Pcp1776;tr58;Pickup plan trucks assignment
assign_trs_Pcp1776;tr248;Pickup plan trucks assignment
assign_trs_Pcp1776;tr26;Pickup plan trucks assignment
assign_trs_Pcp1776;tr134;Pickup plan trucks assignment
assign_trs_Pcp1776;tr247;Pickup plan trucks assignment
trs_entrytr58;tr58;Entry evaluation for truck
trs_entrytr26;tr26;Entry evaluation for truck
trs_entrytr248;tr248;Entry evaluation for truck
trs_entrytr134;tr134;Entry evaluation for truck
trs_entrytr247;tr247;Entry evaluation for truck
weigh_empty_trucktr58;tr58;Empty truck weighed
weigh_empty_trucktr26;tr26;Empty truck weighed
weigh_empty_trucktr247;tr247;Empty truck weighed
weigh_empty_trucktr134;tr134;Empty truck weighed
weigh_empty_trucktr248;tr248;Empty truck weighed
check_abnormalitytr58;tr58;truck exmained for empty weight abnormality
check_abnormalitytr134;tr134;truck exmained for empty weight abnormality
check_abnormalitytr26;tr26;truck exmained for empty weight abnormality
check_abnormalitytr247;tr247;truck exmained for empty weight abnormality
check_abnormalitytr248;tr248;truck exmained for empty weight abnormality
fail_weightr247;tr247;Truck failed to be weighed
fail_weightr26;tr26;Truck failed to be weighed
arrive_at_Silo80;Silo80;Silo for truck load
determine_continuanceSilo80;Silo80;silo evaluated for pickup continuance
arrive_at_Silo80;Silo80;Silo for truck load
arrive_at_Silo80;Silo80;Silo for truck load
load_trucktr58;tr58;cargo load for truck
determine_continuanceSilo80;Silo80;silo evaluated for pickup continuance
determine_continuanceSilo80;Silo80;silo evaluated for pickup continuance
load_trucktr248;tr248;cargo load for truck
load_trucktr134;tr134;cargo load for truck
Lodge_Pcp1020;Pcp1020;lodged pickup plan
Lodge_Pcp1020;Cr1756;cargo to be picked up
weigh_loaded_trucktr58;tr58;Truck weighed
weigh_loaded_trucktr248;tr248;Truck weighed
weigh_loaded_trucktr134;tr134;Truck weighed
Lodge_Pcp1922;Pcp1922;lodged pickup plan
Lodge_Pcp1922;Cr565;cargo to be picked up
print_w_tickettr58;tr58;Printed weighing ticket for pickup plan
input_tally_sheettr58;tr58;Tally Sheet for pickup plan
assign_trs_Pcp820;tr71;Pickup plan trucks assignment
assign_trs_Pcp820;tr119;Pickup plan trucks assignment
input_tally_sheettr134;tr134;Tally Sheet for pickup plan
print_w_tickettr248;tr248;Printed weighing ticket for pickup plan
input_tally_sheettr248;tr248;Tally Sheet for pickup plan
print_w_tickettr134;tr134;Printed weighing ticket for pickup plan
assign_trs_Pcp820;tr298;Pickup plan trucks assignment
assign_trs_Pcp820;tr212;Pickup plan trucks assignment
assign_trs_Pcp820;tr245;Pickup plan trucks assignment
eval_trs_exittr58_Pcp1776;tr58;Exit evaluation for truck
assign_trs_Pcp820;tr253;Pickup plan trucks assignment
assign_trs_Pcp820;tr141;Pickup plan trucks assignment
eval_trs_exittr134_Pcp1776;tr134;Exit evaluation for truck
eval_trs_exittr248_Pcp1776;tr248;Exit evaluation for truck
trs_entrytr119;tr119;Entry evaluation for truck
trs_entrytr71;tr71;Entry evaluation for truck
trs_entrytr212;tr212;Entry evaluation for truck
trs_entrytr298;tr298;Entry evaluation for truck
trs_entrytr245;tr245;Entry evaluation for truck
weigh_empty_trucktr119;tr119;Empty truck weighed
weigh_empty_trucktr71;tr71;Empty truck weighed
trs_entrytr253;tr253;Entry evaluation for truck
trs_entrytr141;tr141;Entry evaluation for truck
weigh_empty_trucktr298;tr298;Empty truck weighed
weigh_empty_trucktr212;tr212;Empty truck weighed
weigh_empty_trucktr245;tr245;Empty truck weighed
weigh_empty_trucktr253;tr253;Empty truck weighed
weigh_empty_trucktr141;tr141;Empty truck weighed
check_abnormalitytr119;tr119;truck exmained for empty weight abnormality
check_abnormalitytr71;tr71;truck exmained for empty weight abnormality
check_abnormalitytr245;tr245;truck exmained for empty weight abnormality
check_abnormalitytr298;tr298;truck exmained for empty weight abnormality
check_abnormalitytr212;tr212;truck exmained for empty weight abnormality
fail_weightr71;tr71;Truck failed to be weighed
fail_weightr119;tr119;Truck failed to be weighed
check_abnormalitytr253;tr253;truck exmained for empty weight abnormality
check_abnormalitytr141;tr141;truck exmained for empty weight abnormality
fail_weightr298;tr298;Truck failed to be weighed
fail_weightr253;tr253;Truck failed to be weighed
fail_weightr141;tr141;Truck failed to be weighed
arrive_at_Silo40;Silo40;Silo for truck load
arrive_at_Silo40;Silo40;Silo for truck load
determine_continuanceSilo40;Silo40;silo evaluated for pickup continuance
determine_continuanceSilo40;Silo40;silo evaluated for pickup continuance
load_trucktr245;tr245;cargo load for truck
load_trucktr212;tr212;cargo load for truck
Lodge_Pcp1911;Pcp1911;lodged pickup plan
Lodge_Pcp1911;Cr1763;cargo to be picked up
weigh_loaded_trucktr212;tr212;Truck weighed
weigh_loaded_trucktr245;tr245;Truck weighed
print_w_tickettr245;tr245;Printed weighing ticket for pickup plan
input_tally_sheettr245;tr245;Tally Sheet for pickup plan
print_w_tickettr212;tr212;Printed weighing ticket for pickup plan
input_tally_sheettr212;tr212;Tally Sheet for pickup plan
eval_trs_exittr245_Pcp820;tr245;Exit evaluation for truck
eval_trs_exittr212_Pcp820;tr212;Exit evaluation for truck
