ocel_id;ocel_time;ocel_changed_field;Cargo Type;Cargo stock weight(scheduled);Silo ID
Cr1064;2024-03-03 15:00:00;;Other;63087.6;Silo65
Cr682;2024-03-03 15:00:00;;Rice;48420.6;Silo53
Cr805;2024-03-03 15:00:00;;Other;44003.7;Silo96
Cr330;2024-03-03 15:00:00;;Wheat;50867.7;Silo87
Cr408;2024-03-03 15:00:00;;Corn;61787.9;Silo86
Cr10;2024-03-03 15:00:00;;Other;29094.2;Silo48
Cr141;2024-03-03 15:00:00;;Potato;43681.6;Silo27
Cr635;2024-03-03 15:00:00;;Rice;30467.4;Silo10
Cr552;2024-03-03 15:00:00;;Corn;35849.0;Silo88
Cr162;2024-03-03 15:00:00;;Corn;44732.2;Silo66
Cr1979;2024-03-03 15:00:00;;Potato;37374.9;Silo88
Cr295;2024-03-03 15:00:00;;Corn;35684.7;Silo50
Cr503;2024-03-03 15:00:00;;Other;51338.6;Silo3
Cr189;2024-03-03 15:00:00;;Rice;44082.1;Silo9
Cr1085;2024-03-03 15:00:00;;Other;47827.4;Silo68
Cr1700;2024-03-03 15:00:00;;Other;38842.3;Silo87
Cr1640;2024-03-03 15:00:00;;Rice;49855.3;Silo53
Cr92;2024-03-03 15:00:00;;Wheat;25062.8;Silo44
Cr236;2024-03-03 15:00:00;;Potato;44825.2;Silo24
Cr410;2024-03-03 15:00:00;;Other;25642.7;Silo73
Cr15;2024-03-03 15:00:00;;Wheat;29489.5;Silo81
Cr1551;2024-03-03 15:00:00;;Rice;34681.4;Silo58
Cr846;2024-03-03 15:00:00;;Wheat;62701.8;Silo53
Cr167;2024-03-03 15:00:00;;Potato;27746.1;Silo79
Cr1271;2024-03-03 15:00:00;;Other;64080.1;Silo52
Cr892;2024-03-03 15:00:00;;Potato;36214.5;Silo72
Cr976;2024-03-03 15:00:00;;Wheat;40127.5;Silo23
Cr839;2024-03-03 15:00:00;;Corn;38999.5;Silo31
Cr1233;2024-03-03 15:00:00;;Other;41741.7;Silo34
Cr1655;2024-03-03 15:00:00;;Other;64833.2;Silo16
Cr791;2024-03-03 15:00:00;;Other;59816.4;Silo67
Cr382;2024-03-03 15:00:00;;Potato;57442.3;Silo91
Cr1310;2024-03-03 15:00:00;;Other;56029.0;Silo86
Cr850;2024-03-03 15:00:00;;Other;36028.8;Silo95
Cr1330;2024-03-03 15:00:00;;Other;45040.4;Silo50
Cr1391;2024-03-03 15:00:00;;Wheat;34879.7;Silo82
Cr124;2024-03-03 15:00:00;;Other;63448.5;Silo34
Cr822;2024-03-03 15:00:00;;Potato;39814.8;Silo6
Cr1133;2024-03-03 15:00:00;;Other;40072.1;Silo61
Cr1344;2024-03-03 15:00:00;;Rice;30122.4;Silo68
Cr955;2024-03-03 15:00:00;;Rice;52333.8;Silo51
Cr82;2024-03-03 15:00:00;;Rice;48152.8;Silo98
Cr1157;2024-03-03 15:00:00;;Potato;32583.2;Silo99
Cr1516;2024-03-03 15:00:00;;Other;51851.9;Silo25
Cr1996;2024-03-03 15:00:00;;Wheat;60695.0;Silo6
Cr1088;2024-03-03 15:00:00;;Wheat;58233.7;Silo25
Cr1395;2024-03-03 15:00:00;;Corn;60122.8;Silo9
Cr1075;2024-03-03 15:00:00;;Potato;46839.6;Silo36
Cr861;2024-03-03 15:00:00;;Rice;34014.3;Silo62
Cr1507;2024-03-03 15:00:00;;Corn;46092.9;Silo74
Cr486;2024-03-03 15:00:00;;Other;64744.3;Silo93
Cr1882;2024-03-03 15:00:00;;Corn;63465.6;Silo33
Cr1921;2024-03-03 15:00:00;;Other;53909.9;Silo5
Cr1936;2024-03-03 15:00:00;;Potato;63146.8;Silo97
Cr1087;2024-03-03 15:00:00;;Rice;38849.7;Silo1
Cr1804;2024-03-03 15:00:00;;Wheat;25553.3;Silo36
Cr1742;2024-03-03 15:00:00;;Other;33999.1;Silo74
Cr1732;2024-03-03 15:00:00;;Rice;63561.9;Silo87
Cr1474;2024-03-03 15:00:00;;Rice;37057.4;Silo66
Cr1599;2024-03-03 15:00:00;;Rice;55647.3;Silo5
Cr979;2024-03-03 15:00:00;;Potato;36185.3;Silo46
Cr1662;2024-03-03 15:00:00;;Potato;27591.7;Silo55
Cr884;2024-03-03 15:00:00;;Rice;50455.9;Silo96
Cr1974;2024-03-03 15:00:00;;Potato;39147.6;Silo54
Cr1238;2024-03-03 15:00:00;;Potato;41675.7;Silo36
Cr493;2024-03-03 15:00:00;;Potato;52078.5;Silo21
Cr93;2024-03-03 15:00:00;;Rice;40179.7;Silo69
Cr902;2024-03-03 15:00:00;;Rice;33520.2;Silo8
Cr737;2024-03-03 15:00:00;;Wheat;62839.9;Silo10
Cr1692;2024-03-03 15:00:00;;Corn;60638.6;Silo94
Cr971;2024-03-03 15:00:00;;Other;60434.9;Silo87
Cr1002;2024-03-03 15:00:00;;Wheat;52782.3;Silo15
Cr568;2024-03-03 15:00:00;;Corn;41685.9;Silo68
Cr580;2024-03-03 15:00:00;;Wheat;41244.1;Silo68
Cr101;2024-03-03 15:00:00;;Wheat;53286.1;Silo80
Cr1784;2024-03-03 15:00:00;;Corn;38249.1;Silo16
Cr1407;2024-03-03 15:00:00;;Wheat;62701.3;Silo70
Cr1898;2024-03-03 15:00:00;;Corn;41683.1;Silo52
Cr1467;2024-03-03 15:00:00;;Potato;58975.7;Silo76
Cr1231;2024-03-03 15:00:00;;Potato;26989.7;Silo50
Cr969;2024-03-03 15:00:00;;Rice;50331.7;Silo14
Cr1481;2024-03-03 15:00:00;;Rice;44543.7;Silo63
Cr897;2024-03-03 15:00:00;;Other;41829.2;Silo67
Cr1684;2024-03-03 15:00:00;;Rice;64158.4;Silo17
Cr810;2024-03-03 15:00:00;;Wheat;29469.9;Silo14
Cr496;2024-03-03 15:00:00;;Other;34660.1;Silo45
Cr1505;2024-03-03 15:00:00;;Potato;39387.6;Silo23
