ocel_id;ocel_time
create_td1;2023-05-23 01:01:23
create_td2;2023-05-23 07:40:11
create_td3;2023-05-24 01:21:37
create_td4;2023-05-24 07:40:55
create_td5;2023-05-25 01:22:45
create_td6;2023-05-25 07:44:17
create_td7;2023-05-26 01:27:46
create_td8;2023-05-26 07:59:23
create_td9;2023-05-27 04:08:00
create_td10;2023-05-29 22:57:38
create_td11;2023-05-30 05:13:18
create_td12;2023-05-30 23:14:39
create_td13;2023-05-31 04:47:18
create_td14;2023-05-31 23:22:39
create_td15;2023-06-01 05:03:19
create_td16;2023-06-01 23:54:39
create_td17;2023-06-02 06:07:18
create_td18;2023-06-03 01:55:54
create_td19;2023-06-05 22:13:03
create_td20;2023-06-06 03:44:07
create_td21;2023-06-06 22:16:14
create_td22;2023-06-07 03:50:30
create_td23;2023-06-07 22:29:02
create_td24;2023-06-08 04:16:07
create_td25;2023-06-08 22:20:15
create_td26;2023-06-09 03:58:30
create_td27;2023-06-09 23:43:34
create_td28;2023-06-12 20:12:36
create_td29;2023-06-13 01:43:13
create_td30;2023-06-13 19:45:41
create_td31;2023-06-14 01:59:53
create_td32;2023-06-14 20:35:41
create_td33;2023-06-15 02:29:23
create_td34;2023-06-15 20:46:46
create_td35;2023-06-16 02:51:34
create_td36;2023-06-16 22:01:00
create_td37;2023-06-17 06:39:09
create_td38;2023-06-20 01:03:13
create_td39;2023-06-20 07:45:44
create_td40;2023-06-21 01:29:56
create_td41;2023-06-21 08:05:53
create_td42;2023-06-22 02:00:11
create_td43;2023-06-22 20:36:34
create_td44;2023-06-23 02:31:11
create_td45;2023-06-23 21:11:27
create_td46;2023-06-24 05:00:06
create_td47;2023-06-27 00:26:10
create_td48;2023-06-27 06:10:22
create_td49;2023-06-28 00:06:56
create_td50;2023-06-28 05:31:53
create_td51;2023-06-28 23:51:46
create_td52;2023-06-29 06:01:34
create_td53;2023-06-30 00:51:10
create_td54;2023-06-30 07:09:34
create_td55;2023-07-01 02:42:38
create_td56;2023-07-03 22:32:31
create_td57;2023-07-04 04:23:02
create_td58;2023-07-04 22:34:06
create_td59;2023-07-05 04:26:14
create_td60;2023-07-05 22:40:30
create_td61;2023-07-06 04:39:02
create_td62;2023-07-06 23:06:06
create_td63;2023-07-07 05:30:15
create_td64;2023-07-08 01:26:19
create_td65;2023-07-10 21:22:47
create_td66;2023-07-11 03:03:35
create_td67;2023-07-11 21:55:11
create_td68;2023-07-12 04:08:23
create_td69;2023-07-12 22:04:46
create_td70;2023-07-13 04:27:35
create_td71;2023-07-13 22:43:10
create_td72;2023-07-14 04:44:23
create_td73;2023-07-15 00:34:57
create_td74;2023-07-17 20:55:25
create_td75;2023-07-18 03:08:52
create_td76;2023-07-18 21:05:47
create_td77;2023-07-19 03:29:35
create_td78;2023-07-19 21:47:10
create_td79;2023-07-20 03:52:22
create_td80;2023-07-20 22:32:47
create_td81;2023-07-21 04:23:35
create_td82;2023-07-21 23:44:25
create_td83;2023-07-24 20:14:41
create_td84;2023-07-25 01:47:22
create_td85;2023-07-25 19:58:11
create_td86;2023-07-26 02:18:37
create_td87;2023-07-26 20:25:16
create_td88;2023-07-27 02:08:35
create_td89;2023-07-27 20:01:47
create_td90;2023-07-28 02:24:01
create_td91;2023-07-28 20:54:05
create_td92;2023-07-29 05:25:22
create_td93;2023-08-01 00:09:08
create_td94;2023-08-01 05:36:19
create_td95;2023-08-02 00:00:38
create_td96;2023-08-02 06:19:18
create_td97;2023-08-03 00:20:19
create_td98;2023-08-03 05:58:41
create_td99;2023-08-04 00:45:22
create_td100;2023-08-04 06:52:11
create_td101;2023-08-05 03:12:49
create_td102;2023-08-07 22:23:47
create_td103;2023-08-08 04:05:37
create_td104;2023-08-08 22:59:14
create_td105;2023-08-09 05:16:31
create_td106;2023-08-09 23:21:02
create_td107;2023-08-10 05:00:07
create_td108;2023-08-10 23:48:14
create_td109;2023-08-11 05:54:30
create_td110;2023-08-12 02:25:15
create_td111;2023-08-14 22:02:57
create_td112;2023-08-15 04:23:56
create_td113;2023-08-15 22:35:54
create_td114;2023-08-16 04:29:51
create_td115;2023-08-16 22:47:43
create_td116;2023-08-17 04:53:27
create_td117;2023-08-17 23:34:54
create_td118;2023-08-18 05:27:50
create_td119;2023-08-19 01:20:30
create_td120;2023-08-21 21:12:54
create_td121;2023-08-22 02:43:48
create_td122;2023-08-22 21:15:38
create_td123;2023-08-23 02:49:19
create_td124;2023-08-23 21:26:38
create_td125;2023-08-24 03:11:18
create_td126;2023-08-24 21:10:38
create_td127;2023-08-25 02:39:19
create_td128;2023-08-25 21:31:12
create_td129;2023-08-26 05:39:35
create_td130;2023-08-29 00:33:19
create_td131;2023-08-29 06:24:40
create_td132;2023-08-30 00:28:22
create_td133;2023-08-30 06:14:46
create_td134;2023-08-31 00:13:31
create_td135;2023-08-31 05:45:04
create_td136;2023-09-01 00:18:11
create_td137;2023-09-01 05:54:22
create_td138;2023-09-02 02:24:56
create_td139;2023-09-04 22:02:26
create_td140;2023-09-05 04:22:53
create_td141;2023-09-05 22:33:46
create_td142;2023-09-06 04:25:34
create_td143;2023-09-06 22:39:10
create_td144;2023-09-07 04:36:22
create_td145;2023-09-07 23:00:47
create_td146;2023-09-08 05:19:35
create_td147;2023-09-09 01:00:26
create_td148;2023-09-11 21:38:45
create_td149;2023-09-12 03:35:31
create_td150;2023-09-12 21:59:02
create_td151;2023-09-13 04:16:06
create_td152;2023-09-13 22:20:15
create_td153;2023-09-14 03:58:30
create_td154;2023-09-14 22:45:03
create_td155;2023-09-15 04:48:07
create_td156;2023-09-16 00:44:00
create_td157;2023-09-18 21:10:50
create_td158;2023-09-19 02:39:42
create_td159;2023-09-19 21:07:26
create_td160;2023-09-20 02:32:55
