ocel_id;ocel_time
depart_vh1;2023-05-30 11:00:00
depart_vh2;2023-06-02 11:00:00
depart_vh3;2023-06-06 11:00:00
depart_vh4;2023-06-09 11:00:00
depart_vh5;2023-06-13 11:00:00
depart_vh6;2023-06-16 11:00:00
depart_vh7;2023-06-20 11:00:00
depart_vh8;2023-06-23 11:00:00
depart_vh9;2023-06-27 11:00:00
depart_vh10;2023-06-30 11:00:00
depart_vh11;2023-07-04 11:00:00
depart_vh12;2023-07-07 11:00:00
depart_vh13;2023-07-11 11:00:00
depart_vh14;2023-07-14 11:00:00
depart_vh15;2023-07-18 11:00:00
depart_vh16;2023-07-21 11:00:00
depart_vh17;2023-07-25 11:00:00
depart_vh18;2023-07-28 11:00:00
depart_vh19;2023-08-01 11:00:00
depart_vh20;2023-08-04 11:00:00
depart_vh21;2023-08-08 11:00:00
depart_vh22;2023-08-11 11:00:00
depart_vh23;2023-08-15 11:00:00
depart_vh24;2023-08-18 11:00:00
depart_vh25;2023-08-22 11:00:00
depart_vh26;2023-08-25 11:00:00
depart_vh27;2023-08-29 11:00:00
depart_vh28;2023-09-01 11:00:00
depart_vh29;2023-09-05 11:00:00
depart_vh30;2023-09-08 11:00:00
depart_vh31;2023-09-12 11:00:00
depart_vh32;2023-09-15 11:00:00
depart_vh33;2023-09-19 11:00:00
depart_vh34;2023-09-22 11:00:00
depart_vh35;2023-09-26 11:00:00
depart_vh36;2023-09-29 11:00:00
depart_vh37;2023-10-03 11:00:00
depart_vh38;2023-10-06 11:00:00
depart_vh39;2023-10-10 11:00:00
depart_vh40;2023-10-13 11:00:00
depart_vh41;2023-10-17 11:00:00
depart_vh42;2023-10-20 11:00:00
depart_vh43;2023-10-24 11:00:00
depart_vh44;2023-10-27 11:00:00
depart_vh45;2023-10-31 11:00:00
depart_vh46;2023-11-03 11:00:00
depart_vh47;2023-11-07 11:00:00
depart_vh48;2023-11-10 11:00:00
depart_vh49;2023-11-14 11:00:00
depart_vh50;2023-11-17 11:00:00
depart_vh51;2023-11-21 11:00:00
depart_vh52;2023-11-24 11:00:00
depart_vh53;2023-11-28 11:00:00
depart_vh54;2023-12-01 11:00:00
depart_vh55;2023-12-05 11:00:00
depart_vh56;2023-12-08 11:00:00
depart_vh57;2023-12-12 11:00:00
depart_vh58;2023-12-15 11:00:00
depart_vh59;2023-12-19 11:00:00
depart_vh60;2023-12-22 11:00:00
depart_vh61;2023-12-26 11:00:00
depart_vh62;2023-12-29 11:00:00
depart_vh63;2024-01-02 11:00:00
depart_vh64;2024-01-05 11:00:00
depart_vh65;2024-01-09 11:00:00
depart_vh66;2024-01-12 11:00:00
depart_vh67;2024-01-16 11:00:00
depart_vh68;2024-01-19 11:00:00
depart_vh69;2024-01-23 11:00:00
depart_vh70;2024-01-26 11:00:00
depart_vh71;2024-01-30 11:00:00
depart_vh72;2024-02-02 11:00:00
depart_vh73;2024-02-06 11:00:00
depart_vh74;2024-02-09 11:00:00
depart_vh75;2024-02-13 11:00:00
depart_vh76;2024-02-16 11:00:00
depart_vh77;2024-02-20 11:00:00
depart_vh78;2024-02-23 11:00:00
depart_vh79;2024-02-27 11:00:00
depart_vh80;2024-03-01 11:00:00
depart_vh81;2024-03-05 11:00:00
depart_vh82;2024-03-08 11:00:00
depart_vh83;2024-03-12 11:00:00
depart_vh84;2024-03-15 11:00:00
depart_vh85;2024-03-19 11:00:00
depart_vh86;2024-03-22 11:00:00
depart_vh87;2024-03-26 11:00:00
depart_vh88;2024-03-29 11:00:00
depart_vh89;2024-04-02 11:00:00
depart_vh90;2024-04-05 11:00:00
depart_vh91;2024-04-09 11:00:00
depart_vh92;2024-04-12 11:00:00
depart_vh93;2024-04-16 11:00:00
depart_vh94;2024-04-19 11:00:00
depart_vh95;2024-04-23 11:00:00
depart_vh96;2024-04-26 11:00:00
depart_vh97;2024-04-30 11:00:00
depart_vh98;2024-05-03 11:00:00
depart_vh99;2024-05-07 11:00:00
depart_vh100;2024-05-10 11:00:00
depart_vh102;2024-05-17 11:00:00
depart_vh103;2024-05-21 11:00:00
depart_vh104;2024-05-24 11:00:00
depart_vh105;2024-05-28 11:00:00
depart_vh106;2024-05-31 11:00:00
depart_vh107;2024-06-04 11:00:00
depart_vh108;2024-06-07 11:00:00
depart_vh109;2024-06-11 11:00:00
depart_vh110;2024-06-14 11:00:00
depart_vh111;2024-06-18 11:00:00
depart_vh112;2024-06-21 11:00:00
depart_vh113;2024-06-25 11:00:00
depart_vh114;2024-06-28 11:00:00
depart_vh115;2024-07-02 11:00:00
depart_vh116;2024-07-05 11:00:00
depart_vh117;2024-07-09 11:00:00
depart_vh118;2024-07-12 11:00:00
depart_vh119;2024-07-16 11:00:00
depart_vh120;2024-07-19 11:00:00
depart_vh121;2024-07-23 11:00:00
depart_vh122;2024-07-26 11:00:00
depart_vh123;2024-07-30 11:00:00
depart_vh124;2024-08-02 11:00:00
depart_vh125;2024-08-06 11:00:00
depart_vh126;2024-08-09 11:00:00
depart_vh127;2024-08-13 11:00:00
depart_vh128;2024-08-16 11:00:00
depart_vh129;2024-08-20 11:00:00
depart_vh130;2024-08-23 11:00:00
depart_vh131;2024-08-27 11:00:00
depart_vh132;2024-08-30 11:00:00
depart_vh133;2024-09-03 11:00:00
depart_vh134;2024-09-06 11:00:00
depart_vh135;2024-09-10 11:00:00
depart_vh136;2024-09-13 11:00:00
depart_vh137;2024-09-17 11:00:00
depart_vh138;2024-09-20 11:00:00
depart_vh139;2024-09-24 11:00:00
depart_vh140;2024-09-27 11:00:00
depart_vh141;2024-10-01 11:00:00
depart_vh142;2024-10-04 11:00:00
depart_vh143;2024-10-08 11:00:00
depart_vh144;2024-10-11 11:00:00
depart_vh145;2024-10-15 11:00:00
depart_vh146;2024-10-18 11:00:00
depart_vh147;2024-10-22 11:00:00
depart_vh148;2024-10-25 11:00:00
depart_vh149;2024-10-29 11:00:00
depart_vh150;2024-11-01 11:00:00
depart_vh151;2024-11-05 11:00:00
depart_vh152;2024-11-08 11:00:00
depart_vh153;2024-11-12 11:00:00
depart_vh154;2024-11-15 11:00:00
depart_vh155;2024-11-19 11:00:00
depart_vh156;2024-11-22 11:00:00
depart_vh157;2024-11-26 11:00:00
depart_vh158;2024-11-29 11:00:00
depart_vh159;2024-12-03 11:00:00
depart_vh160;2024-12-06 11:00:00
depart_vh161;2024-12-10 11:00:00
depart_vh162;2024-12-13 11:00:00
depart_vh163;2024-12-17 11:00:00
depart_vh164;2024-12-20 11:00:00
depart_vh165;2024-12-24 11:00:00
depart_vh166;2024-12-27 11:00:00
depart_vh167;2024-12-31 11:00:00
depart_vh168;2025-01-03 11:00:00
depart_vh169;2025-01-07 11:00:00
depart_vh170;2025-01-10 11:00:00
depart_vh171;2025-01-14 11:00:00
depart_vh172;2025-01-17 11:00:00
depart_vh173;2025-01-21 11:00:00
depart_vh174;2025-01-24 11:00:00
depart_vh175;2025-01-28 11:00:00
depart_vh176;2025-01-31 11:00:00
depart_vh177;2025-02-04 11:00:00
depart_vh178;2025-02-07 11:00:00
depart_vh179;2025-02-11 11:00:00
depart_vh180;2025-02-14 11:00:00
depart_vh181;2025-02-18 11:00:00
depart_vh182;2025-02-21 11:00:00
depart_vh183;2025-02-25 11:00:00
depart_vh184;2025-02-28 11:00:00
depart_vh185;2025-03-04 11:00:00
depart_vh186;2025-03-07 11:00:00
depart_vh187;2025-03-11 11:00:00
depart_vh188;2025-03-14 11:00:00
depart_vh189;2025-03-18 11:00:00
depart_vh190;2025-03-21 11:00:00
depart_vh191;2025-03-25 11:00:00
depart_vh192;2025-03-28 11:00:00
depart_vh193;2025-04-01 11:00:00
depart_vh194;2025-04-04 11:00:00
depart_vh195;2025-04-08 11:00:00
depart_vh196;2025-04-11 11:00:00
depart_vh197;2025-04-15 11:00:00
depart_vh198;2025-04-18 11:00:00
depart_vh199;2025-04-22 11:00:00
depart_vh200;2025-04-25 11:00:00
depart_vh201;2025-04-29 11:00:00
depart_vh202;2025-05-02 11:00:00
depart_vh203;2025-05-06 11:00:00
depart_vh204;2025-05-09 11:00:00
depart_vh205;2025-05-13 11:00:00
depart_vh206;2025-05-16 11:00:00
depart_vh207;2025-05-20 11:00:00
depart_vh208;2025-05-23 11:00:00
depart_vh209;2025-05-27 11:00:00
depart_vh210;2025-05-30 11:00:00
depart_vh211;2025-06-03 11:00:00
depart_vh212;2025-06-06 11:00:00
depart_vh213;2025-06-10 11:00:00
depart_vh214;2025-06-13 11:00:00
depart_vh215;2025-06-17 11:00:00
depart_vh216;2025-06-20 11:00:00
depart_vh217;2025-06-24 11:00:00
depart_vh218;2025-06-27 11:00:00
depart_vh219;2025-07-01 11:00:00
depart_vh220;2025-07-04 11:00:00
depart_vh221;2025-07-08 11:00:00
depart_vh222;2025-07-11 11:00:00
depart_vh223;2025-07-15 11:00:00
depart_vh224;2025-07-18 11:00:00
depart_vh225;2025-07-22 11:00:00
depart_vh226;2025-07-25 11:00:00
depart_vh228;2025-08-01 11:00:00
depart_vh229;2025-08-05 11:00:00
depart_vh230;2025-08-08 11:00:00
depart_vh231;2025-08-12 11:00:00
depart_vh232;2025-08-15 11:00:00
depart_vh233;2025-08-19 11:00:00
depart_vh234;2025-08-22 11:00:00
depart_vh235;2025-08-26 11:00:00
depart_vh236;2025-08-29 11:00:00
depart_vh237;2025-09-02 11:00:00
depart_vh238;2025-09-05 11:00:00
depart_vh239;2025-09-09 11:00:00
depart_vh240;2025-09-12 11:00:00
depart_vh241;2025-09-16 11:00:00
depart_vh242;2025-09-19 11:00:00
depart_vh243;2025-09-23 11:00:00
depart_vh244;2025-09-26 11:00:00
depart_vh245;2025-09-30 11:00:00
depart_vh246;2025-10-03 11:00:00
depart_vh247;2025-10-07 11:00:00
depart_vh248;2025-10-10 11:00:00
depart_vh249;2025-10-14 11:00:00
depart_vh250;2025-10-17 11:00:00
depart_vh251;2025-10-21 11:00:00
depart_vh252;2025-10-24 11:00:00
depart_vh253;2025-10-28 11:00:00
depart_vh254;2025-10-31 11:00:00
depart_vh255;2025-11-04 11:00:00
depart_vh256;2025-11-07 11:00:00
depart_vh257;2025-11-11 11:00:00
depart_vh258;2025-11-14 11:00:00
depart_vh259;2025-11-18 11:00:00
depart_vh260;2025-11-21 11:00:00
depart_vh261;2025-11-25 11:00:00
depart_vh262;2025-11-28 11:00:00
depart_vh263;2025-12-02 11:00:00
depart_vh264;2025-12-05 11:00:00
depart_vh265;2025-12-09 11:00:00
depart_vh266;2025-12-12 11:00:00
depart_vh267;2025-12-16 11:00:00
depart_vh268;2025-12-19 11:00:00
depart_vh269;2025-12-23 11:00:00
depart_vh270;2025-12-26 11:00:00
depart_vh271;2025-12-30 11:00:00
depart_vh272;2026-01-02 11:00:00
depart_vh273;2026-01-06 11:00:00
depart_vh274;2026-01-09 11:00:00
depart_vh275;2026-01-13 11:00:00
