ocel_id;ocel_time;ocel_changed_field
hu6;2023-05-23 04:21:24;
hu2;2023-05-23 04:23:54;
hu5;2023-05-23 04:26:24;
hu1;2023-05-23 04:28:54;
hu4;2023-05-23 04:31:24;
hu3;2023-05-23 04:33:54;
hu8;2023-05-23 04:47:54;
hu11;2023-05-23 04:50:24;
hu7;2023-05-23 04:52:54;
hu10;2023-05-23 04:55:24;
hu9;2023-05-23 04:57:54;
hu12;2023-05-23 05:00:24;
hu18;2023-05-23 05:14:24;
hu16;2023-05-23 05:16:54;
hu17;2023-05-23 05:19:24;
hu13;2023-05-23 05:21:54;
hu14;2023-05-23 05:24:24;
hu15;2023-05-23 05:26:54;
hu19;2023-05-23 05:40:54;
hu21;2023-05-23 05:53:39;
hu23;2023-05-23 05:56:09;
hu20;2023-05-23 05:58:39;
hu24;2023-05-23 06:01:09;
hu25;2023-05-23 06:03:39;
hu22;2023-05-23 06:06:09;
hu30;2023-05-23 11:00:12;
hu29;2023-05-23 11:03:32;
hu26;2023-05-23 11:08:07;
hu28;2023-05-23 11:12:42;
hu27;2023-05-23 11:17:17;
hu31;2023-05-23 11:21:52;
hu32;2023-05-23 11:47:29;
hu35;2023-05-23 11:52:04;
hu34;2023-05-23 11:56:39;
hu36;2023-05-23 12:01:14;
hu33;2023-05-23 12:05:49;
hu42;2023-05-23 12:30:59;
hu40;2023-05-23 12:35:34;
hu41;2023-05-23 12:40:09;
hu37;2023-05-23 12:44:44;
hu39;2023-05-23 12:49:19;
hu38;2023-05-23 12:53:54;
hu47;2023-05-23 13:19:31;
hu46;2023-05-23 13:24:06;
hu44;2023-05-23 13:28:41;
hu45;2023-05-23 13:33:16;
hu43;2023-05-23 13:37:51;
hu48;2023-05-23 13:42:26;
hu53;2023-05-23 14:08:03;
hu50;2023-05-23 14:12:38;
hu54;2023-05-23 14:17:13;
hu51;2023-05-23 14:21:48;
hu49;2023-05-23 14:26:23;
hu52;2023-05-23 14:30:58;
hu58;2023-05-24 04:41:38;
hu57;2023-05-24 04:46:38;
hu56;2023-05-24 04:51:38;
hu60;2023-05-24 04:56:38;
hu55;2023-05-24 05:01:38;
hu59;2023-05-24 05:06:38;
hu64;2023-05-24 11:00:56;
hu65;2023-05-24 11:06:46;
hu61;2023-05-24 11:13:01;
hu63;2023-05-24 11:19:16;
hu66;2023-05-24 11:25:31;
hu62;2023-05-24 11:31:46;
hu67;2023-05-24 12:06:43;
hu69;2023-05-24 12:12:58;
hu68;2023-05-24 12:19:13;
hu75;2023-05-24 12:52:19;
hu73;2023-05-24 12:58:34;
hu72;2023-05-24 13:04:49;
hu71;2023-05-24 13:11:04;
hu70;2023-05-24 13:17:19;
hu74;2023-05-24 13:23:34;
hu79;2023-05-25 04:42:46;
hu78;2023-05-25 04:49:26;
hu81;2023-05-25 04:56:56;
hu77;2023-05-25 05:04:26;
hu76;2023-05-25 05:11:56;
hu80;2023-05-25 05:19:26;
hu87;2023-05-25 06:01:26;
hu83;2023-05-25 06:08:56;
hu82;2023-05-25 06:16:26;
hu86;2023-05-25 06:23:56;
hu84;2023-05-25 06:31:26;
hu85;2023-05-25 06:38:56;
hu88;2023-05-25 07:20:56;
hu90;2023-05-25 07:28:26;
hu89;2023-05-25 07:35:56;
hu96;2023-05-25 11:04:18;
hu91;2023-05-25 11:11:48;
hu94;2023-05-25 11:20:08;
hu93;2023-05-25 11:28:28;
hu92;2023-05-25 11:36:48;
hu95;2023-05-25 11:45:08;
hu100;2023-05-25 12:31:48;
hu97;2023-05-25 12:40:08;
hu98;2023-05-25 12:48:28;
hu99;2023-05-25 12:56:48;
hu103;2023-05-26 04:47:46;
hu105;2023-05-26 04:57:21;
hu101;2023-05-26 05:07:46;
hu104;2023-05-26 05:18:11;
hu106;2023-05-26 05:28:36;
hu102;2023-05-26 05:39:01;
hu111;2023-05-26 06:38:14;
hu109;2023-05-26 06:48:39;
hu108;2023-05-26 06:59:04;
hu110;2023-05-26 07:09:29;
hu107;2023-05-26 07:19:54;
hu112;2023-05-26 07:30:19;
hu115;2023-05-26 08:28:42;
hu113;2023-05-26 08:39:07;
hu114;2023-05-26 08:49:32;
hu116;2023-05-26 09:44:46;
hu117;2023-05-26 09:55:11;
hu121;2023-05-26 10:05:36;
hu120;2023-05-26 10:16:01;
hu118;2023-05-26 10:26:26;
hu119;2023-05-26 10:36:51;
hu125;2023-05-26 11:35:14;
hu127;2023-05-26 11:47:44;
hu124;2023-05-26 12:00:14;
hu123;2023-05-26 12:12:44;
hu126;2023-05-26 12:25:14;
hu122;2023-05-26 12:37:44;
hu129;2023-05-26 13:47:44;
hu133;2023-05-26 14:00:14;
hu132;2023-05-26 14:12:44;
hu130;2023-05-26 14:25:14;
hu128;2023-05-26 14:37:44;
hu131;2023-05-26 14:50:14;
hu139;2023-05-26 16:00:14;
hu134;2023-05-26 16:12:44;
hu136;2023-05-26 16:25:14;
hu135;2023-05-26 16:37:44;
hu138;2023-05-26 16:50:14;
hu137;2023-05-26 17:02:44;
hu142;2023-05-26 18:12:44;
hu141;2023-05-26 18:25:14;
hu143;2023-05-26 18:37:44;
hu140;2023-05-26 18:50:14;
hu147;2023-05-26 19:57:44;
hu149;2023-05-26 20:10:14;
hu145;2023-05-26 20:22:44;
hu148;2023-05-26 20:35:14;
hu144;2023-05-26 20:47:44;
hu146;2023-05-26 21:00:14;
hu154;2023-05-26 22:10:14;
hu152;2023-05-26 22:22:44;
hu153;2023-05-26 22:35:14;
hu155;2023-05-26 22:47:44;
hu151;2023-05-26 23:00:14;
hu150;2023-05-26 23:12:44;
hu156;2023-05-27 07:28:00;
hu158;2023-05-27 07:41:20;
hu157;2023-05-27 07:55:30;
hu159;2023-05-27 09:10:35;
hu160;2023-05-27 09:24:45;
hu162;2023-05-27 09:38:55;
hu164;2023-05-27 09:53:05;
hu163;2023-05-27 10:07:15;
hu161;2023-05-27 10:21:25;
hu167;2023-05-27 11:40:45;
hu168;2023-05-27 11:54:55;
hu170;2023-05-27 12:09:05;
hu166;2023-05-27 12:23:15;
hu165;2023-05-27 12:37:25;
hu169;2023-05-27 12:51:35;
hu175;2023-05-27 14:10:55;
hu173;2023-05-27 14:25:05;
hu171;2023-05-27 14:39:15;
hu176;2023-05-27 14:53:25;
hu174;2023-05-27 15:07:35;
hu172;2023-05-27 15:21:45;
hu180;2023-05-30 02:17:39;
hu181;2023-05-30 02:30:09;
hu178;2023-05-30 02:43:29;
hu179;2023-05-30 02:56:49;
hu177;2023-05-30 03:10:09;
hu182;2023-05-30 03:23:29;
hu187;2023-05-30 04:38:09;
hu186;2023-05-30 04:51:29;
hu188;2023-05-30 05:04:49;
hu183;2023-05-30 05:18:09;
hu185;2023-05-30 05:31:29;
hu184;2023-05-30 05:44:49;
hu192;2023-05-30 06:59:29;
hu193;2023-05-30 07:12:49;
hu194;2023-05-30 07:26:09;
hu191;2023-05-30 07:39:29;
hu189;2023-05-30 07:52:49;
hu190;2023-05-30 08:06:09;
hu200;2023-05-30 09:23:19;
hu198;2023-05-30 09:37:29;
hu196;2023-05-30 09:51:39;
hu195;2023-05-30 10:05:49;
hu199;2023-05-30 10:19:59;
hu197;2023-05-30 10:34:09;
hu201;2023-05-30 11:53:29;
hu203;2023-05-30 12:07:39;
hu202;2023-05-30 12:21:49;
hu206;2023-05-30 12:35:59;
hu204;2023-05-30 12:50:09;
hu205;2023-05-30 13:04:19;
hu210;2023-05-30 14:23:39;
hu209;2023-05-30 14:37:49;
