ocel_id;ocel_time
order_crs_td1;2023-05-23 04:43:33
order_crs_td2;2023-05-23 11:37:03
order_crs_td3;2023-05-24 04:20:46
order_crs_td4;2023-05-24 11:52:17
order_crs_td5;2023-05-25 04:13:46
order_crs_td6;2023-05-25 12:17:12
order_crs_td7;2023-05-26 05:30:41
order_crs_td8;2023-05-26 10:14:43
order_crs_td9;2023-05-27 06:47:36
order_crs_td10;2023-05-30 03:15:21
order_crs_td11;2023-05-30 09:16:04
order_crs_td12;2023-05-31 01:57:01
order_crs_td13;2023-05-31 07:26:48
order_crs_td14;2023-06-01 03:20:22
order_crs_td15;2023-06-01 08:45:44
order_crs_td16;2023-06-02 02:26:30
order_crs_td17;2023-06-02 09:56:34
order_crs_td18;2023-06-03 06:00:14
order_crs_td19;2023-06-06 01:40:52
order_crs_td20;2023-06-06 07:21:33
order_crs_td21;2023-06-07 02:49:04
order_crs_td22;2023-06-07 06:34:29
order_crs_td23;2023-06-08 02:34:35
order_crs_td24;2023-06-08 07:30:56
order_crs_td25;2023-06-09 02:11:33
order_crs_td26;2023-06-09 07:01:58
order_crs_td27;2023-06-10 03:00:36
order_crs_td28;2023-06-13 00:37:05
order_crs_td29;2023-06-13 05:40:50
order_crs_td30;2023-06-13 22:22:58
order_crs_td31;2023-06-14 05:31:55
order_crs_td32;2023-06-15 00:23:49
order_crs_td33;2023-06-15 06:42:06
order_crs_td34;2023-06-16 00:23:55
order_crs_td35;2023-06-16 06:32:17
order_crs_td36;2023-06-17 01:01:31
order_crs_td37;2023-06-17 10:27:27
order_crs_td38;2023-06-20 04:21:01
order_crs_td39;2023-06-20 10:45:56
order_crs_td40;2023-06-21 04:20:02
order_crs_td41;2023-06-21 12:12:35
order_crs_td42;2023-06-22 05:18:52
order_crs_td43;2023-06-22 23:12:44
order_crs_td44;2023-06-23 05:48:10
order_crs_td45;2023-06-24 00:42:02
order_crs_td46;2023-06-24 08:54:39
order_crs_td47;2023-06-27 04:18:31
order_crs_td48;2023-06-27 10:23:40
order_crs_td49;2023-06-28 03:51:31
order_crs_td50;2023-06-28 08:32:02
order_crs_td51;2023-06-29 03:34:44
order_crs_td52;2023-06-29 10:13:15
order_crs_td53;2023-06-30 03:41:41
order_crs_td54;2023-06-30 09:52:52
order_crs_td55;2023-07-01 05:05:36
order_crs_td56;2023-07-04 02:47:01
order_crs_td57;2023-07-04 06:41:19
order_crs_td58;2023-07-05 01:51:39
order_crs_td59;2023-07-05 06:39:25
order_crs_td60;2023-07-06 02:53:38
order_crs_td61;2023-07-06 08:39:10
order_crs_td62;2023-07-07 02:25:20
order_crs_td63;2023-07-07 09:28:58
order_crs_td64;2023-07-08 03:56:52
order_crs_td65;2023-07-11 01:54:03
order_crs_td66;2023-07-11 06:20:04
order_crs_td67;2023-07-12 00:50:59
order_crs_td68;2023-07-12 07:22:54
order_crs_td69;2023-07-13 00:35:44
order_crs_td70;2023-07-13 08:07:51
order_crs_td71;2023-07-14 02:01:21
order_crs_td72;2023-07-14 07:00:57
order_crs_td73;2023-07-15 04:37:29
order_crs_td74;2023-07-18 00:09:39
order_crs_td75;2023-07-18 06:59:02
order_crs_td76;2023-07-19 00:35:40
order_crs_td77;2023-07-19 06:36:15
order_crs_td78;2023-07-20 01:09:19
order_crs_td79;2023-07-20 08:02:43
order_crs_td80;2023-07-21 02:43:27
order_crs_td81;2023-07-21 08:08:05
order_crs_td82;2023-07-22 03:04:25
order_crs_td83;2023-07-24 22:29:28
order_crs_td84;2023-07-25 05:44:15
order_crs_td85;2023-07-25 23:55:18
order_crs_td86;2023-07-26 05:58:09
order_crs_td87;2023-07-27 00:13:10
order_crs_td88;2023-07-27 05:35:13
order_crs_td89;2023-07-27 23:42:29
order_crs_td90;2023-07-28 05:47:12
order_crs_td91;2023-07-29 00:53:39
order_crs_td92;2023-07-29 09:55:31
order_crs_td93;2023-08-01 03:33:28
order_crs_td94;2023-08-01 08:15:33
order_crs_td95;2023-08-02 03:37:05
order_crs_td96;2023-08-02 10:59:32
order_crs_td97;2023-08-03 03:16:13
order_crs_td98;2023-08-03 09:24:59
order_crs_td99;2023-08-04 04:34:08
order_crs_td100;2023-08-04 10:27:35
order_crs_td101;2023-08-05 06:47:10
order_crs_td102;2023-08-08 02:30:19
order_crs_td103;2023-08-08 07:33:37
order_crs_td104;2023-08-09 01:52:08
order_crs_td105;2023-08-09 08:11:35
order_crs_td106;2023-08-10 01:37:51
order_crs_td107;2023-08-10 07:08:30
order_crs_td108;2023-08-11 03:57:20
order_crs_td109;2023-08-11 10:01:05
order_crs_td110;2023-08-12 05:05:14
order_crs_td111;2023-08-15 01:55:10
order_crs_td112;2023-08-15 07:18:30
order_crs_td113;2023-08-16 02:51:40
order_crs_td114;2023-08-16 07:56:25
order_crs_td115;2023-08-17 03:03:57
order_crs_td116;2023-08-17 08:50:31
order_crs_td117;2023-08-18 02:29:48
order_crs_td118;2023-08-18 09:11:27
order_crs_td119;2023-08-19 05:16:56
order_crs_td120;2023-08-21 23:39:51
order_crs_td121;2023-08-22 05:56:42
order_crs_td122;2023-08-23 01:38:13
order_crs_td123;2023-08-23 06:00:03
order_crs_td124;2023-08-24 01:17:34
order_crs_td125;2023-08-24 06:03:21
order_crs_td126;2023-08-25 00:35:42
order_crs_td127;2023-08-25 06:50:03
order_crs_td128;2023-08-26 00:09:17
order_crs_td129;2023-08-26 09:38:45
order_crs_td130;2023-08-29 04:14:40
order_crs_td131;2023-08-29 10:38:32
order_crs_td132;2023-08-30 03:53:11
order_crs_td133;2023-08-30 08:45:41
order_crs_td134;2023-08-31 04:13:33
order_crs_td135;2023-08-31 08:03:26
order_crs_td136;2023-09-01 04:37:49
order_crs_td137;2023-09-01 08:29:22
order_crs_td138;2023-09-02 05:57:26
order_crs_td139;2023-09-05 01:39:39
order_crs_td140;2023-09-05 08:57:38
order_crs_td141;2023-09-06 01:57:04
order_crs_td142;2023-09-06 06:43:17
order_crs_td143;2023-09-07 01:18:54
order_crs_td144;2023-09-07 08:24:13
order_crs_td145;2023-09-08 02:43:49
order_crs_td146;2023-09-08 08:20:56
order_crs_td147;2023-09-09 04:59:44
order_crs_td148;2023-09-12 00:22:44
order_crs_td149;2023-09-12 06:51:05
order_crs_td150;2023-09-13 01:16:57
order_crs_td151;2023-09-13 08:12:51
order_crs_td152;2023-09-14 01:14:40
order_crs_td153;2023-09-14 07:55:47
order_crs_td154;2023-09-15 02:32:00
order_crs_td155;2023-09-15 07:17:18
order_crs_td156;2023-09-16 04:34:24
order_crs_td157;2023-09-19 01:00:06
order_crs_td158;2023-09-19 05:07:19
order_crs_td159;2023-09-20 01:25:57
order_crs_td160;2023-09-20 04:45:04
order_crs_td161;2023-09-21 00:56:29
order_crs_td162;2023-09-21 06:02:20
order_crs_td163;2023-09-22 00:23:32
order_crs_td164;2023-09-22 06:51:37
order_crs_td165;2023-09-23 02:07:12
order_crs_td166;2023-09-25 22:24:24
order_crs_td167;2023-09-26 04:19:59
order_crs_td168;2023-09-26 23:18:02
order_crs_td169;2023-09-27 06:06:30
order_crs_td170;2023-09-27 22:49:55
order_crs_td171;2023-09-28 05:23:38
order_crs_td172;2023-09-28 23:59:09
order_crs_td173;2023-09-29 05:59:18
order_crs_td174;2023-09-30 00:10:38
order_crs_td175;2023-09-30 07:41:41
order_crs_td176;2023-10-03 04:11:54
order_crs_td177;2023-10-03 08:30:17
order_crs_td178;2023-10-04 02:52:43
order_crs_td179;2023-10-04 09:16:32
order_crs_td180;2023-10-05 03:43:24
order_crs_td181;2023-10-05 08:49:37
order_crs_td182;2023-10-06 03:11:42
order_crs_td183;2023-10-06 10:04:03
order_crs_td184;2023-10-07 05:18:00
order_crs_td185;2023-10-10 02:31:16
order_crs_td186;2023-10-10 07:22:40
order_crs_td187;2023-10-11 02:48:50
order_crs_td188;2023-10-11 07:36:51
order_crs_td189;2023-10-12 03:18:36
order_crs_td190;2023-10-12 08:14:03
order_crs_td191;2023-10-13 02:58:24
order_crs_td192;2023-10-13 09:17:45
order_crs_td193;2023-10-14 04:00:04
order_crs_td194;2023-10-17 01:23:17
order_crs_td195;2023-10-17 07:56:49
order_crs_td196;2023-10-18 01:56:37
order_crs_td197;2023-10-18 06:14:16
order_crs_td198;2023-10-19 01:29:02
order_crs_td199;2023-10-19 08:42:27
order_crs_td200;2023-10-20 02:48:18
order_crs_td201;2023-10-20 08:32:45
order_crs_td202;2023-10-21 05:10:41
order_crs_td203;2023-10-24 01:41:15
order_crs_td204;2023-10-24 07:02:07
