ocel_id;ocel_time
resch_cr_cr63;2023-06-02 22:39:28
resch_cr_cr57;2023-06-03 21:06:18
resch_cr_cr91;2023-06-09 23:13:14
resch_cr_cr126;2023-06-17 00:02:50
resch_cr_cr290;2023-07-30 07:43:57
resch_cr_cr446;2023-08-26 22:31:32
resch_cr_cr499;2023-09-08 20:17:22
resch_cr_cr1141;2024-02-03 14:40:34
resch_cr_cr1144;2024-02-06 02:41:02
resch_cr_cr1142;2024-02-07 01:32:58
resch_cr_cr1154;2024-02-08 02:23:30
resch_cr_cr1148;2024-02-08 19:06:55
resch_cr_cr1171;2024-02-10 22:12:46
resch_cr_cr1145;2024-02-12 21:16:49
resch_cr_cr1332;2024-03-15 15:15:00
resch_cr_cr1528;2024-04-27 07:26:21
resch_cr_cr1523;2024-04-29 22:01:39
resch_cr_cr1680;2024-06-02 11:47:57
resch_cr_cr2267;2024-10-16 01:08:18
resch_cr_cr2283;2024-10-19 03:12:24
resch_cr_cr2427;2024-11-22 17:45:46
resch_cr_cr2444;2024-11-26 13:04:51
resch_cr_cr2440;2024-11-29 03:21:59
resch_cr_cr2586;2024-12-29 19:22:54
resch_cr_cr2726;2025-01-25 04:19:04
resch_cr_cr3190;2025-05-10 15:17:03
resch_cr_cr3251;2025-05-23 12:08:38
resch_cr_cr3433;2025-07-07 18:26:51
resch_cr_cr3471;2025-07-11 18:01:00
resch_cr_cr4112;2025-12-07 07:54:17
resch_cr_cr4719;2026-04-24 11:12:48
resch_cr_cr4731;2026-04-28 11:58:47
resch_cr_cr5025;2026-07-06 17:53:06
resch_cr_cr5203;2026-08-09 00:22:43
resch_cr_cr5391;2026-09-19 11:03:05
resch_cr_cr5514;2026-10-19 05:37:05
resch_cr_cr5505;2026-10-19 17:34:33
resch_cr_cr5958;2027-01-22 14:21:31
resch_cr_cr6061;2027-02-14 11:11:25
resch_cr_cr6092;2027-02-23 06:58:35
resch_cr_cr6070;2027-02-26 11:06:00
resch_cr_cr6110;2027-03-03 09:18:44
resch_cr_cr6132;2027-03-03 13:14:25
resch_cr_cr6067;2027-03-04 01:31:32
resch_cr_cr6143;2027-03-08 21:53:19
resch_cr_cr6204;2027-03-16 18:46:31
resch_cr_cr6208;2027-03-16 21:15:14
resch_cr_cr6127;2027-03-18 11:53:21
resch_cr_cr6301;2027-04-02 16:40:00
resch_cr_cr6399;2027-04-26 03:52:44
resch_cr_cr6458;2027-05-08 22:42:42
resch_cr_cr6642;2027-06-21 09:19:09
