ocel_id;ocel_time
to_bay_cr4;2023-05-29 04:04:25
to_bay_cr2;2023-05-29 04:04:42
to_bay_cr30;2023-05-29 04:09:26
to_bay_cr32;2023-06-01 03:33:34
to_bay_cr33;2023-06-01 03:39:54
to_bay_cr31;2023-06-01 03:40:32
to_bay_cr51;2023-06-02 06:34:00
to_bay_cr3;2023-06-04 22:59:50
to_bay_cr14;2023-06-04 23:05:04
to_bay_cr18;2023-06-04 23:06:27
to_bay_cr36;2023-06-04 23:08:26
to_bay_cr37;2023-06-04 23:09:12
to_bay_cr17;2023-06-04 23:09:44
to_bay_cr61;2023-06-04 23:11:27
to_bay_cr16;2023-06-04 23:11:45
to_bay_cr10;2023-06-04 23:11:53
to_bay_cr1;2023-06-05 00:02:07
to_bay_cr38;2023-06-05 00:48:42
to_bay_cr12;2023-06-05 01:26:10
to_bay_cr34;2023-06-05 01:54:42
to_bay_cr13;2023-06-05 02:22:22
to_bay_cr11;2023-06-05 02:59:28
to_bay_cr35;2023-06-05 03:28:44
to_bay_cr15;2023-06-05 03:55:04
to_bay_cr73;2023-06-08 03:37:44
to_bay_cr57;2023-06-08 03:38:00
to_bay_cr56;2023-06-08 03:45:24
to_bay_cr54;2023-06-08 03:45:52
to_bay_cr55;2023-06-08 03:46:30
to_bay_cr58;2023-06-08 03:53:17
to_bay_cr67;2023-06-11 22:49:32
to_bay_cr65;2023-06-11 22:49:38
to_bay_cr46;2023-06-11 22:49:54
to_bay_cr48;2023-06-11 22:53:10
to_bay_cr47;2023-06-11 22:53:54
to_bay_cr53;2023-06-11 22:54:23
to_bay_cr64;2023-06-11 22:54:50
to_bay_cr68;2023-06-11 23:02:24
to_bay_cr89;2023-06-11 23:05:02
to_bay_cr50;2023-06-12 00:17:48
to_bay_cr66;2023-06-12 01:12:55
to_bay_cr52;2023-06-12 01:52:55
to_bay_cr80;2023-06-12 02:42:34
to_bay_cr49;2023-06-12 03:39:23
to_bay_cr26;2023-06-14 22:40:17
to_bay_cr24;2023-06-14 22:41:55
to_bay_cr40;2023-06-14 22:42:09
to_bay_cr7;2023-06-14 22:46:47
to_bay_cr23;2023-06-14 22:50:36
to_bay_cr6;2023-06-14 22:51:13
to_bay_cr39;2023-06-14 22:53:19
to_bay_cr27;2023-06-14 22:53:39
to_bay_cr25;2023-06-14 22:53:56
to_bay_cr41;2023-06-15 00:07:10
to_bay_cr8;2023-06-15 00:59:40
to_bay_cr5;2023-06-15 01:31:31
to_bay_cr9;2023-06-15 02:42:13
