ocel_id;ocel_time
collect_hu4;2023-05-23 05:41:16
collect_hu1;2023-05-23 05:43:15
collect_hu3;2023-05-23 05:45:14
collect_hu6;2023-05-23 05:47:33
collect_hu5;2023-05-23 05:49:52
collect_hu2;2023-05-23 05:52:03
collect_hu10;2023-05-23 06:04:26
collect_hu8;2023-05-23 06:06:48
collect_hu9;2023-05-23 06:09:07
collect_hu7;2023-05-23 06:11:26
collect_hu12;2023-05-23 06:13:30
collect_hu11;2023-05-23 06:15:52
collect_hu13;2023-05-23 06:26:22
collect_hu14;2023-05-23 06:38:21
collect_hu15;2023-05-23 06:40:16
collect_hu16;2023-05-23 06:42:17
collect_hu19;2023-05-23 06:44:19
collect_hu18;2023-05-23 06:46:14
collect_hu17;2023-05-23 06:48:23
collect_hu22;2023-05-23 12:21:19
collect_hu24;2023-05-23 12:25:01
collect_hu20;2023-05-23 12:29:33
collect_hu25;2023-05-23 12:33:35
collect_hu21;2023-05-23 12:37:03
collect_hu23;2023-05-23 12:40:23
collect_hu28;2023-05-23 13:03:50
collect_hu26;2023-05-23 13:07:50
collect_hu29;2023-05-23 13:12:48
collect_hu27;2023-05-23 13:16:38
collect_hu30;2023-05-23 13:20:00
collect_hu31;2023-05-23 13:23:38
collect_hu37;2023-05-23 13:48:43
collect_hu34;2023-05-23 13:52:51
collect_hu32;2023-05-23 13:57:03
collect_hu33;2023-05-23 14:01:13
collect_hu35;2023-05-23 14:05:58
collect_hu36;2023-05-23 14:09:26
collect_hu42;2023-05-23 14:35:38
collect_hu39;2023-05-23 14:40:20
collect_hu43;2023-05-23 14:44:08
collect_hu38;2023-05-23 14:48:18
collect_hu41;2023-05-23 14:52:08
collect_hu40;2023-05-23 14:56:10
collect_hu44;2023-05-23 15:19:51
collect_hu45;2023-05-23 15:24:36
collect_hu48;2023-05-24 03:06:19
collect_hu50;2023-05-24 03:10:51
collect_hu46;2023-05-24 03:16:45
collect_hu51;2023-05-24 03:23:24
collect_hu47;2023-05-24 03:28:28
collect_hu49;2023-05-24 03:34:32
collect_hu54;2023-05-24 04:04:06
collect_hu53;2023-05-24 04:10:59
collect_hu57;2023-05-24 04:16:39
collect_hu56;2023-05-24 04:23:15
collect_hu55;2023-05-24 04:29:47
collect_hu52;2023-05-24 04:35:27
collect_hu62;2023-05-24 05:04:52
collect_hu58;2023-05-24 05:10:32
collect_hu61;2023-05-24 05:17:00
collect_hu60;2023-05-24 05:22:22
collect_hu63;2023-05-24 05:28:54
collect_hu59;2023-05-24 05:35:19
collect_hu69;2023-05-24 06:06:56
collect_hu67;2023-05-24 06:12:25
collect_hu66;2023-05-24 06:17:26
collect_hu65;2023-05-24 06:23:37
collect_hu64;2023-05-24 06:28:21
collect_hu68;2023-05-24 06:33:19
collect_hu71;2023-05-24 10:15:17
collect_hu72;2023-05-24 10:23:01
collect_hu73;2023-05-24 10:32:07
collect_hu70;2023-05-24 10:40:40
collect_hu75;2023-05-24 10:47:14
collect_hu74;2023-05-24 10:56:16
collect_hu80;2023-05-24 11:41:04
collect_hu79;2023-05-24 11:49:51
collect_hu78;2023-05-24 11:58:10
collect_hu76;2023-05-24 12:05:56
collect_hu81;2023-05-24 12:14:38
collect_hu77;2023-05-24 12:21:22
collect_hu87;2023-05-24 13:06:16
collect_hu82;2023-05-24 13:15:03
collect_hu86;2023-05-24 13:23:36
collect_hu83;2023-05-24 13:32:09
collect_hu84;2023-05-24 13:39:21
collect_hu85;2023-05-24 13:48:13
collect_hu88;2023-05-24 14:36:36
collect_hu91;2023-05-24 15:20:27
collect_hu90;2023-05-24 15:29:05
collect_hu92;2023-05-24 15:38:25
collect_hu89;2023-05-24 15:47:03
collect_hu94;2023-05-24 15:56:28
collect_hu93;2023-05-24 16:04:37
collect_hu97;2023-05-25 06:22:45
collect_hu95;2023-05-25 06:31:35
collect_hu99;2023-05-25 06:41:33
collect_hu100;2023-05-25 06:49:47
collect_hu96;2023-05-25 07:00:14
collect_hu98;2023-05-25 07:10:52
collect_hu106;2023-05-25 08:01:06
collect_hu101;2023-05-25 08:10:24
collect_hu105;2023-05-25 08:19:07
collect_hu102;2023-05-25 08:27:21
collect_hu103;2023-05-25 08:35:47
collect_hu104;2023-05-25 08:45:05
collect_hu108;2023-05-25 09:45:39
collect_hu107;2023-05-25 09:54:39
collect_hu110;2023-05-25 10:44:18
collect_hu109;2023-05-25 10:52:32
collect_hu112;2023-05-25 11:01:15
collect_hu111;2023-05-25 11:12:05
collect_hu114;2023-05-25 11:23:23
collect_hu113;2023-05-25 11:32:35
collect_hu115;2023-05-25 13:04:44
collect_hu119;2023-05-25 13:13:16
collect_hu116;2023-05-25 13:23:46
collect_hu120;2023-05-25 13:34:51
collect_hu117;2023-05-25 13:44:39
collect_hu118;2023-05-25 13:57:57
collect_hu121;2023-05-25 15:00:36
collect_hu126;2023-05-25 15:12:30
collect_hu124;2023-05-25 15:25:27
collect_hu122;2023-05-25 15:34:47
collect_hu123;2023-05-25 15:46:20
collect_hu125;2023-05-25 16:00:13
collect_hu129;2023-05-25 17:07:39
collect_hu131;2023-05-25 17:20:43
collect_hu130;2023-05-25 17:30:45
collect_hu127;2023-05-25 17:42:46
collect_hu132;2023-05-25 17:56:04
collect_hu128;2023-05-25 18:06:34
collect_hu135;2023-05-25 19:09:20
collect_hu136;2023-05-25 19:22:52
collect_hu134;2023-05-25 19:36:17
collect_hu133;2023-05-25 19:48:04
collect_hu142;2023-05-25 20:50:01
collect_hu139;2023-05-25 21:03:40
collect_hu138;2023-05-25 21:14:38
collect_hu137;2023-05-25 21:26:32
collect_hu140;2023-05-25 21:36:48
collect_hu141;2023-05-25 21:49:52
collect_hu144;2023-05-26 06:56:16
collect_hu145;2023-05-26 07:09:16
collect_hu148;2023-05-26 07:20:46
collect_hu146;2023-05-26 07:35:31
collect_hu143;2023-05-26 07:49:31
collect_hu147;2023-05-26 08:03:31
collect_hu149;2023-05-26 09:10:01
collect_hu150;2023-05-26 09:20:23
collect_hu156;2023-05-26 10:19:53
collect_hu154;2023-05-26 10:36:53
collect_hu152;2023-05-26 10:48:13
collect_hu155;2023-05-26 11:02:57
collect_hu153;2023-05-26 11:18:23
collect_hu151;2023-05-26 11:32:16
collect_hu162;2023-05-26 12:58:43
collect_hu160;2023-05-26 13:11:53
collect_hu158;2023-05-26 13:28:36
collect_hu159;2023-05-26 13:44:36
collect_hu161;2023-05-26 14:01:02
collect_hu157;2023-05-26 14:13:04
collect_hu167;2023-05-26 15:32:08
collect_hu163;2023-05-26 15:45:02
collect_hu164;2023-05-26 16:01:45
collect_hu165;2023-05-26 16:16:46
collect_hu166;2023-05-26 16:32:04
collect_hu172;2023-05-26 17:50:25
collect_hu170;2023-05-26 18:03:35
collect_hu173;2023-05-26 18:17:19
collect_hu169;2023-05-26 18:31:12
collect_hu168;2023-05-26 18:42:40
collect_hu171;2023-05-26 18:58:15
collect_hu174;2023-05-27 08:00:19
collect_hu175;2023-05-27 08:14:57
collect_hu178;2023-05-27 09:38:48
collect_hu181;2023-05-27 09:52:46
collect_hu177;2023-05-27 10:11:47
collect_hu180;2023-05-27 10:29:20
collect_hu179;2023-05-27 10:43:48
collect_hu176;2023-05-27 11:02:10
collect_hu182;2023-05-27 12:22:55
collect_hu185;2023-05-27 12:40:57
collect_hu186;2023-05-27 12:56:53
collect_hu184;2023-05-27 13:10:13
collect_hu187;2023-05-27 13:27:46
collect_hu183;2023-05-27 13:45:58
collect_hu192;2023-05-27 15:13:03
collect_hu188;2023-05-27 15:32:23
collect_hu191;2023-05-27 15:46:51
collect_hu190;2023-05-27 16:02:37
collect_hu189;2023-05-27 16:15:47
collect_hu193;2023-05-27 16:33:01
collect_hu199;2023-05-27 18:28:22
collect_hu198;2023-05-27 18:43:09
collect_hu194;2023-05-27 18:59:14
collect_hu195;2023-05-27 19:12:43
collect_hu197;2023-05-27 19:27:21
collect_hu196;2023-05-27 19:43:36
collect_hu200;2023-05-29 23:58:19
collect_hu204;2023-05-30 01:28:00
collect_hu201;2023-05-30 01:42:57
collect_hu206;2023-05-30 02:01:19
collect_hu202;2023-05-30 02:17:24
collect_hu203;2023-05-30 02:32:21
collect_hu205;2023-05-30 02:49:54
collect_hu212;2023-05-30 04:08:34
collect_hu211;2023-05-30 04:26:26
collect_hu208;2023-05-30 04:45:46
collect_hu207;2023-05-30 05:04:47
collect_hu209;2023-05-30 05:21:41
collect_hu210;2023-05-30 05:40:51
collect_hu214;2023-05-30 09:29:24
collect_hu215;2023-05-30 09:48:01
collect_hu218;2023-05-30 10:05:35
collect_hu213;2023-05-30 10:24:45
collect_hu216;2023-05-30 10:42:08
collect_hu217;2023-05-30 10:59:09
collect_hu221;2023-05-30 12:32:08
collect_hu220;2023-05-30 12:53:27
collect_hu223;2023-05-30 13:10:07
collect_hu219;2023-05-30 13:24:49
collect_hu224;2023-05-30 13:44:10
collect_hu222;2023-05-30 14:04:36
collect_hu225;2023-05-30 15:52:25
collect_hu227;2023-05-30 16:07:39
collect_hu228;2023-05-30 16:24:08
collect_hu226;2023-05-30 16:41:42
collect_hu229;2023-05-30 17:01:46
collect_hu230;2023-05-30 17:19:41
collect_hu232;2023-05-30 19:03:35
collect_hu233;2023-05-30 19:18:17
collect_hu234;2023-05-30 19:35:51
collect_hu235;2023-05-30 19:55:44
collect_hu236;2023-05-30 20:10:15
collect_hu231;2023-05-30 20:28:10
collect_hu237;2023-05-31 02:49:00
collect_hu239;2023-05-31 03:07:00
collect_hu238;2023-05-31 03:24:49
collect_hu242;2023-05-31 03:45:49
collect_hu241;2023-05-31 04:01:11
collect_hu240;2023-05-31 04:20:07
collect_hu245;2023-05-31 05:58:35
collect_hu244;2023-05-31 06:18:05
collect_hu243;2023-05-31 06:33:16
collect_hu247;2023-05-31 09:11:39
collect_hu248;2023-05-31 09:28:06
collect_hu250;2023-05-31 09:47:53
collect_hu249;2023-05-31 10:10:48
collect_hu251;2023-05-31 10:34:18
