ocel_id;ocel_time
load_veh_cr4;2023-05-29 04:32:19
load_veh_cr2;2023-05-29 04:56:28
load_veh_cr30;2023-05-29 05:21:31
load_veh_cr32;2023-06-01 04:00:46
load_veh_cr31;2023-06-01 04:27:22
load_veh_cr33;2023-06-01 05:03:46
load_veh_cr51;2023-06-02 07:10:54
load_veh_cr3;2023-06-04 23:34:04
load_veh_cr18;2023-06-05 00:13:36
load_veh_cr17;2023-06-05 00:52:36
load_veh_cr38;2023-06-05 01:22:24
load_veh_cr16;2023-06-05 01:50:19
load_veh_cr36;2023-06-05 02:27:16
load_veh_cr37;2023-06-05 03:03:40
load_veh_cr12;2023-06-05 03:32:04
load_veh_cr14;2023-06-05 04:06:22
load_veh_cr61;2023-06-05 04:37:18
load_veh_cr34;2023-06-05 05:08:37
load_veh_cr15;2023-06-05 05:40:41
load_veh_cr1;2023-06-05 06:06:45
load_veh_cr13;2023-06-05 06:32:37
load_veh_cr11;2023-06-05 06:58:29
load_veh_cr35;2023-06-05 07:32:59
load_veh_cr10;2023-06-05 08:04:40
load_veh_cr73;2023-06-08 04:10:31
load_veh_cr56;2023-06-08 04:52:58
load_veh_cr54;2023-06-08 05:30:50
load_veh_cr58;2023-06-08 06:13:32
load_veh_cr55;2023-06-08 06:51:09
load_veh_cr57;2023-06-08 07:42:04
load_veh_cr67;2023-06-11 23:34:38
load_veh_cr68;2023-06-12 00:25:47
load_veh_cr53;2023-06-12 01:13:11
load_veh_cr46;2023-06-12 01:55:19
load_veh_cr89;2023-06-12 02:42:18
load_veh_cr66;2023-06-12 03:30:06
load_veh_cr64;2023-06-12 04:04:55
load_veh_cr49;2023-06-12 04:41:01
load_veh_cr65;2023-06-12 05:26:00
load_veh_cr48;2023-06-12 06:03:52
load_veh_cr52;2023-06-12 06:42:45
load_veh_cr80;2023-06-12 07:16:18
load_veh_cr50;2023-06-12 07:55:42
load_veh_cr47;2023-06-12 08:44:00
load_veh_cr26;2023-06-14 23:30:03
load_veh_cr6;2023-06-15 00:19:28
load_veh_cr40;2023-06-15 00:55:46
load_veh_cr39;2023-06-15 01:31:48
load_veh_cr8;2023-06-15 02:17:18
load_veh_cr24;2023-06-15 03:02:54
load_veh_cr41;2023-06-15 03:37:02
load_veh_cr9;2023-06-15 04:24:30
load_veh_cr5;2023-06-15 05:06:46
load_veh_cr23;2023-06-15 05:47:18
load_veh_cr27;2023-06-15 06:41:56
load_veh_cr7;2023-06-15 07:35:59
load_veh_cr25;2023-06-15 08:15:39
load_veh_cr124;2023-06-16 06:56:03
load_veh_cr43;2023-06-18 18:20:01
load_veh_cr92;2023-06-18 19:11:07
load_veh_cr63;2023-06-18 19:49:49
load_veh_cr103;2023-06-18 20:32:07
load_veh_cr74;2023-06-18 21:13:32
load_veh_cr104;2023-06-18 21:56:22
load_veh_cr44;2023-06-18 22:37:27
load_veh_cr19;2023-06-18 23:24:55
load_veh_cr93;2023-06-19 00:12:29
load_veh_cr22;2023-06-19 00:52:50
load_veh_cr62;2023-06-19 01:40:34
load_veh_cr77;2023-06-19 02:21:31
load_veh_cr20;2023-06-19 02:59:45
load_veh_cr21;2023-06-19 03:41:26
load_veh_cr134;2023-06-19 04:16:46
load_veh_cr45;2023-06-19 04:49:48
load_veh_cr42;2023-06-19 05:32:45
load_veh_cr91;2023-06-19 06:18:15
load_veh_cr76;2023-06-19 06:55:37
load_veh_cr94;2023-06-19 07:43:55
load_veh_cr75;2023-06-19 08:24:35
load_veh_cr28;2023-06-22 03:37:35
load_veh_cr60;2023-06-22 04:11:50
load_veh_cr112;2023-06-22 04:51:57
load_veh_cr120;2023-06-22 05:24:49
load_veh_cr141;2023-06-22 06:00:27
load_veh_cr114;2023-06-22 06:38:01
load_veh_cr99;2023-06-22 07:18:09
load_veh_cr59;2023-06-22 07:59:13
load_veh_cr102;2023-06-22 08:37:29
load_veh_cr119;2023-06-22 09:19:43
load_veh_cr113;2023-06-22 10:03:21
load_veh_cr29;2023-06-22 10:45:07
load_veh_cr100;2023-06-22 11:14:59
load_veh_cr101;2023-06-22 11:45:33
load_veh_cr144;2023-06-22 12:21:43
load_veh_cr90;2023-06-25 19:58:31
load_veh_cr109;2023-06-25 20:45:16
load_veh_cr87;2023-06-25 21:28:02
load_veh_cr86;2023-06-25 22:04:02
load_veh_cr85;2023-06-25 22:36:06
load_veh_cr105;2023-06-25 23:19:16
load_veh_cr128;2023-06-26 00:00:31
load_veh_cr79;2023-06-26 00:35:23
load_veh_cr127;2023-06-26 01:14:02
load_veh_cr107;2023-06-26 01:54:33
load_veh_cr106;2023-06-26 02:30:41
load_veh_cr81;2023-06-26 03:08:36
load_veh_cr126;2023-06-26 03:48:36
load_veh_cr78;2023-06-26 04:15:41
load_veh_cr82;2023-06-26 04:51:31
load_veh_cr84;2023-06-26 05:29:01
load_veh_cr88;2023-06-26 06:00:16
load_veh_cr108;2023-06-26 06:38:11
load_veh_cr83;2023-06-26 07:05:41
load_veh_cr72;2023-06-29 05:18:33
load_veh_cr118;2023-06-29 06:01:26
load_veh_cr70;2023-06-29 06:49:13
load_veh_cr97;2023-06-29 07:22:54
load_veh_cr116;2023-06-29 07:56:35
load_veh_cr98;2023-06-29 08:34:31
load_veh_cr71;2023-06-29 09:09:11
load_veh_cr115;2023-06-29 09:53:17
load_veh_cr173;2023-06-29 10:36:27
load_veh_cr95;2023-06-29 11:10:11
load_veh_cr117;2023-06-29 11:53:25
load_veh_cr177;2023-06-29 12:37:35
load_veh_cr96;2023-06-29 13:13:41
load_veh_cr169;2023-06-29 13:49:04
load_veh_cr69;2023-06-29 14:23:08
load_veh_cr178;2023-06-29 15:06:46
load_veh_cr123;2023-07-03 00:26:47
load_veh_cr125;2023-07-03 00:58:38
load_veh_cr147;2023-07-03 01:38:03
load_veh_cr121;2023-07-03 02:21:49
load_veh_cr122;2023-07-03 02:58:43
load_veh_cr111;2023-07-03 03:33:19
load_veh_cr191;2023-07-03 04:17:19
load_veh_cr145;2023-07-03 04:57:53
load_veh_cr110;2023-07-03 05:41:53
load_veh_cr132;2023-07-06 03:38:34
load_veh_cr186;2023-07-06 04:17:45
load_veh_cr140;2023-07-06 04:52:33
load_veh_cr129;2023-07-06 05:24:45
load_veh_cr146;2023-07-06 06:00:55
load_veh_cr185;2023-07-06 06:31:51
load_veh_cr188;2023-07-06 07:04:55
load_veh_cr130;2023-07-06 07:34:51
load_veh_cr143;2023-07-06 08:17:09
load_veh_cr189;2023-07-06 08:52:01
load_veh_cr133;2023-07-06 09:32:58
load_veh_cr187;2023-07-06 10:15:40
load_veh_cr131;2023-07-06 10:53:14
load_veh_cr142;2023-07-06 11:23:06
load_veh_cr168;2023-07-10 06:38:49
load_veh_cr151;2023-07-10 07:26:34
load_veh_cr162;2023-07-10 08:04:11
load_veh_cr166;2023-07-10 08:40:55
load_veh_cr150;2023-07-10 09:20:49
load_veh_cr161;2023-07-10 09:59:19
load_veh_cr152;2023-07-10 10:42:10
load_veh_cr158;2023-07-10 11:24:42
load_veh_cr218;2023-07-10 12:00:27
load_veh_cr167;2023-07-10 12:39:14
load_veh_cr159;2023-07-10 13:18:12
load_veh_cr170;2023-07-10 13:53:50
load_veh_cr160;2023-07-10 14:27:35
load_veh_cr156;2023-07-10 14:59:40
load_veh_cr155;2023-07-10 15:30:05
load_veh_cr154;2023-07-10 16:00:05
load_veh_cr153;2023-07-10 16:36:33
load_veh_cr157;2023-07-10 17:09:15
load_veh_cr209;2023-07-10 17:49:03
load_veh_cr138;2023-07-12 20:15:17
load_veh_cr164;2023-07-12 20:55:42
load_veh_cr194;2023-07-12 21:26:02
load_veh_cr149;2023-07-12 21:56:40
load_veh_cr148;2023-07-12 22:25:50
load_veh_cr192;2023-07-12 23:02:35
load_veh_cr226;2023-07-12 23:39:23
load_veh_cr195;2023-07-13 00:15:25
load_veh_cr139;2023-07-13 00:43:35
load_veh_cr198;2023-07-13 01:10:13
load_veh_cr135;2023-07-13 01:39:44
load_veh_cr163;2023-07-13 02:05:32
load_veh_cr196;2023-07-13 02:34:44
load_veh_cr136;2023-07-13 03:03:13
load_veh_cr199;2023-07-13 03:34:13
load_veh_cr137;2023-07-13 04:02:25
load_veh_cr193;2023-07-13 04:30:25
load_veh_cr190;2023-07-13 05:05:01
load_veh_cr165;2023-07-13 05:30:37
load_veh_cr236;2023-07-13 08:17:14
load_veh_cr175;2023-07-17 03:15:04
load_veh_cr214;2023-07-17 03:46:12
load_veh_cr221;2023-07-17 04:25:18
load_veh_cr216;2023-07-17 04:59:03
load_veh_cr222;2023-07-17 05:31:45
load_veh_cr171;2023-07-17 05:57:53
load_veh_cr174;2023-07-17 06:27:51
load_veh_cr176;2023-07-17 07:00:21
load_veh_cr224;2023-07-17 07:34:02
load_veh_cr215;2023-07-17 08:08:18
load_veh_cr179;2023-07-17 08:35:08
load_veh_cr223;2023-07-17 09:11:45
load_veh_cr213;2023-07-17 09:41:55
load_veh_cr217;2023-07-17 10:07:34
load_veh_cr172;2023-07-17 10:39:06
load_veh_cr243;2023-07-20 04:27:31
load_veh_cr203;2023-07-20 05:04:08
load_veh_cr205;2023-07-20 05:41:26
load_veh_cr220;2023-07-20 06:11:00
load_veh_cr219;2023-07-20 06:50:05
load_veh_cr204;2023-07-20 07:23:13
load_veh_cr247;2023-07-20 07:54:25
load_veh_cr256;2023-07-20 08:25:39
load_veh_cr245;2023-07-20 09:00:27
load_veh_cr200;2023-07-20 09:34:37
load_veh_cr202;2023-07-20 10:13:47
load_veh_cr246;2023-07-20 10:44:37
load_veh_cr254;2023-07-20 11:23:47
load_veh_cr244;2023-07-20 11:52:45
load_veh_cr184;2023-07-20 12:32:07
load_veh_cr201;2023-07-20 13:09:49
load_veh_cr271;2023-07-20 18:50:45
load_veh_cr181;2023-07-24 05:12:03
load_veh_cr183;2023-07-24 05:47:41
load_veh_cr211;2023-07-24 06:24:26
load_veh_cr197;2023-07-24 06:54:26
load_veh_cr180;2023-07-24 07:28:54
load_veh_cr182;2023-07-24 07:58:40
load_veh_cr210;2023-07-24 08:28:38
load_veh_cr207;2023-07-24 08:56:26
load_veh_cr206;2023-07-24 09:29:44
load_veh_cr278;2023-07-24 10:02:03
load_veh_cr208;2023-07-24 10:31:14
load_veh_cr212;2023-07-24 11:04:43
load_veh_cr274;2023-07-27 01:52:46
load_veh_cr232;2023-07-27 02:29:53
load_veh_cr275;2023-07-27 03:15:51
load_veh_cr231;2023-07-27 03:54:12
load_veh_cr273;2023-07-27 04:36:44
load_veh_cr286;2023-07-27 05:09:40
load_veh_cr225;2023-07-27 05:50:28
load_veh_cr272;2023-07-27 06:34:58
load_veh_cr240;2023-07-31 05:32:33
load_veh_cr227;2023-07-31 06:17:39
load_veh_cr277;2023-07-31 06:55:50
load_veh_cr241;2023-07-31 07:30:30
load_veh_cr276;2023-07-31 08:04:38
load_veh_cr279;2023-07-31 08:43:01
load_veh_cr238;2023-07-31 09:16:31
load_veh_cr252;2023-07-31 10:01:31
load_veh_cr292;2023-07-31 10:39:52
load_veh_cr294;2023-07-31 11:23:22
load_veh_cr239;2023-07-31 12:01:08
load_veh_cr229;2023-07-31 12:44:04
load_veh_cr251;2023-07-31 13:16:50
load_veh_cr291;2023-07-31 13:50:04
load_veh_cr242;2023-07-31 14:23:25
load_veh_cr290;2023-07-31 14:52:19
load_veh_cr280;2023-07-31 15:27:35
load_veh_cr230;2023-07-31 16:03:13
load_veh_cr228;2023-07-31 16:39:28
load_veh_cr281;2023-07-31 17:14:40
load_veh_cr314;2023-07-31 17:47:22
load_veh_cr310;2023-07-31 18:25:17
load_veh_cr315;2023-07-31 19:00:29
load_veh_cr293;2023-07-31 19:27:21
load_veh_cr311;2023-07-31 20:01:31
load_veh_cr235;2023-08-06 23:46:23
load_veh_cr248;2023-08-07 00:33:52
load_veh_cr270;2023-08-07 01:25:22
load_veh_cr258;2023-08-07 02:06:28
load_veh_cr257;2023-08-07 02:56:34
load_veh_cr260;2023-08-07 03:42:04
load_veh_cr312;2023-08-07 04:20:34
load_veh_cr340;2023-08-07 05:01:05
load_veh_cr259;2023-08-07 05:39:03
load_veh_cr234;2023-08-07 06:18:58
load_veh_cr267;2023-08-07 07:02:08
load_veh_cr261;2023-08-07 07:48:00
load_veh_cr237;2023-08-07 08:34:40
load_veh_cr313;2023-08-07 09:21:10
load_veh_cr249;2023-08-07 09:57:51
load_veh_cr250;2023-08-07 10:33:30
load_veh_cr309;2023-08-07 11:14:04
load_veh_cr342;2023-08-07 12:00:34
load_veh_cr233;2023-08-07 12:50:10
load_veh_cr268;2023-08-07 13:28:55
load_veh_cr269;2023-08-07 14:13:21
load_veh_cr327;2023-08-10 11:20:56
load_veh_cr299;2023-08-10 12:18:07
load_veh_cr355;2023-08-10 13:12:23
load_veh_cr300;2023-08-10 13:54:03
load_veh_cr283;2023-08-10 14:36:21
load_veh_cr298;2023-08-10 15:29:01
load_veh_cr296;2023-08-10 16:09:51
load_veh_cr297;2023-08-10 16:51:32
load_veh_cr253;2023-08-10 17:41:41
load_veh_cr285;2023-08-10 18:22:43
load_veh_cr295;2023-08-10 19:09:03
load_veh_cr371;2023-08-10 19:56:31
load_veh_cr352;2023-08-10 20:37:00
load_veh_cr301;2023-08-10 21:24:44
load_veh_cr255;2023-08-10 22:02:59
load_veh_cr282;2023-08-10 22:45:59
load_veh_cr284;2023-08-10 23:32:03
load_veh_cr372;2023-08-13 20:54:47
load_veh_cr360;2023-08-13 21:39:03
load_veh_cr334;2023-08-13 22:21:16
load_veh_cr354;2023-08-13 23:03:20
load_veh_cr264;2023-08-13 23:51:49
load_veh_cr332;2023-08-14 00:28:55
load_veh_cr358;2023-08-14 01:05:27
load_veh_cr353;2023-08-14 01:51:39
load_veh_cr263;2023-08-14 02:34:21
load_veh_cr316;2023-08-14 03:21:07
load_veh_cr262;2023-08-14 04:07:37
load_veh_cr376;2023-08-14 04:54:34
load_veh_cr330;2023-08-14 05:29:57
load_veh_cr331;2023-08-14 06:15:05
load_veh_cr323;2023-08-14 06:54:57
load_veh_cr333;2023-08-14 07:33:39
load_veh_cr266;2023-08-14 08:02:41
load_veh_cr356;2023-08-14 08:41:59
load_veh_cr322;2023-08-14 09:20:25
load_veh_cr317;2023-08-14 09:51:33
load_veh_cr329;2023-08-14 10:33:31
load_veh_cr357;2023-08-14 11:14:49
load_veh_cr359;2023-08-14 11:47:43
load_veh_cr265;2023-08-14 12:28:21
load_veh_cr328;2023-08-14 12:56:50
load_veh_cr338;2023-08-17 05:34:22
load_veh_cr308;2023-08-17 06:12:14
