ocel_id;ocel_time;ocel_changed_field;Amount of Containers;Status
td1;2023-05-23 02:30:10;;4
td1;2023-05-23 07:00:27;Status;;in transit
td2;2023-05-23 08:57:28;;5
td2;2023-05-23 15:44:30;Status;;in transit
td3;2023-05-24 00:01:26;;4
td4;2023-05-24 06:43:12;;5
td3;2023-05-24 07:07:53;Status;;in transit
td4;2023-05-24 16:45:19;Status;;in transit
td5;2023-05-25 02:57:36;;4
td6;2023-05-25 09:16:35;;5
td5;2023-05-25 12:27:42;Status;;in transit
td6;2023-05-25 23:03:29;Status;;in transit
td7;2023-05-26 03:03:17;;2
td8;2023-05-26 06:25:28;;4
td7;2023-05-26 10:19:53;Status;;in transit
td8;2023-05-26 20:32:29;Status;;in transit
td9;2023-05-27 05:08:38;;5
td9;2023-05-27 21:17:21;Status;;in transit
td10;2023-05-29 20:59:36;;3
td11;2023-05-30 06:24:27;;4
td10;2023-05-30 07:08:56;Status;;in transit
td11;2023-05-30 22:18:20;Status;;in transit
td12;2023-05-30 23:11:17;;2
td13;2023-05-31 06:18:05;;2
td12;2023-05-31 08:26:31;Status;;in transit
td13;2023-05-31 16:18:59;Status;;in transit
td14;2023-05-31 23:02:03;;4
td15;2023-06-01 04:57:11;;5
td16;2023-06-02 00:34:17;;2
td14;2023-06-02 05:44:58;Status;;in transit
td17;2023-06-02 08:12:22;;3
td8;2023-06-02 11:00:00;Status;;shipped
td15;2023-06-02 20:44:02;Status;;in transit
td16;2023-06-03 00:59:07;Status;;in transit
td18;2023-06-03 04:00:03;;5
td17;2023-06-03 08:19:13;Status;;in transit
td18;2023-06-04 05:33:04;Status;;in transit
td19;2023-06-05 21:38:08;;4
td20;2023-06-06 03:59:49;;5
td3;2023-06-06 11:00:00;Status;;shipped
td9;2023-06-06 11:00:00;Status;;shipped
td4;2023-06-06 11:00:00;Status;;shipped
td1;2023-06-06 11:00:00;Status;;shipped
td21;2023-06-06 20:25:31;;3
td22;2023-06-07 05:59:39;;5
td19;2023-06-07 12:27:43;Status;;in transit
td23;2023-06-07 21:13:42;;5
td20;2023-06-08 02:23:03;Status;;in transit
td24;2023-06-08 03:06:14;;4
td25;2023-06-08 22:53:40;;4
td26;2023-06-09 05:41:08;;4
td15;2023-06-09 11:00:00;Status;;shipped
td27;2023-06-09 22:24:17;;2
td21;2023-06-10 13:38:16;Status;;in transit
td22;2023-06-11 00:24:31;Status;;in transit
td27;2023-06-11 11:12:57;Status;;in transit
td24;2023-06-12 01:49:04;Status;;in transit
td25;2023-06-12 04:55:38;Status;;in transit
td23;2023-06-12 11:58:48;Status;;in transit
td26;2023-06-12 16:08:23;Status;;in transit
td28;2023-06-12 21:46:28;;5
td29;2023-06-13 02:38:27;;2
td13;2023-06-13 11:00:00;Status;;shipped
td12;2023-06-13 11:00:00;Status;;shipped
td14;2023-06-13 11:00:00;Status;;shipped
td18;2023-06-13 11:00:00;Status;;shipped
td30;2023-06-13 19:19:26;;3
td31;2023-06-14 03:29:32;;4
td32;2023-06-14 20:09:03;;2
td33;2023-06-15 00:46:28;;5
td29;2023-06-15 00:49:40;Status;;in transit
td28;2023-06-15 18:31:11;Status;;in transit
td34;2023-06-15 21:46:02;;3
td35;2023-06-16 02:46:51;;1
td31;2023-06-16 10:07:30;Status;;in transit
td10;2023-06-16 11:00:00;Status;;shipped
td2;2023-06-16 11:00:00;Status;;shipped
td6;2023-06-16 11:00:00;Status;;shipped
td32;2023-06-16 15:38:24;Status;;in transit
td36;2023-06-16 23:59:06;;5
td37;2023-06-17 06:33:39;;5
td35;2023-06-17 14:41:09;Status;;in transit
td36;2023-06-19 08:17:17;Status;;in transit
td34;2023-06-19 12:52:02;Status;;in transit
td37;2023-06-19 21:38:56;Status;;in transit
td30;2023-06-20 02:19:49;Status;;in transit
td38;2023-06-20 02:43:55;;4
td33;2023-06-20 06:52:32;Status;;in transit
td39;2023-06-20 08:21:57;;2
td5;2023-06-20 11:00:00;Status;;shipped
td20;2023-06-20 11:00:00;Status;;shipped
td27;2023-06-20 11:00:00;Status;;shipped
td17;2023-06-20 11:00:00;Status;;shipped
td24;2023-06-20 11:00:00;Status;;shipped
td11;2023-06-20 11:00:00;Status;;shipped
td39;2023-06-21 00:24:29;Status;;in transit
td40;2023-06-21 03:27:28;;1
td38;2023-06-21 07:57:13;Status;;in transit
td41;2023-06-21 10:06:17;;1
td40;2023-06-21 13:07:11;Status;;in transit
td41;2023-06-21 17:53:16;Status;;in transit
td42;2023-06-22 03:38:36;;2
td42;2023-06-22 14:01:56;Status;;in transit
td43;2023-06-22 20:40:05;;3
