ocel_id;ocel_time
create_p-660001;2023-04-08 01:00:00
create_p-660002;2023-04-10 13:50:37
create_p-660003;2023-04-11 14:37:27
create_p-660004;2023-04-11 19:21:53
create_p-660005;2023-04-11 19:21:53
create_p-660006;2023-04-12 08:23:51
create_p-660007;2023-04-13 01:00:00
create_p-660008;2023-04-14 22:35:00
create_p-660009;2023-04-18 01:00:00
create_p-660010;2023-04-19 09:53:28
create_p-660011;2023-04-20 11:09:42
create_p-660012;2023-04-20 18:31:55
create_p-660013;2023-04-20 22:33:05
create_p-660014;2023-04-20 22:57:29
create_p-660015;2023-04-21 14:24:37
create_p-660016;2023-04-21 17:02:28
create_p-660017;2023-04-22 05:22:36
create_p-660018;2023-04-22 05:22:36
create_p-660019;2023-04-23 01:00:00
create_p-660020;2023-04-25 16:00:29
create_p-660021;2023-04-26 15:12:11
create_p-660022;2023-04-28 01:00:00
create_p-660023;2023-04-29 21:38:47
create_p-660024;2023-05-01 10:15:01
create_p-660025;2023-05-01 14:12:40
create_p-660026;2023-05-01 18:04:57
create_p-660027;2023-05-01 20:14:40
create_p-660028;2023-05-02 11:54:39
create_p-660029;2023-05-02 13:45:01
create_p-660030;2023-05-02 13:54:04
create_p-660031;2023-05-02 17:50:32
create_p-660032;2023-05-02 19:45:49
create_p-660033;2023-05-03 01:00:00
create_p-660034;2023-05-03 21:55:28
create_p-660035;2023-05-04 00:58:41
create_p-660036;2023-05-04 01:55:41
create_p-660037;2023-05-04 12:13:00
create_p-660038;2023-05-04 16:50:53
create_p-660039;2023-05-04 18:33:12
create_p-660040;2023-05-04 21:17:33
create_p-660041;2023-05-05 07:26:19
create_p-660042;2023-05-05 21:11:36
create_p-660043;2023-05-05 22:16:00
create_p-660044;2023-05-06 05:32:40
create_p-660045;2023-05-06 10:19:01
create_p-660046;2023-05-07 09:25:12
create_p-660047;2023-05-08 01:00:00
create_p-660048;2023-05-08 20:54:25
create_p-660049;2023-05-08 23:23:25
create_p-660050;2023-05-09 03:42:08
create_p-660051;2023-05-09 04:36:00
create_p-660052;2023-05-09 08:08:48
create_p-660053;2023-05-09 13:56:27
create_p-660054;2023-05-09 20:36:27
create_p-660055;2023-05-09 23:14:22
create_p-660056;2023-05-10 11:34:05
create_p-660057;2023-05-10 18:50:15
create_p-660058;2023-05-10 18:50:15
create_p-660059;2023-05-10 22:35:17
create_p-660060;2023-05-11 03:01:57
create_p-660061;2023-05-12 02:32:54
create_p-660062;2023-05-12 03:53:07
create_p-660063;2023-05-12 05:45:52
create_p-660064;2023-05-12 16:30:19
create_p-660065;2023-05-13 01:00:00
create_p-660066;2023-05-13 06:16:27
create_p-660067;2023-05-13 10:23:38
create_p-660068;2023-05-14 02:19:09
create_p-660069;2023-05-14 18:13:56
create_p-660070;2023-05-16 02:06:14
create_p-660071;2023-05-16 04:16:45
create_p-660072;2023-05-16 04:46:00
create_p-660073;2023-05-16 11:50:58
create_p-660074;2023-05-16 18:30:58
create_p-660075;2023-05-16 23:13:28
create_p-660076;2023-05-17 01:05:02
create_p-660077;2023-05-17 05:20:01
create_p-660078;2023-05-17 06:25:21
create_p-660079;2023-05-17 07:46:51
create_p-660080;2023-05-17 19:00:40
create_p-660081;2023-05-18 01:00:00
create_p-660082;2023-05-18 07:50:17
create_p-660083;2023-05-18 15:28:52
create_p-660084;2023-05-18 19:00:34
create_p-660085;2023-05-18 22:57:45
create_p-660086;2023-05-19 03:19:50
create_p-660087;2023-05-19 13:53:36
create_p-660088;2023-05-20 00:12:46
create_p-660089;2023-05-20 11:19:26
create_p-660090;2023-05-21 01:03:26
create_p-660091;2023-05-22 13:41:36
create_p-660092;2023-05-23 00:14:45
create_p-660093;2023-05-23 01:00:00
create_p-660094;2023-05-23 17:23:00
create_p-660095;2023-05-24 08:16:52
create_p-660096;2023-05-24 09:29:41
create_p-660097;2023-05-24 16:32:46
create_p-660098;2023-05-24 19:48:57
create_p-660099;2023-05-25 01:13:09
create_p-660100;2023-05-25 02:55:03
create_p-660101;2023-05-25 14:47:00
create_p-660102;2023-05-26 03:15:21
create_p-660103;2023-05-26 04:19:50
create_p-660104;2023-05-26 04:29:37
create_p-660105;2023-05-26 10:13:56
create_p-660106;2023-05-26 21:17:55
create_p-660107;2023-05-27 09:22:32
create_p-660108;2023-05-27 09:22:32
create_p-660109;2023-05-27 18:45:11
create_p-660110;2023-05-27 20:07:20
create_p-660111;2023-05-28 01:00:00
create_p-660112;2023-05-28 16:12:02
create_p-660113;2023-05-29 23:26:40
create_p-660114;2023-05-30 08:20:00
create_p-660115;2023-05-30 13:43:49
create_p-660116;2023-05-30 18:26:40
create_p-660117;2023-05-30 23:32:57
create_p-660118;2023-05-31 01:58:06
create_p-660119;2023-05-31 05:20:47
create_p-660120;2023-05-31 05:33:20
create_p-660121;2023-05-31 07:11:26
create_p-660122;2023-05-31 11:04:11
create_p-660123;2023-05-31 18:23:00
create_p-660124;2023-06-01 01:32:46
create_p-660125;2023-06-01 13:47:49
create_p-660126;2023-06-01 23:46:06
create_p-660127;2023-06-02 01:00:00
create_p-660128;2023-06-02 07:13:21
create_p-660129;2023-06-02 13:25:03
create_p-660130;2023-06-02 20:52:32
create_p-660131;2023-06-03 03:42:52
create_p-660132;2023-06-03 07:57:13
create_p-660133;2023-06-03 12:59:03
create_p-660134;2023-06-03 17:22:56
create_p-660135;2023-06-04 06:42:56
create_p-660136;2023-06-05 23:12:53
create_p-660137;2023-06-06 02:40:46
create_p-660138;2023-06-06 04:59:08
create_p-660139;2023-06-06 14:43:51
create_p-660140;2023-06-06 21:26:13
create_p-660141;2023-06-07 01:00:00
create_p-660142;2023-06-07 11:46:16
create_p-660143;2023-06-07 15:37:09
create_p-660144;2023-06-07 18:13:47
create_p-660145;2023-06-08 01:00:29
create_p-660146;2023-06-08 01:31:16
create_p-660147;2023-06-08 07:12:40
create_p-660148;2023-06-08 11:04:56
create_p-660149;2023-06-08 22:26:58
create_p-660150;2023-06-09 00:09:34
create_p-660151;2023-06-09 01:31:17
create_p-660152;2023-06-09 09:18:16
create_p-660153;2023-06-09 09:18:16
create_p-660154;2023-06-09 13:24:42
create_p-660155;2023-06-09 20:04:42
create_p-660156;2023-06-10 05:58:53
create_p-660157;2023-06-10 15:17:57
create_p-660158;2023-06-10 19:15:28
create_p-660159;2023-06-11 00:23:35
create_p-660160;2023-06-11 07:51:06
create_p-660161;2023-06-12 01:00:00
create_p-660162;2023-06-13 08:18:39
create_p-660163;2023-06-13 14:58:39
create_p-660164;2023-06-13 15:48:00
create_p-660165;2023-06-13 21:51:09
create_p-660166;2023-06-14 00:38:30
create_p-660167;2023-06-14 06:46:01
create_p-660168;2023-06-14 12:44:30
create_p-660169;2023-06-14 13:03:12
create_p-660170;2023-06-14 18:25:36
create_p-660171;2023-06-15 05:10:24
create_p-660172;2023-06-15 10:53:13
create_p-660173;2023-06-15 13:04:32
create_p-660174;2023-06-15 20:30:15
create_p-660175;2023-06-16 10:15:53
create_p-660176;2023-06-16 12:03:12
create_p-660177;2023-06-16 15:32:08
create_p-660178;2023-06-16 19:28:54
create_p-660179;2023-06-17 01:00:00
create_p-660180;2023-06-17 12:38:24
create_p-660181;2023-06-17 16:37:38
create_p-660182;2023-06-17 18:11:23
create_p-660183;2023-06-17 22:21:02
create_p-660184;2023-06-18 07:57:49
create_p-660185;2023-06-18 11:51:14
create_p-660186;2023-06-20 01:21:08
create_p-660187;2023-06-20 03:34:28
create_p-660188;2023-06-20 15:14:51
create_p-660189;2023-06-20 23:34:28
create_p-660190;2023-06-21 07:41:04
create_p-660191;2023-06-21 13:59:57
create_p-660192;2023-06-22 01:00:00
create_p-660193;2023-06-22 04:48:08
create_p-660194;2023-06-22 04:54:14
create_p-660195;2023-06-22 09:03:34
create_p-660196;2023-06-22 13:28:34
create_p-660197;2023-06-22 21:41:53
create_p-660198;2023-06-22 22:28:06
create_p-660199;2023-06-23 04:31:45
