ocel_id;ocel_time
out_of_stock_i-880015;2023-04-05 12:44:58
out_of_stock_i-880009;2023-04-05 12:44:58
out_of_stock_i-880019;2023-04-06 09:55:45
out_of_stock_i-880034;2023-04-07 03:03:19
out_of_stock_i-880038;2023-04-07 07:33:37
out_of_stock_i-880044;2023-04-07 15:50:08
out_of_stock_i-880040;2023-04-07 22:46:48
out_of_stock_i-880042;2023-04-07 22:46:48
out_of_stock_i-880050;2023-04-08 08:34:41
out_of_stock_i-880052;2023-04-08 08:34:41
out_of_stock_i-880056;2023-04-09 21:12:39
out_of_stock_i-880063;2023-04-10 23:31:33
out_of_stock_i-880066;2023-04-11 06:21:57
out_of_stock_i-880074;2023-04-12 00:05:13
out_of_stock_i-880079;2023-04-12 17:50:31
out_of_stock_i-880082;2023-04-13 03:16:33
out_of_stock_i-880089;2023-04-13 20:36:36
out_of_stock_i-880094;2023-04-15 00:10:01
out_of_stock_i-880098;2023-04-15 10:15:00
out_of_stock_i-880102;2023-04-17 20:00:38
out_of_stock_i-880106;2023-04-18 14:30:33
out_of_stock_i-880119;2023-04-19 01:00:08
out_of_stock_i-880118;2023-04-19 01:00:08
out_of_stock_i-880120;2023-04-19 22:56:22
out_of_stock_i-880131;2023-04-20 08:06:25
out_of_stock_i-880129;2023-04-20 08:06:25
out_of_stock_i-880137;2023-04-20 23:15:48
out_of_stock_i-880134;2023-04-20 23:15:48
out_of_stock_i-880149;2023-04-21 16:54:37
out_of_stock_i-880154;2023-04-22 06:47:57
out_of_stock_i-880159;2023-04-22 10:22:36
out_of_stock_i-880163;2023-04-24 10:27:24
out_of_stock_i-880169;2023-04-25 01:05:13
out_of_stock_i-880174;2023-04-25 16:10:05
out_of_stock_i-880191;2023-04-27 05:11:21
out_of_stock_i-880189;2023-04-27 12:08:01
out_of_stock_i-880195;2023-04-27 18:45:00
out_of_stock_i-880192;2023-04-28 01:41:40
out_of_stock_i-880205;2023-04-29 09:59:15
out_of_stock_i-880213;2023-04-30 07:05:27
out_of_stock_i-880220;2023-05-01 14:58:21
out_of_stock_i-880229;2023-05-01 16:47:17
out_of_stock_i-880242;2023-05-02 02:36:51
out_of_stock_i-880223;2023-05-02 04:51:41
out_of_stock_i-880265;2023-05-03 00:29:09
out_of_stock_i-880272;2023-05-03 05:18:59
out_of_stock_i-880284;2023-05-03 21:20:18
out_of_stock_i-880295;2023-05-04 00:25:28
out_of_stock_i-880288;2023-05-04 12:55:21
out_of_stock_i-880297;2023-05-04 14:18:48
out_of_stock_i-880299;2023-05-04 16:05:41
out_of_stock_i-880304;2023-05-04 16:05:41
out_of_stock_i-880276;2023-05-04 16:19:26
out_of_stock_i-880308;2023-05-04 21:39:40
out_of_stock_i-880320;2023-05-05 03:59:52
out_of_stock_i-880329;2023-05-05 07:13:45
out_of_stock_i-880316;2023-05-05 16:10:53
out_of_stock_i-880326;2023-05-05 19:17:50
out_of_stock_i-880322;2023-05-05 19:17:50
out_of_stock_i-880323;2023-05-05 19:17:50
out_of_stock_i-880336;2023-05-06 02:19:39
out_of_stock_i-880340;2023-05-06 07:59:20
out_of_stock_i-880342;2023-05-06 07:59:20
out_of_stock_i-880360;2023-05-06 16:28:14
out_of_stock_i-880357;2023-05-06 16:28:14
out_of_stock_i-880345;2023-05-06 23:20:05
out_of_stock_i-880339;2023-05-07 04:49:20
out_of_stock_i-880343;2023-05-07 06:16:45
out_of_stock_i-880344;2023-05-07 06:16:45
out_of_stock_i-880351;2023-05-07 10:01:18
out_of_stock_i-880361;2023-05-07 13:18:14
out_of_stock_i-880377;2023-05-09 12:48:22
out_of_stock_i-880399;2023-05-09 21:02:01
out_of_stock_i-880385;2023-05-09 21:04:50
out_of_stock_i-880396;2023-05-10 01:41:58
out_of_stock_i-880417;2023-05-10 04:06:27
out_of_stock_i-880393;2023-05-10 07:00:16
out_of_stock_i-880421;2023-05-10 22:01:48
out_of_stock_i-880414;2023-05-11 00:56:27
out_of_stock_i-880446;2023-05-11 06:46:55
out_of_stock_i-880440;2023-05-11 13:24:05
out_of_stock_i-880461;2023-05-11 14:32:06
out_of_stock_i-880464;2023-05-11 16:32:29
out_of_stock_i-880460;2023-05-12 09:22:00
out_of_stock_i-880466;2023-05-12 16:41:09
out_of_stock_i-880473;2023-05-12 19:32:54
out_of_stock_i-880495;2023-05-13 15:13:47
out_of_stock_i-880486;2023-05-13 16:02:54
out_of_stock_i-880474;2023-05-13 18:35:47
out_of_stock_i-880478;2023-05-13 19:56:19
