ocel_id;ocel_time
send_p-660001;2023-04-08 06:00:00
send_p-660002;2023-04-10 18:50:37
send_p-660003;2023-04-11 19:37:27
send_p-660005;2023-04-12 00:21:53
send_p-660004;2023-04-12 00:21:53
send_p-660006;2023-04-12 13:23:51
send_p-660007;2023-04-13 06:00:00
send_p-660008;2023-04-15 03:35:00
send_p-660009;2023-04-18 06:00:00
send_p-660010;2023-04-19 14:53:28
send_p-660011;2023-04-20 16:09:42
send_p-660012;2023-04-20 23:31:55
send_p-660013;2023-04-21 03:33:05
send_p-660014;2023-04-21 03:57:29
send_p-660015;2023-04-21 19:24:37
send_p-660016;2023-04-21 22:02:28
send_p-660018;2023-04-22 10:22:36
send_p-660017;2023-04-22 10:22:36
send_p-660019;2023-04-23 06:00:00
send_p-660020;2023-04-25 21:00:29
send_p-660021;2023-04-26 20:12:11
send_p-660022;2023-04-28 06:00:00
send_p-660023;2023-04-30 02:38:47
send_p-660024;2023-05-01 15:15:01
send_p-660025;2023-05-01 19:12:40
send_p-660026;2023-05-01 23:04:57
send_p-660027;2023-05-02 01:14:40
send_p-660028;2023-05-02 16:54:39
send_p-660029;2023-05-02 18:45:01
send_p-660030;2023-05-02 18:54:04
send_p-660031;2023-05-02 22:50:32
send_p-660032;2023-05-03 00:45:49
send_p-660033;2023-05-03 06:00:00
send_p-660034;2023-05-04 02:55:28
send_p-660035;2023-05-04 05:58:41
send_p-660036;2023-05-04 06:55:41
send_p-660037;2023-05-04 17:13:00
send_p-660038;2023-05-04 21:50:53
send_p-660039;2023-05-04 23:33:12
send_p-660040;2023-05-05 02:17:33
send_p-660041;2023-05-05 12:26:19
send_p-660042;2023-05-06 02:11:36
send_p-660043;2023-05-06 03:16:00
send_p-660044;2023-05-06 10:32:40
send_p-660045;2023-05-06 15:19:01
send_p-660046;2023-05-07 14:25:12
send_p-660047;2023-05-08 06:00:00
send_p-660048;2023-05-09 01:54:25
send_p-660049;2023-05-09 04:23:25
send_p-660050;2023-05-09 08:42:08
send_p-660051;2023-05-09 09:36:00
send_p-660052;2023-05-09 13:08:48
send_p-660053;2023-05-09 18:56:27
send_p-660054;2023-05-10 01:36:27
send_p-660055;2023-05-10 04:14:22
send_p-660056;2023-05-10 16:34:05
send_p-660057;2023-05-10 23:50:15
send_p-660058;2023-05-10 23:50:15
send_p-660059;2023-05-11 03:35:17
send_p-660060;2023-05-11 08:01:57
send_p-660061;2023-05-12 07:32:54
send_p-660062;2023-05-12 08:53:07
send_p-660063;2023-05-12 10:45:52
send_p-660064;2023-05-12 21:30:19
send_p-660065;2023-05-13 06:00:00
send_p-660066;2023-05-13 11:16:27
send_p-660067;2023-05-13 15:23:38
send_p-660068;2023-05-14 07:19:09
send_p-660069;2023-05-14 23:13:56
send_p-660070;2023-05-16 07:06:14
send_p-660071;2023-05-16 09:16:45
send_p-660072;2023-05-16 09:46:00
send_p-660073;2023-05-16 16:50:58
send_p-660074;2023-05-16 23:30:58
send_p-660075;2023-05-17 04:13:28
send_p-660076;2023-05-17 06:05:02
send_p-660077;2023-05-17 10:20:01
send_p-660078;2023-05-17 11:25:21
send_p-660079;2023-05-17 12:46:51
send_p-660080;2023-05-18 00:00:40
send_p-660081;2023-05-18 06:00:00
send_p-660082;2023-05-18 12:50:17
send_p-660083;2023-05-18 20:28:52
send_p-660084;2023-05-19 00:00:34
send_p-660085;2023-05-19 03:57:45
send_p-660086;2023-05-19 08:19:50
send_p-660087;2023-05-19 18:53:36
send_p-660088;2023-05-20 05:12:46
send_p-660089;2023-05-20 16:19:26
send_p-660090;2023-05-21 06:03:26
send_p-660091;2023-05-22 18:41:36
send_p-660092;2023-05-23 05:14:45
send_p-660093;2023-05-23 06:00:00
send_p-660094;2023-05-23 22:23:00
