ocel_id;ocel_time;ocel_changed_field;weight;price
i-880001;2023-04-03 12:08:18;;0.28;449.0
i-880002;2023-04-03 12:08:18;;0.44;476.0
i-880003;2023-04-03 12:08:18;;0.483;1099.0
i-880004;2023-04-03 16:36:55;;0.28;89.99
i-880005;2023-04-03 23:31:23;;0.172;699.0
i-880006;2023-04-03 23:31:23;;1.25;2200.0
i-880007;2023-04-03 23:31:23;;1.28;149.99
i-880008;2023-04-03 23:31:23;;0.88;89.99
i-880009;2023-04-04 12:30:50;;0.78;99.99
i-880010;2023-04-04 17:21:59;;0.28;89.99
i-880011;2023-04-04 17:21:59;;0.28;449.0
i-880012;2023-04-04 17:21:59;;0.44;476.0
i-880013;2023-04-04 17:21:59;;0.28;89.99
i-880014;2023-04-04 17:21:59;;0.188;1149.0
i-880015;2023-04-04 17:21:59;;0.78;99.99
i-880016;2023-04-05 06:24:56;;0.495;129.0
i-880017;2023-04-05 06:24:56;;0.495;129.0
i-880018;2023-04-05 13:05:45;;0.483;495.0
i-880019;2023-04-05 13:05:45;;0.44;476.0
i-880020;2023-04-05 13:05:45;;0.21;529.0
i-880021;2023-04-05 13:05:45;;0.44;476.0
i-880022;2023-04-05 13:05:45;;0.483;1099.0
i-880023;2023-04-05 17:31:49;;0.28;89.99
i-880024;2023-04-05 17:31:49;;0.28;89.99
i-880025;2023-04-06 08:13:07;;0.188;1149.0
i-880026;2023-04-06 08:13:07;;0.483;1099.0
i-880027;2023-04-06 08:13:07;;1.28;149.99
i-880028;2023-04-06 08:13:07;;0.78;99.99
i-880029;2023-04-06 08:13:07;;0.88;89.99
i-880030;2023-04-06 08:13:07;;0.2;39.99
i-880031;2023-04-06 08:13:07;;1.48;199.99
i-880032;2023-04-06 13:09:59;;0.2;39.99
i-880033;2023-04-06 13:09:59;;0.166;799.0
i-880034;2023-04-06 13:09:59;;0.21;529.0
i-880035;2023-04-06 13:09:59;;0.483;79.99
i-880036;2023-04-06 17:40:17;;1.37;2500.0
i-880037;2023-04-06 17:40:17;;1.48;199.99
i-880038;2023-04-06 17:40:17;;0.495;129.0
i-880039;2023-04-07 08:53:28;;0.21;529.0
i-880040;2023-04-07 08:53:28;;0.166;799.0
i-880041;2023-04-07 08:53:28;;0.38;29.99
i-880042;2023-04-07 08:53:28;;0.98;129.99
i-880043;2023-04-07 08:53:28;;1.37;2500.0
i-880044;2023-04-07 08:53:28;;0.172;699.0
i-880045;2023-04-07 08:53:28;;0.88;89.99
i-880046;2023-04-07 14:10:31;;0.483;1099.0
i-880047;2023-04-07 14:10:31;;0.483;1099.0
i-880048;2023-04-07 14:10:31;;0.483;1099.0
i-880049;2023-04-07 14:10:31;;0.28;449.0
i-880050;2023-04-07 18:41:21;;0.88;89.99
i-880051;2023-04-07 18:41:21;;0.2;39.99
i-880052;2023-04-07 18:41:21;;0.88;89.99
i-880053;2023-04-09 14:15:59;;0.21;529.0
i-880054;2023-04-09 14:15:59;;0.483;1099.0
i-880055;2023-04-09 14:15:59;;0.495;129.0
i-880056;2023-04-09 14:15:59;;0.38;29.99
i-880057;2023-04-09 14:15:59;;1.37;2500.0
i-880058;2023-04-10 11:37:17;;1.25;2200.0
i-880059;2023-04-10 11:37:17;;0.44;476.0
i-880060;2023-04-10 11:37:17;;0.495;129.0
i-880061;2023-04-10 11:37:17;;0.483;79.99
i-880062;2023-04-10 11:37:17;;0.483;495.0
i-880063;2023-04-10 16:34:53;;0.88;89.99
i-880064;2023-04-10 16:34:53;;0.28;89.99
i-880065;2023-04-10 23:25:17;;1.48;199.99
i-880066;2023-04-10 23:25:17;;0.188;1149.0
i-880067;2023-04-10 23:25:17;;0.28;89.99
i-880068;2023-04-10 23:25:17;;0.495;129.0
i-880069;2023-04-11 12:24:07;;0.78;99.99
i-880070;2023-04-11 12:24:07;;0.44;476.0
i-880071;2023-04-11 12:24:07;;0.28;449.0
i-880072;2023-04-11 17:08:33;;1.28;149.99
i-880073;2023-04-11 17:08:33;;0.483;79.99
i-880074;2023-04-11 17:08:33;;0.78;99.99
i-880075;2023-04-11 17:08:33;;1.28;149.99
i-880076;2023-04-12 03:57:11;;0.88;89.99
i-880077;2023-04-12 03:57:11;;0.28;449.0
i-880078;2023-04-12 03:57:11;;1.28;149.99
i-880079;2023-04-12 03:57:11;;0.483;495.0
i-880080;2023-04-12 03:57:11;;1.25;2200.0
i-880081;2023-04-12 13:23:13;;0.483;79.99
i-880082;2023-04-12 13:23:13;;0.495;129.0
i-880083;2023-04-12 13:23:13;;0.21;529.0
i-880084;2023-04-12 13:23:13;;0.44;476.0
i-880085;2023-04-12 18:06:45;;0.21;529.0
i-880086;2023-04-12 18:06:45;;0.188;1149.0
i-880087;2023-04-13 09:09:49;;0.2;39.99
i-880088;2023-04-13 13:39:56;;0.21;529.0
i-880089;2023-04-13 13:39:56;;0.172;699.0
i-880090;2023-04-13 18:40:11;;1.28;149.99
i-880091;2023-04-13 18:40:11;;0.495;129.0
i-880092;2023-04-14 10:16:41;;0.188;1149.0
i-880093;2023-04-14 10:16:41;;0.28;89.99
i-880094;2023-04-14 10:16:41;;0.38;29.99
i-880095;2023-04-14 14:53:41;;0.483;1099.0
i-880096;2023-04-14 14:53:41;;0.483;495.0
i-880097;2023-04-14 20:21:40;;1.48;199.99
i-880098;2023-04-14 20:21:40;;0.28;89.99
i-880099;2023-04-17 02:45:08;;0.188;1149.0
i-880100;2023-04-17 02:45:08;;1.25;2200.0
i-880101;2023-04-17 13:03:58;;0.21;529.0
i-880102;2023-04-17 13:03:58;;0.495;129.0
i-880103;2023-04-17 13:03:58;;0.495;129.0
i-880104;2023-04-17 17:28:15;;0.495;129.0
i-880105;2023-04-17 17:28:15;;0.44;476.0
i-880106;2023-04-18 07:33:53;;0.78;99.99
i-880107;2023-04-18 07:33:53;;0.495;129.0
i-880108;2023-04-18 07:33:53;;0.44;476.0
i-880109;2023-04-18 07:33:53;;1.48;199.99
i-880110;2023-04-18 13:21:35;;0.28;449.0
i-880111;2023-04-18 13:21:35;;0.166;799.0
i-880112;2023-04-18 13:21:35;;0.38;29.99
i-880113;2023-04-18 13:21:35;;0.98;129.99
i-880114;2023-04-18 13:21:35;;0.21;529.0
i-880115;2023-04-18 13:21:35;;0.28;449.0
i-880116;2023-04-18 18:03:28;;0.172;699.0
i-880117;2023-04-18 18:03:28;;0.172;699.0
i-880118;2023-04-18 18:03:28;;0.21;529.0
i-880119;2023-04-18 18:03:28;;0.172;699.0
i-880120;2023-04-19 09:03:02;;1.48;199.99
