ocel_id;ocel_time;ocel_changed_field;price
o-990001;2023-04-03 12:08:18;;2029.0
o-990002;2023-04-03 16:36:55;;94.99
o-990003;2023-04-03 23:31:23;;3143.98
o-990004;2023-04-04 12:30:50;;104.99
o-990005;2023-04-04 17:21:59;;2358.97
o-990006;2023-04-05 06:24:56;;263.0
o-990007;2023-04-05 13:05:45;;3080.0
o-990008;2023-04-05 17:31:49;;184.98
o-990009;2023-04-06 08:13:07;;2832.95
o-990010;2023-04-06 13:09:59;;1452.98
o-990011;2023-04-06 17:40:17;;2833.99
o-990012;2023-04-07 08:53:28;;4781.97
o-990013;2023-04-07 14:10:31;;3751.0
o-990014;2023-04-07 18:41:21;;224.97
o-990015;2023-04-09 14:15:59;;4291.99
o-990016;2023-04-10 11:37:17;;3384.99
o-990017;2023-04-10 16:34:53;;184.98
o-990018;2023-04-10 23:25:17;;1572.98
o-990019;2023-04-11 12:24:07;;1029.99
o-990020;2023-04-11 17:08:33;;484.96
o-990021;2023-04-12 03:57:11;;3388.98
o-990022;2023-04-12 13:23:13;;1218.99
o-990023;2023-04-12 18:06:45;;1683.0
o-990024;2023-04-13 09:09:49;;44.99
o-990025;2023-04-13 13:39:56;;1233.0
o-990026;2023-04-13 18:40:11;;283.99
o-990027;2023-04-14 10:16:41;;1273.98
o-990028;2023-04-14 14:53:41;;1599.0
o-990029;2023-04-14 20:21:40;;294.98
o-990030;2023-04-17 02:45:08;;3354.0
o-990031;2023-04-17 13:03:58;;792.0
o-990032;2023-04-17 17:28:15;;610.0
o-990033;2023-04-18 07:33:53;;909.98
o-990034;2023-04-18 13:21:35;;2390.98
o-990035;2023-04-18 18:03:28;;2631.0
o-990036;2023-04-19 09:03:02;;3762.99
o-990037;2023-04-19 13:26:23;;1342.97
o-990038;2023-04-19 18:13:05;;304.96
o-990039;2023-04-20 09:22:28;;4068.98
o-990040;2023-04-20 14:05:15;;3792.96
o-990041;2023-04-20 18:30:49;;164.98
o-990042;2023-04-21 09:57:57;;6578.98
o-990043;2023-04-21 15:16:13;;204.99
o-990044;2023-04-21 20:29:16;;4431.0
o-990045;2023-04-24 03:30:44;;1929.98
o-990046;2023-04-24 12:54:07;;2594.99
o-990047;2023-04-24 18:08:33;;1749.95
o-990048;2023-04-25 09:13:25;;2611.97
o-990049;2023-04-25 13:47:09;;649.99
o-990050;2023-04-25 18:54:36;;630.99
o-990051;2023-04-26 10:45:31;;323.98
o-990052;2023-04-26 15:51:21;;1953.0
o-990053;2023-04-26 22:14:41;;604.97
o-990054;2023-04-27 11:48:20;;2458.0
o-990055;2023-04-27 16:56:59;;184.98
o-990056;2023-04-28 02:49:57;;3004.0
o-990057;2023-04-28 13:09:15;;2185.95
o-990058;2023-04-28 17:38:49;;520.99
o-990059;2023-04-29 17:12:07;;174.97
o-990060;2023-05-01 08:01:41;;4064.97
o-990061;2023-05-01 09:50:37;;482.97
o-990062;2023-05-01 11:59:20;;4382.98
o-990063;2023-05-01 14:16:46;;481.0
o-990064;2023-05-01 15:51:37;;759.99
o-990065;2023-05-01 18:01:20;;1028.99
o-990066;2023-05-01 19:40:11;;749.98
o-990067;2023-05-01 22:56:34;;3732.99
o-990068;2023-05-02 09:41:19;;2693.99
o-990069;2023-05-02 11:40:44;;1094.99
o-990070;2023-05-02 13:39:33;;613.99
o-990071;2023-05-02 15:37:12;;982.97
o-990072;2023-05-02 17:32:29;;3080.0
o-990073;2023-05-02 19:23:04;;3783.0
o-990074;2023-05-02 22:22:19;;2784.98
o-990075;2023-05-03 08:32:50;;2505.0
o-990076;2023-05-03 10:37:20;;833.99
o-990077;2023-05-03 12:32:46;;1487.97
o-990078;2023-05-03 14:23:38;;2838.98
o-990079;2023-05-03 16:05:21;;4092.96
o-990080;2023-05-03 17:28:48;;5762.99
o-990081;2023-05-03 19:15:41;;2106.97
o-990082;2023-05-03 22:07:34;;244.98
o-990083;2023-05-04 07:46:20;;742.99
o-990084;2023-05-04 10:33:04;;1243.98
o-990085;2023-05-04 12:24:13;;1481.99
o-990086;2023-05-04 14:06:32;;1029.99
o-990087;2023-05-04 15:31:10;;2401.96
o-990088;2023-05-04 17:20:25;;5005.0
o-990089;2023-05-04 18:58:56;;3430.0
o-990090;2023-05-04 22:32:59;;1333.97
o-990091;2023-05-05 08:54:09;;304.98
o-990092;2023-05-05 11:09:20;;3609.99
o-990093;2023-05-05 12:36:45;;1719.99
o-990094;2023-05-05 14:31:36;;6203.0
o-990095;2023-05-05 16:21:18;;1372.98
o-990096;2023-05-05 18:00:41;;1299.0
o-990097;2023-05-05 19:38:14;;4258.97
o-990098;2023-05-05 22:52:40;;1273.98
o-990099;2023-05-06 20:05:12;;6449.96
o-990100;2023-05-07 19:24:17;;1759.0
o-990101;2023-05-08 09:01:42;;1012.96
o-990102;2023-05-08 10:21:30;;1079.99
o-990103;2023-05-08 12:01:05;;1582.96
o-990104;2023-05-08 13:20:16;;1991.99
o-990105;2023-05-08 14:58:38;;2205.0
o-990106;2023-05-08 17:15:21;;1848.96
o-990107;2023-05-08 18:48:48;;1063.94
o-990108;2023-05-08 22:02:35;;384.97
o-990109;2023-05-09 07:16:27;;6930.0
o-990110;2023-05-09 10:00:11;;1063.0
o-990111;2023-05-09 11:18:28;;2354.99
o-990112;2023-05-09 12:55:01;;134.99
o-990113;2023-05-09 15:08:08;;4101.98
o-990114;2023-05-09 16:34:22;;4703.98
o-990115;2023-05-09 18:26:49;;2334.99
o-990116;2023-05-09 20:56:38;;1233.0
o-990117;2023-05-10 02:40:45;;8669.98
o-990118;2023-05-10 09:56:55;;943.96
o-990119;2023-05-10 12:11:56;;783.98
o-990120;2023-05-10 13:41:57;;3957.99
o-990121;2023-05-10 15:42:00;;44.99
o-990122;2023-05-10 17:42:06;;1193.99
o-990123;2023-05-10 19:42:29;;2203.0
o-990124;2023-05-10 23:01:09;;1219.97
o-990125;2023-05-11 08:49:34;;798.98
o-990126;2023-05-11 11:02:27;;1932.98
o-990127;2023-05-11 12:22:59;;94.99
o-990128;2023-05-11 14:04:04;;704.0
o-990129;2023-05-11 15:26:14;;3016.95
o-990130;2023-05-11 17:10:33;;234.97
o-990131;2023-05-11 18:39:12;;1233.99
o-990132;2023-05-11 21:33:47;;1268.97
o-990133;2023-05-12 05:23:39;;6248.97
o-990134;2023-05-12 09:56:06;;2943.99
o-990135;2023-05-12 12:10:18;;3032.99
o-990136;2023-05-12 13:38:41;;1775.0
o-990137;2023-05-12 15:35:28;;3233.99
o-990138;2023-05-12 17:29:02;;938.97
o-990139;2023-05-12 19:16:09;;1762.0
o-990140;2023-05-12 22:08:30;;1233.99
o-990141;2023-05-13 15:33:56;;4103.0
o-990142;2023-05-14 15:44:48;;3692.98
o-990143;2023-05-15 08:24:33;;1589.96
o-990144;2023-05-15 10:24:55;;1229.98
o-990145;2023-05-15 12:07:56;;3073.97
o-990146;2023-05-15 13:33:57;;1752.99
o-990147;2023-05-15 15:26:00;;859.98
o-990148;2023-05-15 17:10:05;;1992.99
o-990149;2023-05-15 18:38:16;;3410.97
o-990150;2023-05-15 21:30:59;;1772.98
o-990151;2023-05-16 05:06:51;;1478.0
o-990152;2023-05-16 09:37:38;;1092.97
o-990153;2023-05-16 11:33:21;;94.99
o-990154;2023-05-16 13:24:48;;853.99
o-990155;2023-05-16 15:07:41;;2205.0
o-990156;2023-05-16 16:33:28;;3202.99
o-990157;2023-05-16 18:25:02;;2799.97
o-990158;2023-05-16 20:51:17;;9218.96
o-990159;2023-05-17 02:08:38;;1213.94
o-990160;2023-05-17 09:21:36;;2404.99
o-990161;2023-05-17 11:01:17;;1651.98
o-990162;2023-05-17 12:20:40;;3366.98
o-990163;2023-05-17 13:59:26;;2342.99
o-990164;2023-05-17 16:16:57;;853.99
o-990165;2023-05-17 17:52:00;;1882.0
o-990166;2023-05-17 20:12:11;;3389.98
o-990167;2023-05-17 23:00:34;;2834.96
o-990168;2023-05-18 08:48:52;;673.98
o-990169;2023-05-18 11:01:23;;3354.0
o-990170;2023-05-18 12:20:52;;1323.95
o-990171;2023-05-18 13:59:50;;2874.96
o-990172;2023-05-18 16:17:45;;2158.99
o-990173;2023-05-18 17:53:36;;274.97
o-990174;2023-05-18 20:16:59;;4002.99
o-990175;2023-05-18 23:10:09;;2886.98
o-990176;2023-05-19 09:00:22;;5212.99
o-990177;2023-05-19 10:18:50;;2878.0
o-990178;2023-05-19 11:55:46;;5091.97
o-990179;2023-05-19 14:09:37;;2604.98
o-990180;2023-05-19 15:37:20;;1283.99
o-990181;2023-05-19 17:32:46;;3051.98
o-990182;2023-05-19 19:23:37;;2205.0
o-990183;2023-05-19 22:23:26;;693.98
o-990184;2023-05-20 17:03:32;;1102.95
o-990185;2023-05-21 16:44:00;;1154.0
o-990186;2023-05-22 08:51:48;;983.0
o-990187;2023-05-22 11:05:47;;1154.0
o-990188;2023-05-22 12:29:40;;1108.99
o-990189;2023-05-22 14:17:25;;2981.99
o-990190;2023-05-22 15:52:56;;5686.97
o-990191;2023-05-22 18:03:58;;1432.99
o-990192;2023-05-22 19:48:05;;1709.0
o-990193;2023-05-22 23:12:21;;1472.98
o-990194;2023-05-23 09:03:01;;7048.98
o-990195;2023-05-23 10:24:07;;1772.97
o-990196;2023-05-23 12:06:20;;194.98
o-990197;2023-05-23 13:30:46;;1709.99
o-990198;2023-05-23 15:19:37;;184.98
o-990199;2023-05-23 16:57:20;;1382.99
o-990200;2023-05-23 19:12:46;;733.97
o-990201;2023-05-23 22:01:43;;4849.97
o-990202;2023-05-24 07:11:14;;154.99
o-990203;2023-05-24 09:54:27;;173.99
o-990204;2023-05-24 12:07:00;;2505.0
o-990205;2023-05-24 13:32:06;;2604.99
o-990206;2023-05-24 15:22:17;;2432.96
o-990207;2023-05-24 17:02:40;;234.98
o-990208;2023-05-24 18:23:26;;3813.97
o-990209;2023-05-24 20:46:29;;3868.98
o-990210;2023-05-25 01:39:50;;1152.98
o-990211;2023-05-25 09:49:55;;579.99
o-990212;2023-05-25 11:57:55;;2029.0
o-990213;2023-05-25 14:13:56;;4023.95
o-990214;2023-05-25 15:45:58;;1927.99
o-990215;2023-05-25 17:50:01;;3202.98
o-990216;2023-05-25 20:06:15;;4954.98
o-990217;2023-05-25 22:48:41;;4702.95
o-990218;2023-05-26 09:25:33;;689.98
o-990219;2023-05-26 11:09:12;;5602.98
o-990220;2023-05-26 12:36:29;;1599.0
o-990221;2023-05-26 14:31:04;;3304.0
o-990222;2023-05-26 16:20:14;;1703.97
o-990223;2023-05-26 17:58:33;;3862.99
o-990224;2023-05-26 20:31:51;;3620.99
o-990225;2023-05-27 00:12:02;;213.99
o-990226;2023-05-27 22:40:19;;1802.98
o-990227;2023-05-28 22:34:31;;2726.99
o-990228;2023-05-29 09:30:57;;804.0
o-990229;2023-05-29 11:20:00;;1343.94
o-990230;2023-05-29 12:58:06;;5384.97
o-990231;2023-05-29 15:14:17;;1579.96
o-990232;2023-05-29 16:46:40;;2201.98
o-990233;2023-05-29 18:51:26;;3091.99
o-990234;2023-05-29 22:10:29;;3078.95
o-990235;2023-05-30 08:03:50;;1293.98
o-990236;2023-05-30 09:53:51;;2434.98
o-990237;2023-05-30 12:05:47;;982.98
o-990238;2023-05-30 13:29:40;;903.99
o-990239;2023-05-30 15:17:26;;3110.98
o-990240;2023-05-30 16:52:57;;2324.98
o-990241;2023-05-30 19:04:00;;2267.98
o-990242;2023-05-30 21:44:11;;2861.97
o-990243;2023-05-31 06:26:03;;74.98
o-990244;2023-05-31 10:04:45;;4864.98
o-990245;2023-05-31 11:27:35;;1864.99
o-990246;2023-05-31 13:13:16;;443.97
o-990247;2023-05-31 14:44:37;;3865.97
o-990248;2023-05-31 16:47:20;;224.98
o-990249;2023-05-31 18:52:46;;2999.97
o-990250;2023-05-31 22:14:29;;760.98
o-990251;2023-06-01 08:17:09;;2172.98
o-990252;2023-06-01 10:13:49;;4803.0
o-990253;2023-06-01 11:45:44;;818.98
o-990254;2023-06-01 13:49:34;;4301.98
o-990255;2023-06-01 15:57:13;;1190.99
o-990256;2023-06-01 18:12:32;;4581.98
o-990257;2023-06-01 20:13:47;;2203.0
o-990258;2023-06-01 23:03:46;;1243.99
o-990259;2023-06-02 08:52:42;;2833.99
o-990260;2023-06-02 11:07:09;;3310.98
o-990261;2023-06-02 12:32:23;;2307.08
o-990262;2023-06-02 14:22:52;;3786.66
o-990263;2023-06-02 16:03:50;;2746.54
o-990264;2023-06-02 17:25:45;;4561.0
o-990265;2023-06-02 19:09:36;;611.86
o-990266;2023-06-02 21:55:23;;841.07
o-990267;2023-06-03 15:15:15;;1563.06
o-990268;2023-06-04 15:07:26;;3254.05
o-990269;2023-06-05 07:09:48;;2735.04
o-990270;2023-06-05 09:52:53;;684.1
o-990271;2023-06-05 12:03:51;;99.17
o-990272;2023-06-05 13:25:48;;2513.2
o-990273;2023-06-05 15:09:42;;5046.52
o-990274;2023-06-05 16:37:29;;3306.38
o-990275;2023-06-05 18:33:04;;2390.78
o-990276;2023-06-05 21:15:23;;4080.69
o-990277;2023-06-06 03:33:15;;1883.27
o-990278;2023-06-06 09:54:40;;767.81
o-990279;2023-06-06 12:07:25;;2443.09
o-990280;2023-06-06 13:32:56;;2851.19
o-990281;2023-06-06 15:23:58;;4009.56
o-990282;2023-06-06 17:06:01;;5987.24
o-990283;2023-06-06 18:30:08;;1254.4
o-990284;2023-06-06 21:06:35;;3139.99
o-990285;2023-06-07 02:40:27;;4250.23
o-990286;2023-06-07 09:56:35;;4935.58
o-990287;2023-06-07 12:11:16;;4839.35
o-990288;2023-06-07 13:40:37;;3813.9
o-990289;2023-06-07 15:39:20;;3664.24
o-990290;2023-06-07 17:36:45;;2725.62
o-990291;2023-06-07 19:31:36;;3025.92
o-990292;2023-06-07 22:39:23;;1411.34
o-990293;2023-06-08 09:06:58;;956.15
o-990294;2023-06-08 10:32:01;;1725.28
o-990295;2023-06-08 12:22:08;;214.27
o-990296;2023-06-08 14:02:22;;851.52
o-990297;2023-06-08 15:22:49;;4954.46
o-990298;2023-06-08 17:03:44;;3326.26
o-990299;2023-06-08 18:25:33;;4539.04
o-990300;2023-06-08 20:52:51;;1643.64
o-990301;2023-06-09 02:18:02;;1759.79
o-990302;2023-06-09 09:31:56;;1453.21
o-990303;2023-06-09 11:21:58;;1636.3
o-990304;2023-06-09 13:02:01;;2126.05
o-990305;2023-06-09 14:22:08;;3750.04
o-990306;2023-06-09 16:02:21;;5330.11
o-990307;2023-06-09 17:22:48;;193.33
o-990308;2023-06-09 19:03:42;;3530.29
o-990309;2023-06-09 21:43:35;;4860.28
o-990310;2023-06-10 14:04:26;;5564.5
o-990311;2023-06-11 13:45:49;;3572.15
o-990312;2023-06-12 06:26:34;;4037.79
o-990313;2023-06-12 10:05:19;;903.83
o-990314;2023-06-12 11:28:44;;4078.63
o-990315;2023-06-12 13:15:34;;4690.76
o-990316;2023-06-12 14:49:13;;1708.54
o-990317;2023-06-12 16:56:32;;130.55
o-990318;2023-06-12 19:11:09;;3212.2
o-990319;2023-06-12 21:58:30;;2429.49
o-990320;2023-06-13 07:51:56;;1108.94
o-990321;2023-06-13 10:39:13;;2621.0
o-990322;2023-06-13 12:36:32;;3586.82
o-990323;2023-06-13 14:31:10;;2274.63
