ocel_id;ocel_time;ocel_changed_field;weight
p-660001;2023-04-08 01:00:00;;2.248
p-660002;2023-04-10 13:50:37;;8.873
p-660003;2023-04-11 14:37:27;;1.203
p-660004;2023-04-11 19:21:53;;4.033
p-660005;2023-04-11 19:21:53;;0.28
p-660006;2023-04-12 08:23:51;;8.657
p-660007;2023-04-13 01:00:00;;0.56
p-660008;2023-04-14 22:35:00;;5.647
p-660009;2023-04-18 01:00:00;;5.058
p-660010;2023-04-19 09:53:28;;9.018
p-660011;2023-04-20 11:09:42;;6.226
p-660012;2023-04-20 18:31:55;;1.16
p-660013;2023-04-20 22:33:05;;0.78
p-660014;2023-04-20 22:57:29;;0.398
p-660015;2023-04-21 14:24:37;;2.142
p-660016;2023-04-21 17:02:28;;2.741
p-660017;2023-04-22 05:22:36;;0.966
p-660018;2023-04-22 05:22:36;;3.231
p-660019;2023-04-23 01:00:00;;9.271
p-660020;2023-04-25 16:00:29;;2.976
p-660021;2023-04-26 15:12:11;;14.191
p-660022;2023-04-28 01:00:00;;4.003
p-660023;2023-04-29 21:38:47;;5.401
p-660024;2023-05-01 10:15:01;;4.58
p-660025;2023-05-01 14:12:40;;2.044
p-660026;2023-05-01 18:04:57;;3.423
p-660027;2023-05-01 20:14:40;;6.588
p-660028;2023-05-02 11:54:39;;2.155
p-660029;2023-05-02 13:45:01;;4.44
p-660030;2023-05-02 13:54:04;;1.735
p-660031;2023-05-02 17:50:32;;3.959
p-660032;2023-05-02 19:45:49;;14.585
p-660033;2023-05-03 01:00:00;;0.64
p-660034;2023-05-03 21:55:28;;1.75
p-660035;2023-05-04 00:58:41;;2.398
p-660036;2023-05-04 01:55:41;;1.452
p-660037;2023-05-04 12:13:00;;2.305
p-660038;2023-05-04 16:50:53;;1.73
p-660039;2023-05-04 18:33:12;;1.468
p-660040;2023-05-04 21:17:33;;4.241
p-660041;2023-05-05 07:26:19;;3.426
p-660042;2023-05-05 21:11:36;;2.053
p-660043;2023-05-05 22:16:00;;8.621
p-660044;2023-05-06 05:32:40;;5.643
p-660045;2023-05-06 10:19:01;;4.651
p-660046;2023-05-07 09:25:12;;6.73
p-660047;2023-05-08 01:00:00;;3.023
p-660048;2023-05-08 20:54:25;;5.813
p-660049;2023-05-08 23:23:25;;5.486
p-660050;2023-05-09 03:42:08;;2.09
p-660051;2023-05-09 04:36:00;;3.249
p-660052;2023-05-09 08:08:48;;3.383
p-660053;2023-05-09 13:56:27;;3.866
p-660054;2023-05-09 20:36:27;;2.836
p-660055;2023-05-09 23:14:22;;11.004
p-660056;2023-05-10 11:34:05;;3.51
p-660057;2023-05-10 18:50:15;;0.21
p-660058;2023-05-10 18:50:15;;5.925
p-660059;2023-05-10 22:35:17;;2.623
p-660060;2023-05-11 03:01:57;;13.928
