ocel_id;ocel_time
confirm_o-990001;2023-04-04 22:23:19
confirm_o-990002;2023-04-05 00:49:56
confirm_o-990003;2023-04-05 09:25:10
confirm_o-990004;2023-04-06 00:19:54
confirm_o-990005;2023-04-06 01:08:19
confirm_o-990006;2023-04-06 19:59:04
confirm_o-990007;2023-04-06 22:15:30
confirm_o-990008;2023-04-07 02:07:01
confirm_o-990009;2023-04-07 21:38:30
confirm_o-990010;2023-04-07 22:19:50
confirm_o-990011;2023-04-08 02:31:12
confirm_o-990012;2023-04-08 20:18:26
confirm_o-990013;2023-04-09 03:48:12
confirm_o-990014;2023-04-09 05:17:06
confirm_o-990015;2023-04-11 03:41:35
confirm_o-990016;2023-04-12 00:23:42
confirm_o-990017;2023-04-12 04:59:03
confirm_o-990018;2023-04-12 10:05:17
confirm_o-990019;2023-04-12 22:29:09
confirm_o-990020;2023-04-13 03:20:18
confirm_o-990021;2023-04-13 14:00:21
confirm_o-990022;2023-04-13 22:42:32
confirm_o-990023;2023-04-14 07:01:18
confirm_o-990024;2023-04-14 19:49:34
confirm_o-990025;2023-04-14 21:28:48
confirm_o-990026;2023-04-15 08:49:36
confirm_o-990027;2023-04-15 18:38:23
confirm_o-990028;2023-04-16 02:09:05
confirm_o-990029;2023-04-16 08:47:18
confirm_o-990030;2023-04-18 13:19:36
confirm_o-990032;2023-04-19 00:47:38
confirm_o-990031;2023-04-19 02:28:09
confirm_o-990033;2023-04-19 15:50:32
confirm_o-990034;2023-04-20 00:48:00
confirm_o-990035;2023-04-20 06:01:12
confirm_o-990036;2023-04-20 19:11:17
confirm_o-990037;2023-04-21 01:50:37
confirm_o-990038;2023-04-21 06:54:30
confirm_o-990039;2023-04-21 18:00:15
confirm_o-990040;2023-04-22 01:11:24
confirm_o-990041;2023-04-22 03:38:55
confirm_o-990042;2023-04-22 22:31:22
confirm_o-990043;2023-04-23 04:34:08
confirm_o-990044;2023-04-23 10:22:26
confirm_o-990045;2023-04-25 14:06:11
confirm_o-990046;2023-04-26 00:28:56
confirm_o-990047;2023-04-26 07:15:26
confirm_o-990048;2023-04-26 17:13:43
confirm_o-990049;2023-04-27 01:42:07
confirm_o-990050;2023-04-27 02:50:52
confirm_o-990051;2023-04-27 18:52:48
confirm_o-990052;2023-04-28 00:04:00
confirm_o-990053;2023-04-28 07:12:18
confirm_o-990054;2023-04-28 20:02:03
confirm_o-990055;2023-04-29 01:38:49
confirm_o-990056;2023-04-29 13:57:27
confirm_o-990057;2023-04-30 01:27:25
confirm_o-990058;2023-04-30 03:31:32
confirm_o-990059;2023-05-01 00:37:41
confirm_o-990060;2023-05-02 17:55:09
confirm_o-990061;2023-05-02 19:05:56
confirm_o-990062;2023-05-02 19:37:15
confirm_o-990064;2023-05-03 01:51:48
confirm_o-990063;2023-05-03 01:53:09
confirm_o-990065;2023-05-03 07:02:32
confirm_o-990067;2023-05-03 08:11:17
confirm_o-990066;2023-05-03 08:43:56
confirm_o-990068;2023-05-03 17:54:38
confirm_o-990072;2023-05-04 01:35:37
confirm_o-990069;2023-05-04 01:39:30
confirm_o-990071;2023-05-04 02:07:28
confirm_o-990070;2023-05-04 03:25:34
confirm_o-990073;2023-05-04 05:16:02
confirm_o-990074;2023-05-04 09:51:54
confirm_o-990075;2023-05-04 18:20:12
confirm_o-990076;2023-05-04 23:05:59
confirm_o-990078;2023-05-05 00:43:57
confirm_o-990077;2023-05-05 01:27:15
confirm_o-990079;2023-05-05 05:51:19
confirm_o-990080;2023-05-05 06:34:19
confirm_o-990081;2023-05-05 08:47:41
confirm_o-990082;2023-05-05 09:42:47
confirm_o-990083;2023-05-05 15:47:59
confirm_o-990085;2023-05-05 20:49:16
confirm_o-990084;2023-05-06 00:36:37
confirm_o-990087;2023-05-06 01:22:36
confirm_o-990088;2023-05-06 01:48:10
confirm_o-990086;2023-05-06 02:36:40
confirm_o-990089;2023-05-06 08:19:59
confirm_o-990090;2023-05-06 09:45:25
confirm_o-990091;2023-05-06 20:33:59
confirm_o-990092;2023-05-06 23:06:27
confirm_o-990093;2023-05-07 00:15:07
confirm_o-990094;2023-05-07 01:23:09
confirm_o-990095;2023-05-07 02:00:41
confirm_o-990096;2023-05-07 02:42:24
confirm_o-990097;2023-05-07 04:39:03
confirm_o-990098;2023-05-07 10:02:36
confirm_o-990099;2023-05-08 03:46:03
confirm_o-990100;2023-05-09 02:53:01
confirm_o-990101;2023-05-09 21:14:05
confirm_o-990102;2023-05-09 21:39:36
confirm_o-990104;2023-05-09 23:28:08
confirm_o-990103;2023-05-10 01:10:34
confirm_o-990106;2023-05-10 01:34:05
confirm_o-990105;2023-05-10 04:04:32
confirm_o-990107;2023-05-10 08:44:07
confirm_o-990108;2023-05-10 10:56:45
confirm_o-990110;2023-05-10 18:16:59
confirm_o-990109;2023-05-10 19:37:05
confirm_o-990111;2023-05-10 21:10:33
confirm_o-990112;2023-05-11 01:57:28
confirm_o-990115;2023-05-11 03:54:19
confirm_o-990114;2023-05-11 04:09:47
confirm_o-990113;2023-05-11 04:30:24
confirm_o-990116;2023-05-11 06:57:45
confirm_o-990117;2023-05-11 14:25:38
confirm_o-990118;2023-05-11 19:38:31
confirm_o-990119;2023-05-11 20:22:48
confirm_o-990121;2023-05-12 00:07:30
confirm_o-990120;2023-05-12 00:30:33
confirm_o-990122;2023-05-12 05:21:02
confirm_o-990123;2023-05-12 09:51:06
confirm_o-990124;2023-05-12 09:53:04
confirm_o-990125;2023-05-12 16:46:14
confirm_o-990128;2023-05-12 21:58:15
confirm_o-990127;2023-05-12 22:00:32
confirm_o-990126;2023-05-13 00:44:07
confirm_o-990129;2023-05-13 02:42:49
confirm_o-990130;2023-05-13 03:33:25
confirm_o-990131;2023-05-13 07:40:50
confirm_o-990132;2023-05-13 10:37:44
confirm_o-990133;2023-05-13 15:31:06
confirm_o-990135;2023-05-13 23:44:39
confirm_o-990134;2023-05-13 23:58:01
confirm_o-990136;2023-05-14 01:14:33
confirm_o-990137;2023-05-14 01:38:33
confirm_o-990139;2023-05-14 02:31:12
confirm_o-990140;2023-05-14 06:04:35
