ocel_id;ocel_time
fail_p-660002_1;2023-04-12 21:59:43
fail_p-660010_2;2023-04-16 21:40:57
fail_p-660011_3;2023-04-19 08:21:08
fail_p-660015_4;2023-04-21 17:30:25
fail_p-660018_5;2023-04-23 15:24:08
fail_p-660020_6;2023-04-25 02:17:41
fail_p-660018_7;2023-04-25 11:53:10
fail_p-660020_8;2023-04-26 17:15:02
fail_p-660043_9;2023-05-07 23:19:54
fail_p-660045_10;2023-05-09 22:11:31
fail_p-660045_11;2023-05-11 12:55:16
fail_p-660053_12;2023-05-12 23:47:39
fail_p-660057_13;2023-05-13 18:31:18
fail_p-660064_14;2023-05-15 06:26:22
fail_p-660057_15;2023-05-15 08:56:48
fail_p-660070_16;2023-05-17 18:43:04
fail_p-660071_17;2023-05-17 22:43:00
fail_p-660079_18;2023-05-19 03:26:05
fail_p-660070_19;2023-05-19 11:37:24
fail_p-660071_20;2023-05-19 12:17:02
fail_p-660082_21;2023-05-19 21:37:23
fail_p-660084_22;2023-05-20 03:03:13
fail_p-660087_23;2023-05-20 23:13:22
fail_p-660070_24;2023-05-21 03:34:19
fail_p-660088_25;2023-05-21 03:51:18
fail_p-660071_26;2023-05-21 08:00:36
fail_p-660082_27;2023-05-21 11:16:36
fail_p-660084_28;2023-05-21 18:00:44
fail_p-660070_29;2023-05-23 01:05:44
fail_p-660096_30;2023-05-23 04:07:43
fail_p-660070_31;2023-05-24 17:20:12
fail_p-660107_32;2023-05-26 16:13:57
fail_p-660118_33;2023-05-30 04:04:32
fail_p-660118_34;2023-06-01 00:10:19
fail_p-660123_35;2023-06-02 00:13:38
fail_p-660123_36;2023-06-03 18:00:41
fail_p-660131_37;2023-06-04 07:06:07
fail_p-660139_38;2023-06-06 16:29:46
fail_p-660156_39;2023-06-11 10:48:52
fail_p-660166_40;2023-06-16 19:19:50
fail_p-660169_41;2023-06-17 11:37:20
fail_p-660176_42;2023-06-18 15:34:08
fail_p-660178_43;2023-06-19 02:21:55
fail_p-660180_44;2023-06-19 23:21:58
fail_p-660176_45;2023-06-20 12:40:37
fail_p-660180_46;2023-06-21 20:17:00
fail_p-660176_47;2023-06-22 08:06:19
fail_p-660186_48;2023-06-22 14:52:43
fail_p-660190_49;2023-06-23 17:33:07
fail_p-660195_50;2023-06-24 13:14:01
fail_p-660190_51;2023-06-25 08:59:44
fail_p-660195_52;2023-06-26 05:32:48
fail_p-660206_53;2023-06-29 10:57:35
fail_p-660209_54;2023-06-30 03:06:53
fail_p-660215_55;2023-07-02 03:47:09
fail_p-660220_56;2023-07-02 20:25:06
fail_p-660223_57;2023-07-03 15:56:42
fail_p-660215_58;2023-07-03 21:36:18
fail_p-660223_59;2023-07-05 09:09:54
fail_p-660225_60;2023-07-06 09:08:15
fail_p-660226_61;2023-07-06 12:06:01
fail_p-660233_62;2023-07-07 17:10:08
fail_p-660234_63;2023-07-07 23:53:53
fail_p-660242_64;2023-07-10 03:36:03
fail_p-660242_65;2023-07-11 17:35:16
fail_p-660251_66;2023-07-14 00:09:45
fail_p-660257_67;2023-07-14 22:19:56
fail_p-660259_68;2023-07-15 09:26:33
fail_p-660262_69;2023-07-15 17:28:38
fail_p-660263_70;2023-07-16 03:43:51
fail_p-660264_71;2023-07-16 15:29:30
fail_p-660257_72;2023-07-16 17:39:12
fail_p-660262_73;2023-07-17 13:34:23
fail_p-660268_74;2023-07-17 19:11:35
fail_p-660263_75;2023-07-18 00:15:26
fail_p-660264_76;2023-07-18 10:03:43
fail_p-660275_77;2023-07-20 15:21:00
fail_p-660279_78;2023-07-21 10:58:53
fail_p-660282_79;2023-07-21 23:41:30
fail_p-660284_80;2023-07-22 14:02:03
fail_p-660290_81;2023-07-23 20:12:08
fail_p-660291_82;2023-07-24 20:02:20
fail_p-660290_83;2023-07-25 12:49:10
fail_p-660293_84;2023-07-26 19:02:58
fail_p-660298_85;2023-07-27 22:47:17
fail_p-660300_86;2023-07-28 05:18:52
fail_p-660301_87;2023-07-28 06:32:20
fail_p-660293_88;2023-07-28 13:48:59
fail_p-660307_89;2023-07-29 21:40:02
fail_p-660301_90;2023-07-30 02:44:21
fail_p-660308_91;2023-07-30 03:34:57
fail_p-660310_92;2023-07-30 12:44:03
fail_p-660308_93;2023-07-31 20:02:45
fail_p-660317_94;2023-08-01 13:55:34
fail_p-660317_95;2023-08-03 06:17:13
fail_p-660322_96;2023-08-04 06:11:15
fail_p-660323_97;2023-08-04 07:57:47
fail_p-660325_98;2023-08-04 11:43:20
fail_p-660322_99;2023-08-05 20:34:26
fail_p-660322_100;2023-08-07 17:21:10
fail_p-660350_101;2023-08-11 13:47:01
fail_p-660348_102;2023-08-11 14:17:47
fail_p-660363_103;2023-08-15 13:02:47
fail_p-660363_104;2023-08-17 04:02:54
fail_p-660377_105;2023-08-21 04:06:42
fail_p-660380_106;2023-08-21 23:05:53
fail_p-660382_107;2023-08-22 04:16:40
fail_p-660384_108;2023-08-22 05:53:30
fail_p-660380_109;2023-08-23 16:22:52
fail_p-660394_110;2023-08-27 04:22:55
fail_p-660395_111;2023-08-27 04:46:36
fail_p-660404_112;2023-08-30 03:37:52
fail_p-660408_113;2023-08-31 18:01:47
fail_p-660412_114;2023-09-01 20:37:38
fail_p-660414_115;2023-09-01 22:57:29
fail_p-660415_116;2023-09-02 10:08:10
fail_p-660408_117;2023-09-02 10:37:07
fail_p-660417_118;2023-09-03 07:50:37
fail_p-660412_119;2023-09-03 12:28:16
fail_p-660418_120;2023-09-03 14:20:53
