ocel_id;ocel_time
deliver_p-660001;2023-04-09 15:52:57
deliver_p-660003;2023-04-12 08:39:28
deliver_p-660004;2023-04-12 20:26:44
deliver_p-660005;2023-04-14 13:08:28
deliver_p-660006;2023-04-14 13:22:05
deliver_p-660002;2023-04-14 18:32:54
deliver_p-660008;2023-04-15 04:17:23
deliver_p-660007;2023-04-15 05:54:31
deliver_p-660009;2023-04-16 05:40:35
deliver_p-660010;2023-04-18 17:23:48
deliver_p-660012;2023-04-19 15:56:27
deliver_p-660013;2023-04-20 10:01:27
deliver_p-660014;2023-04-21 00:55:19
deliver_p-660011;2023-04-21 02:24:41
deliver_p-660016;2023-04-21 12:04:37
deliver_p-660017;2023-04-22 03:25:53
deliver_p-660015;2023-04-23 13:31:57
deliver_p-660019;2023-04-24 03:03:54
deliver_p-660021;2023-04-26 23:36:59
deliver_p-660018;2023-04-27 08:16:16
deliver_p-660022;2023-04-27 20:20:03
deliver_p-660023;2023-04-28 06:07:34
deliver_p-660020;2023-04-28 13:58:30
deliver_p-660024;2023-04-28 22:23:49
deliver_p-660025;2023-04-29 14:41:22
deliver_p-660026;2023-05-03 00:02:56
deliver_p-660029;2023-05-03 03:44:30
deliver_p-660028;2023-05-03 03:54:18
deliver_p-660027;2023-05-03 05:21:24
deliver_p-660030;2023-05-03 12:54:51
deliver_p-660031;2023-05-04 01:46:08
deliver_p-660032;2023-05-04 12:59:57
deliver_p-660033;2023-05-04 14:46:16
deliver_p-660034;2023-05-05 08:26:53
deliver_p-660035;2023-05-05 09:11:31
deliver_p-660036;2023-05-06 04:57:44
deliver_p-660037;2023-05-06 05:14:43
deliver_p-660039;2023-05-06 10:27:50
deliver_p-660038;2023-05-06 13:02:59
deliver_p-660040;2023-05-07 06:13:04
deliver_p-660041;2023-05-07 12:09:40
deliver_p-660042;2023-05-07 13:58:01
deliver_p-660044;2023-05-08 18:31:33
deliver_p-660043;2023-05-09 16:24:29
deliver_p-660047;2023-05-10 12:23:59
deliver_p-660046;2023-05-10 13:42:11
deliver_p-660048;2023-05-10 17:31:39
deliver_p-660049;2023-05-10 18:26:08
deliver_p-660050;2023-05-11 07:04:19
deliver_p-660051;2023-05-11 18:35:04
deliver_p-660052;2023-05-12 00:23:12
deliver_p-660054;2023-05-12 11:56:55
deliver_p-660055;2023-05-12 17:00:09
deliver_p-660056;2023-05-12 21:15:55
deliver_p-660045;2023-05-13 07:45:39
deliver_p-660058;2023-05-13 12:12:25
deliver_p-660060;2023-05-13 14:41:50
deliver_p-660059;2023-05-13 14:55:27
deliver_p-660061;2023-05-14 05:10:55
deliver_p-660063;2023-05-14 12:35:21
deliver_p-660062;2023-05-14 13:46:54
deliver_p-660053;2023-05-14 15:35:05
deliver_p-660065;2023-05-14 19:11:13
deliver_p-660064;2023-05-16 21:09:28
deliver_p-660057;2023-05-17 05:48:17
deliver_p-660067;2023-05-17 07:43:54
deliver_p-660068;2023-05-17 11:20:48
deliver_p-660066;2023-05-17 11:24:03
deliver_p-660069;2023-05-17 16:17:08
deliver_p-660074;2023-05-17 18:12:23
deliver_p-660072;2023-05-17 20:53:08
deliver_p-660073;2023-05-17 20:55:12
deliver_p-660075;2023-05-18 03:44:31
deliver_p-660076;2023-05-18 05:42:41
deliver_p-660077;2023-05-18 07:21:45
deliver_p-660078;2023-05-18 15:48:44
deliver_p-660080;2023-05-18 23:55:54
deliver_p-660081;2023-05-19 12:07:24
deliver_p-660083;2023-05-19 13:02:45
deliver_p-660085;2023-05-19 13:51:27
deliver_p-660086;2023-05-20 09:14:08
deliver_p-660079;2023-05-20 17:59:13
deliver_p-660089;2023-05-20 23:53:50
deliver_p-660090;2023-05-21 09:06:38
deliver_p-660091;2023-05-21 10:59:09
deliver_p-660092;2023-05-21 14:25:44
deliver_p-660094;2023-05-21 16:17:03
deliver_p-660093;2023-05-21 19:16:04
deliver_p-660095;2023-05-22 01:44:32
deliver_p-660087;2023-05-22 21:02:06
deliver_p-660071;2023-05-22 23:39:58
deliver_p-660088;2023-05-23 00:51:08
deliver_p-660082;2023-05-23 05:30:50
deliver_p-660084;2023-05-23 10:19:46
deliver_p-660097;2023-05-23 16:53:11
deliver_p-660098;2023-05-24 01:15:53
deliver_p-660099;2023-05-24 15:11:56
deliver_p-660100;2023-05-24 17:26:01
deliver_p-660096;2023-05-25 01:07:05
deliver_p-660101;2023-05-25 01:45:14
deliver_p-660102;2023-05-25 02:36:27
deliver_p-660103;2023-05-25 05:24:44
deliver_p-660105;2023-05-25 18:57:15
deliver_p-660104;2023-05-25 20:56:10
deliver_p-660106;2023-05-25 22:21:28
deliver_p-660108;2023-05-26 05:30:36
deliver_p-660070;2023-05-26 09:51:06
deliver_p-660109;2023-05-26 16:35:06
deliver_p-660110;2023-05-27 03:14:23
deliver_p-660111;2023-05-27 08:12:42
deliver_p-660112;2023-05-27 14:40:33
deliver_p-660113;2023-05-27 17:46:28
deliver_p-660115;2023-05-27 23:54:52
deliver_p-660114;2023-05-28 01:49:07
deliver_p-660107;2023-05-28 11:34:15
deliver_p-660116;2023-05-28 19:05:25
deliver_p-660117;2023-05-29 02:46:00
deliver_p-660119;2023-05-30 23:49:47
deliver_p-660120;2023-05-31 07:23:01
deliver_p-660121;2023-05-31 22:05:03
deliver_p-660122;2023-06-01 13:16:00
deliver_p-660124;2023-06-02 01:13:30
deliver_p-660125;2023-06-02 02:24:23
deliver_p-660126;2023-06-02 10:36:25
deliver_p-660128;2023-06-02 19:59:05
deliver_p-660127;2023-06-02 20:28:15
deliver_p-660118;2023-06-02 21:22:40
deliver_p-660129;2023-06-03 08:46:52
deliver_p-660130;2023-06-03 16:30:14
deliver_p-660132;2023-06-03 21:18:39
deliver_p-660133;2023-06-04 01:50:57
deliver_p-660134;2023-06-04 04:14:22
deliver_p-660135;2023-06-04 08:17:58
deliver_p-660136;2023-06-04 15:03:59
deliver_p-660137;2023-06-05 03:49:33
deliver_p-660138;2023-06-05 07:02:44
deliver_p-660123;2023-06-05 14:25:28
deliver_p-660131;2023-06-05 22:10:42
deliver_p-660140;2023-06-07 17:56:28
