ocel_id;ocel_time
pay_o-990003;2023-04-06 00:27:33
pay_o-990001;2023-04-06 16:55:07
pay_o-990004;2023-04-07 01:22:28
pay_o-990005;2023-04-07 04:06:47
pay_o-990002;2023-04-07 19:15:41
pay_o-990007;2023-04-08 02:13:12
pay_o-990009;2023-04-08 11:39:30
pay_o-990008;2023-04-08 19:11:04
pay_o-990006;2023-04-09 05:57:18
pay_o-990012;2023-04-10 11:33:50
pay_o-990014;2023-04-10 22:39:06
pay_o-990011;2023-04-11 16:20:03
pay_o-990010;2023-04-12 02:59:40
pay_o-990015;2023-04-12 05:21:29
pay_o-990013;2023-04-13 02:33:44
pay_o-990018;2023-04-13 13:45:23
pay_o-990017;2023-04-13 23:18:21
pay_o-990016;2023-04-14 02:55:58
pay_o-990021;2023-04-14 04:08:48
pay_o-990023;2023-04-15 09:37:36
pay_o-990027;2023-04-16 07:13:34
pay_o-990024;2023-04-16 10:08:34
pay_o-990022;2023-04-16 10:53:28
pay_o-990020;2023-04-16 14:21:48
pay_o-990026;2023-04-16 14:43:06
pay_o-990019;2023-04-16 15:30:04
pay_o-990029;2023-04-16 21:24:29
pay_o-990025;2023-04-17 15:06:58
pay_o-990028;2023-04-18 05:47:21
pay_o-990030;2023-04-19 03:22:38
pay_o-990031;2023-04-19 15:21:22
pay_o-990032;2023-04-19 15:43:18
pay_o-990033;2023-04-20 06:47:04
pay_o-990034;2023-04-21 03:55:28
pay_o-990035;2023-04-21 11:55:28
pay_o-990038;2023-04-21 21:07:56
pay_o-990036;2023-04-21 21:26:03
pay_o-990039;2023-04-22 07:14:13
pay_o-990040;2023-04-22 15:41:54
pay_o-990041;2023-04-22 17:30:55
pay_o-990037;2023-04-22 20:41:32
pay_o-990042;2023-04-23 11:40:14
pay_o-990043;2023-04-24 20:05:14
pay_o-990044;2023-04-24 23:30:24
pay_o-990045;2023-04-26 03:34:12
pay_o-990048;2023-04-27 06:20:21
pay_o-990047;2023-04-27 10:43:06
pay_o-990046;2023-04-27 16:00:23
pay_o-990050;2023-04-27 16:13:56
pay_o-990049;2023-04-28 05:01:53
pay_o-990051;2023-04-28 09:52:05
pay_o-990052;2023-04-28 15:14:26
pay_o-990053;2023-04-28 21:31:29
pay_o-990055;2023-04-29 15:34:40
pay_o-990054;2023-04-30 00:13:37
pay_o-990058;2023-04-30 17:41:38
pay_o-990056;2023-04-30 19:28:37
pay_o-990057;2023-05-01 19:40:37
