ocel_id;ocel_time
reminder_o-990001_1;2023-04-05 15:34:26
reminder_o-990002_2;2023-04-05 16:08:43
reminder_o-990006_3;2023-04-08 04:29:50
reminder_o-990010_4;2023-04-08 14:58:40
reminder_o-990011_5;2023-04-08 20:09:56
reminder_o-990011_6;2023-04-09 13:06:33
reminder_o-990010_7;2023-04-10 01:30:54
reminder_o-990013_8;2023-04-11 07:54:24
reminder_o-990020_9;2023-04-14 13:25:50
reminder_o-990022_10;2023-04-14 13:56:02
reminder_o-990019_11;2023-04-14 19:58:33
reminder_o-990019_12;2023-04-15 13:57:53
reminder_o-990025_13;2023-04-15 15:04:28
reminder_o-990037_14;2023-04-21 19:28:49
reminder_o-990044_15;2023-04-24 01:38:44
reminder_o-990063_16;2023-05-04 14:17:39
reminder_o-990091_17;2023-05-09 21:34:07
reminder_o-990090_18;2023-05-09 22:19:55
reminder_o-990093_19;2023-05-10 16:21:17
reminder_o-990097_20;2023-05-10 19:52:28
reminder_o-990096_21;2023-05-11 08:30:30
reminder_o-990102_22;2023-05-12 20:46:48
reminder_o-990107_23;2023-05-13 05:10:39
reminder_o-990127_24;2023-05-15 14:26:08
reminder_o-990131_25;2023-05-16 18:26:20
reminder_o-990135_26;2023-05-17 16:05:44
reminder_o-990151_27;2023-05-19 19:52:34
reminder_o-990152_28;2023-05-19 22:28:21
reminder_o-990135_29;2023-05-19 23:00:53
reminder_o-990167_30;2023-05-21 17:10:54
reminder_o-990152_31;2023-05-22 12:24:33
reminder_o-990164_32;2023-05-22 13:46:44
reminder_o-990161_33;2023-05-22 14:29:17
reminder_o-990135_34;2023-05-23 21:58:35
reminder_o-990168_35;2023-05-23 23:22:23
reminder_o-990179_36;2023-05-24 23:16:24
reminder_o-990178_37;2023-05-24 23:30:05
reminder_o-990182_38;2023-05-25 16:43:51
reminder_o-990164_39;2023-05-26 05:55:39
reminder_o-990180_40;2023-05-26 23:00:14
reminder_o-990190_41;2023-05-27 01:52:44
reminder_o-990187_42;2023-05-27 09:03:37
reminder_o-990196_43;2023-05-27 10:24:23
reminder_o-990186_44;2023-05-27 11:49:03
reminder_o-990181_45;2023-05-27 12:07:45
reminder_o-990168_46;2023-05-27 13:43:58
reminder_o-990192_47;2023-05-28 14:29:35
reminder_o-990197_48;2023-05-28 16:33:57
reminder_o-990190_49;2023-05-30 12:00:34
reminder_o-990189_50;2023-05-30 15:36:10
reminder_o-990221_51;2023-06-01 05:05:07
reminder_o-990236_52;2023-06-03 11:45:29
reminder_o-990201_53;2023-06-03 18:03:53
reminder_o-990232_54;2023-06-04 18:26:06
reminder_o-990180_55;2023-06-04 23:12:10
reminder_o-990192_56;2023-06-05 05:01:05
reminder_o-990214_57;2023-06-06 00:17:03
reminder_o-990234_58;2023-06-06 09:12:12
reminder_o-990244_59;2023-06-06 12:16:02
reminder_o-990242_60;2023-06-06 12:55:31
reminder_o-990226_61;2023-06-09 05:23:40
reminder_o-990272_62;2023-06-10 03:05:16
reminder_o-990287_63;2023-06-11 08:32:30
reminder_o-990248_64;2023-06-11 09:01:41
reminder_o-990239_65;2023-06-11 09:07:14
reminder_o-990273_66;2023-06-12 02:40:38
reminder_o-990261_67;2023-06-12 13:25:25
reminder_o-990270_68;2023-06-13 01:02:41
reminder_o-990244_69;2023-06-14 12:27:14
reminder_o-990276_70;2023-06-17 04:15:16
reminder_o-990303_71;2023-06-20 07:10:50
reminder_o-990270_72;2023-06-20 20:44:51
reminder_o-990328_73;2023-06-20 20:56:14
reminder_o-990320_74;2023-06-22 19:17:24
reminder_o-990321_75;2023-06-24 14:40:59
reminder_o-990332_76;2023-06-24 22:39:55
reminder_o-990337_77;2023-06-25 07:55:21
reminder_o-990333_78;2023-06-25 17:32:41
reminder_o-990340_79;2023-06-26 02:16:53
reminder_o-990353_80;2023-06-27 14:36:10
reminder_o-990377_81;2023-06-27 21:41:22
reminder_o-990349_82;2023-06-28 17:18:29
reminder_o-990360_83;2023-06-29 00:50:34
reminder_o-990355_84;2023-06-30 11:10:15
reminder_o-990371_85;2023-07-01 20:26:09
reminder_o-990353_86;2023-07-03 13:13:14
reminder_o-990406_87;2023-07-05 06:16:21
reminder_o-990421_88;2023-07-06 18:25:46
reminder_o-990360_89;2023-07-07 06:57:20
reminder_o-990410_90;2023-07-09 17:14:07
reminder_o-990427_91;2023-07-10 22:43:07
reminder_o-990452_92;2023-07-11 11:21:12
reminder_o-990460_93;2023-07-11 23:09:45
reminder_o-990482_94;2023-07-17 04:43:00
reminder_o-990476_95;2023-07-17 05:44:00
reminder_o-990492_96;2023-07-17 06:28:42
reminder_o-990452_97;2023-07-17 08:18:48
reminder_o-990480_98;2023-07-18 00:42:30
reminder_o-990459_99;2023-07-18 04:28:34
reminder_o-990444_100;2023-07-18 10:05:58
reminder_o-990464_101;2023-07-18 18:49:46
reminder_o-990486_102;2023-07-19 17:04:53
reminder_o-990466_103;2023-07-19 17:32:03
reminder_o-990467_104;2023-07-19 18:07:50
reminder_o-990462_105;2023-07-19 18:19:21
reminder_o-990477_106;2023-07-19 18:22:50
reminder_o-990474_107;2023-07-20 18:09:35
reminder_o-990527_108;2023-07-22 12:42:38
reminder_o-990530_109;2023-07-22 22:34:38
reminder_o-990480_110;2023-07-24 15:04:40
reminder_o-990513_111;2023-07-24 19:01:20
reminder_o-990528_112;2023-07-26 00:40:44
reminder_o-990516_113;2023-07-26 04:43:44
reminder_o-990486_114;2023-07-26 04:53:13
reminder_o-990536_115;2023-07-26 20:18:52
reminder_o-990532_116;2023-07-27 23:38:09
reminder_o-990543_117;2023-07-28 18:55:22
reminder_o-990527_118;2023-07-29 19:41:18
reminder_o-990529_119;2023-07-30 01:34:24
reminder_o-990547_120;2023-07-31 05:30:25
reminder_o-990486_121;2023-07-31 12:38:13
reminder_o-990563_122;2023-07-31 12:38:14
reminder_o-990555_123;2023-07-31 21:08:01
reminder_o-990548_124;2023-07-31 23:02:03
reminder_o-990556_125;2023-07-31 23:04:30
reminder_o-990577_126;2023-08-01 03:23:58
reminder_o-990584_127;2023-08-01 23:15:41
reminder_o-990560_128;2023-08-01 23:32:02
reminder_o-990566_129;2023-08-04 09:34:51
reminder_o-990618_130;2023-08-06 21:44:44
reminder_o-990543_131;2023-08-07 16:46:44
reminder_o-990589_132;2023-08-07 16:57:58
reminder_o-990597_133;2023-08-08 02:03:04
reminder_o-990529_134;2023-08-08 23:55:24
reminder_o-990605_135;2023-08-09 05:03:23
reminder_o-990592_136;2023-08-09 13:18:07
reminder_o-990486_137;2023-08-10 12:21:49
reminder_o-990555_138;2023-08-11 13:22:35
reminder_o-990617_139;2023-08-11 16:16:34
reminder_o-990628_140;2023-08-12 05:04:39
reminder_o-990547_141;2023-08-13 01:35:31
