ocel_id;ocel_time
place_o-990001;2023-04-03 12:08:18
place_o-990002;2023-04-03 16:36:55
place_o-990003;2023-04-03 23:31:23
place_o-990004;2023-04-04 12:30:50
place_o-990005;2023-04-04 17:21:59
place_o-990006;2023-04-05 06:24:56
place_o-990007;2023-04-05 13:05:45
place_o-990008;2023-04-05 17:31:49
place_o-990009;2023-04-06 08:13:07
place_o-990010;2023-04-06 13:09:59
place_o-990011;2023-04-06 17:40:17
place_o-990012;2023-04-07 08:53:28
place_o-990013;2023-04-07 14:10:31
place_o-990014;2023-04-07 18:41:21
place_o-990015;2023-04-09 14:15:59
place_o-990016;2023-04-10 11:37:17
place_o-990017;2023-04-10 16:34:53
place_o-990018;2023-04-10 23:25:17
place_o-990019;2023-04-11 12:24:07
place_o-990020;2023-04-11 17:08:33
place_o-990021;2023-04-12 03:57:11
place_o-990022;2023-04-12 13:23:13
place_o-990023;2023-04-12 18:06:45
place_o-990024;2023-04-13 09:09:49
place_o-990025;2023-04-13 13:39:56
place_o-990026;2023-04-13 18:40:11
place_o-990027;2023-04-14 10:16:41
place_o-990028;2023-04-14 14:53:41
place_o-990029;2023-04-14 20:21:40
place_o-990030;2023-04-17 02:45:08
place_o-990031;2023-04-17 13:03:58
place_o-990032;2023-04-17 17:28:15
place_o-990033;2023-04-18 07:33:53
place_o-990034;2023-04-18 13:21:35
place_o-990035;2023-04-18 18:03:28
place_o-990036;2023-04-19 09:03:02
place_o-990037;2023-04-19 13:26:23
place_o-990038;2023-04-19 18:13:05
place_o-990039;2023-04-20 09:22:28
place_o-990040;2023-04-20 14:05:15
place_o-990041;2023-04-20 18:30:49
place_o-990042;2023-04-21 09:57:57
place_o-990043;2023-04-21 15:16:13
place_o-990044;2023-04-21 20:29:16
place_o-990045;2023-04-24 03:30:44
place_o-990046;2023-04-24 12:54:07
place_o-990047;2023-04-24 18:08:33
place_o-990048;2023-04-25 09:13:25
place_o-990049;2023-04-25 13:47:09
place_o-990050;2023-04-25 18:54:36
place_o-990051;2023-04-26 10:45:31
place_o-990052;2023-04-26 15:51:21
place_o-990053;2023-04-26 22:14:41
place_o-990054;2023-04-27 11:48:20
place_o-990055;2023-04-27 16:56:59
place_o-990056;2023-04-28 02:49:57
place_o-990057;2023-04-28 13:09:15
place_o-990058;2023-04-28 17:38:49
place_o-990059;2023-04-29 17:12:07
place_o-990060;2023-05-01 08:01:41
place_o-990061;2023-05-01 09:50:37
place_o-990062;2023-05-01 11:59:20
place_o-990063;2023-05-01 14:16:46
place_o-990064;2023-05-01 15:51:37
place_o-990065;2023-05-01 18:01:20
place_o-990066;2023-05-01 19:40:11
place_o-990067;2023-05-01 22:56:34
place_o-990068;2023-05-02 09:41:19
place_o-990069;2023-05-02 11:40:44
place_o-990070;2023-05-02 13:39:33
place_o-990071;2023-05-02 15:37:12
place_o-990072;2023-05-02 17:32:29
place_o-990073;2023-05-02 19:23:04
place_o-990074;2023-05-02 22:22:19
place_o-990075;2023-05-03 08:32:50
place_o-990076;2023-05-03 10:37:20
place_o-990077;2023-05-03 12:32:46
place_o-990078;2023-05-03 14:23:38
place_o-990079;2023-05-03 16:05:21
place_o-990080;2023-05-03 17:28:48
place_o-990081;2023-05-03 19:15:41
