ocel_id;ocel_time
reorder_i-880009;2023-04-05 22:39:37
reorder_i-880015;2023-04-06 01:10:13
reorder_i-880023;2023-04-06 11:57:21
reorder_i-880029;2023-04-07 07:14:25
reorder_i-880044;2023-04-08 08:08:40
reorder_i-880039;2023-04-08 22:48:07
reorder_i-880043;2023-04-09 08:18:52
reorder_i-880053;2023-04-10 23:47:27
reorder_i-880060;2023-04-11 20:28:07
reorder_i-880068;2023-04-12 22:51:10
reorder_i-880072;2023-04-13 01:34:22
reorder_i-880084;2023-04-13 07:32:17
reorder_i-880080;2023-04-13 12:44:15
reorder_i-880077;2023-04-13 13:48:45
reorder_i-880074;2023-04-13 22:27:34
reorder_i-880073;2023-04-14 02:41:49
reorder_i-880085;2023-04-14 05:08:06
reorder_i-880098;2023-04-14 18:19:39
reorder_i-880099;2023-04-14 19:57:47
reorder_i-880090;2023-04-14 21:19:13
reorder_i-880128;2023-04-19 08:38:51
reorder_i-880126;2023-04-19 09:18:03
reorder_i-880127;2023-04-19 09:19:28
reorder_i-880135;2023-04-20 05:18:02
reorder_i-880146;2023-04-20 06:00:45
reorder_i-880145;2023-04-20 06:19:23
reorder_i-880142;2023-04-20 08:56:13
reorder_i-880164;2023-04-22 02:59:51
reorder_i-880159;2023-04-22 04:12:53
reorder_i-880169;2023-04-22 08:34:16
reorder_i-880171;2023-04-22 13:11:42
reorder_i-880176;2023-04-25 06:29:56
reorder_i-880184;2023-04-25 21:40:50
reorder_i-880194;2023-04-26 06:56:11
reorder_i-880191;2023-04-26 07:44:39
reorder_i-880190;2023-04-26 19:08:22
reorder_i-880197;2023-04-26 23:17:55
reorder_i-880205;2023-04-27 10:33:23
reorder_i-880199;2023-04-27 16:17:57
reorder_i-880212;2023-04-28 06:17:28
reorder_i-880211;2023-04-28 12:57:06
reorder_i-880214;2023-04-28 17:48:51
reorder_i-880218;2023-04-29 02:14:09
reorder_i-880223;2023-04-29 06:09:34
reorder_i-880251;2023-05-02 04:30:11
reorder_i-880232;2023-05-02 04:58:13
reorder_i-880239;2023-05-02 05:21:20
reorder_i-880266;2023-05-02 10:54:27
reorder_i-880258;2023-05-02 12:08:13
reorder_i-880259;2023-05-02 13:33:35
reorder_i-880268;2023-05-02 22:41:44
reorder_i-880270;2023-05-02 22:50:04
reorder_i-880276;2023-05-03 00:01:57
reorder_i-880285;2023-05-03 05:12:01
reorder_i-880281;2023-05-03 07:54:21
reorder_i-880280;2023-05-03 08:29:19
reorder_i-880293;2023-05-03 22:46:25
