ocel_id;ocel_time
pick_i-880022;2023-04-05 06:44:26
pick_i-880025;2023-04-05 06:47:26
pick_i-880002;2023-04-05 06:49:08
pick_i-880016;2023-04-05 07:00:08
pick_i-880027;2023-04-05 07:11:46
pick_i-880029;2023-04-05 07:18:00
pick_i-880014;2023-04-05 07:24:50
pick_i-880015;2023-04-05 07:27:02
pick_i-880008;2023-04-05 07:29:36
pick_i-880001;2023-04-05 07:34:16
pick_i-880021;2023-04-05 07:38:52
pick_i-880017;2023-04-05 07:44:10
pick_i-880018;2023-04-05 07:45:36
pick_i-880013;2023-04-05 07:45:52
pick_i-880004;2023-04-05 07:52:34
pick_i-880028;2023-04-05 07:55:08
pick_i-880010;2023-04-05 08:01:24
pick_i-880019;2023-04-05 08:06:16
pick_i-880003;2023-04-05 08:20:20
pick_i-880023;2023-04-05 08:25:54
pick_i-880026;2023-04-05 08:26:58
pick_i-880024;2023-04-05 08:27:46
pick_i-880036;2023-04-05 10:19:20
pick_i-880032;2023-04-05 10:58:26
pick_i-880035;2023-04-05 11:15:20
pick_i-880034;2023-04-05 11:30:08
pick_i-880031;2023-04-05 11:44:24
pick_i-880041;2023-04-05 17:29:35
pick_i-880039;2023-04-05 17:31:57
pick_i-880040;2023-04-05 17:36:57
pick_i-880037;2023-04-05 18:08:25
pick_i-880043;2023-04-05 21:25:35
pick_i-880042;2023-04-05 22:13:51
pick_i-880045;2023-04-05 22:21:29
pick_i-880044;2023-04-05 22:22:27
pick_i-880009;2023-04-06 06:24:46
pick_i-880012;2023-04-06 06:48:47
pick_i-880033;2023-04-06 08:47:36
pick_i-880006;2023-04-06 09:50:34
pick_i-880011;2023-04-06 10:18:08
pick_i-880046;2023-04-06 19:07:16
pick_i-880047;2023-04-06 19:28:02
pick_i-880007;2023-04-06 20:52:52
pick_i-880048;2023-04-07 09:08:53
pick_i-880049;2023-04-07 11:26:41
pick_i-880030;2023-04-07 11:58:08
pick_i-880050;2023-04-07 17:08:42
pick_i-880052;2023-04-07 19:31:12
pick_i-880020;2023-04-07 20:05:34
pick_i-880053;2023-04-07 20:31:50
pick_i-880038;2023-04-07 20:49:36
pick_i-880005;2023-04-08 00:14:59
pick_i-880055;2023-04-08 03:57:47
pick_i-880051;2023-04-09 04:07:12
pick_i-880054;2023-04-09 09:34:36
pick_i-880059;2023-04-09 18:05:39
pick_i-880058;2023-04-09 18:07:41
pick_i-880057;2023-04-09 18:26:27
pick_i-880056;2023-04-09 19:01:01
pick_i-880061;2023-04-10 16:15:47
pick_i-880060;2023-04-10 16:28:07
pick_i-880062;2023-04-10 21:28:11
pick_i-880067;2023-04-11 01:35:38
pick_i-880066;2023-04-11 01:57:12
pick_i-880063;2023-04-11 08:26:34
pick_i-880064;2023-04-11 15:17:53
pick_i-880069;2023-04-11 16:22:43
pick_i-880071;2023-04-11 17:11:37
pick_i-880068;2023-04-11 17:34:03
pick_i-880073;2023-04-11 23:13:18
pick_i-880072;2023-04-12 00:39:09
pick_i-880065;2023-04-12 05:42:42
pick_i-880076;2023-04-12 07:35:17
pick_i-880075;2023-04-12 07:49:37
pick_i-880078;2023-04-12 11:01:29
pick_i-880079;2023-04-12 17:23:45
pick_i-880081;2023-04-12 17:49:33
pick_i-880083;2023-04-12 18:12:01
pick_i-880080;2023-04-12 18:23:11
pick_i-880087;2023-04-12 21:58:11
pick_i-880085;2023-04-12 22:37:39
pick_i-880086;2023-04-12 23:15:21
pick_i-880070;2023-04-12 23:30:04
pick_i-880092;2023-04-13 13:16:07
pick_i-880090;2023-04-13 13:48:39
pick_i-880089;2023-04-13 14:13:11
pick_i-880091;2023-04-13 14:28:39
pick_i-880077;2023-04-13 14:30:28
pick_i-880093;2023-04-13 15:57:28
pick_i-880094;2023-04-13 17:35:50
pick_i-880095;2023-04-13 18:27:26
pick_i-880098;2023-04-13 20:29:44
pick_i-880097;2023-04-13 21:04:13
pick_i-880099;2023-04-13 21:13:38
pick_i-880084;2023-04-13 22:34:41
pick_i-880074;2023-04-14 00:13:35
pick_i-880082;2023-04-14 00:51:07
pick_i-880101;2023-04-14 12:35:03
pick_i-880102;2023-04-14 14:23:29
pick_i-880088;2023-04-14 16:44:05
pick_i-880096;2023-04-14 16:45:22
pick_i-880108;2023-04-14 18:33:45
pick_i-880104;2023-04-14 18:43:47
pick_i-880109;2023-04-14 18:55:13
pick_i-880103;2023-04-14 19:36:51
pick_i-880107;2023-04-14 19:58:53
pick_i-880106;2023-04-14 20:07:35
pick_i-880110;2023-04-15 00:09:06
pick_i-880112;2023-04-15 01:32:54
pick_i-880113;2023-04-15 01:37:28
pick_i-880111;2023-04-15 01:41:18
pick_i-880100;2023-04-15 10:21:06
pick_i-880105;2023-04-16 07:26:48
pick_i-880115;2023-04-17 04:42:07
pick_i-880116;2023-04-17 05:14:14
pick_i-880117;2023-04-17 05:18:03
pick_i-880114;2023-04-17 07:07:10
pick_i-880118;2023-04-17 15:01:08
pick_i-880122;2023-04-17 15:38:08
pick_i-880119;2023-04-17 17:35:24
pick_i-880120;2023-04-17 18:03:14
pick_i-880123;2023-04-17 19:22:38
pick_i-880124;2023-04-17 19:31:07
pick_i-880125;2023-04-17 19:52:47
pick_i-880126;2023-04-17 20:00:04
pick_i-880127;2023-04-17 21:29:51
pick_i-880121;2023-04-18 09:13:40
pick_i-880135;2023-04-18 09:36:07
pick_i-880129;2023-04-18 09:37:05
pick_i-880136;2023-04-18 09:46:00
pick_i-880132;2023-04-18 11:35:45
pick_i-880128;2023-04-18 12:15:09
pick_i-880133;2023-04-18 12:41:55
pick_i-880137;2023-04-18 15:18:09
pick_i-880140;2023-04-18 15:35:34
pick_i-880144;2023-04-18 15:48:53
pick_i-880142;2023-04-18 17:02:31
pick_i-880141;2023-04-18 17:03:37
pick_i-880139;2023-04-18 17:35:33
pick_i-880143;2023-04-18 17:36:43
pick_i-880138;2023-04-18 17:45:35
pick_i-880150;2023-04-18 19:58:21
pick_i-880146;2023-04-18 20:15:42
pick_i-880149;2023-04-18 20:40:38
pick_i-880147;2023-04-18 22:15:16
pick_i-880148;2023-04-18 22:37:34
pick_i-880145;2023-04-18 23:11:04
pick_i-880134;2023-04-19 04:39:29
pick_i-880131;2023-04-19 05:07:40
pick_i-880130;2023-04-19 08:17:34
pick_i-880152;2023-04-19 12:49:36
pick_i-880154;2023-04-19 13:47:56
pick_i-880153;2023-04-19 13:56:36
pick_i-880160;2023-04-19 17:08:35
pick_i-880156;2023-04-19 17:56:57
pick_i-880158;2023-04-19 18:03:49
pick_i-880161;2023-04-19 18:05:59
pick_i-880155;2023-04-19 18:28:11
pick_i-880165;2023-04-19 22:17:37
pick_i-880164;2023-04-19 22:19:51
pick_i-880163;2023-04-19 22:54:35
pick_i-880162;2023-04-20 01:02:17
pick_i-880170;2023-04-20 11:11:25
pick_i-880173;2023-04-20 11:39:16
pick_i-880172;2023-04-20 14:48:40
pick_i-880171;2023-04-20 16:09:43
pick_i-880168;2023-04-20 16:31:52
pick_i-880169;2023-04-20 17:01:10
pick_i-880157;2023-04-20 17:38:12
pick_i-880174;2023-04-20 19:49:48
pick_i-880179;2023-04-20 20:29:32
pick_i-880175;2023-04-20 21:56:18
pick_i-880176;2023-04-21 00:29:25
pick_i-880180;2023-04-21 01:19:43
pick_i-880151;2023-04-21 06:07:34
pick_i-880182;2023-04-21 14:06:37
pick_i-880181;2023-04-21 14:30:43
pick_i-880159;2023-04-21 16:00:53
pick_i-880183;2023-04-21 16:27:06
pick_i-880184;2023-04-21 19:49:51
pick_i-880185;2023-04-21 19:52:39
pick_i-880177;2023-04-21 22:20:11
pick_i-880186;2023-04-22 00:13:14
pick_i-880187;2023-04-22 00:26:54
pick_i-880166;2023-04-22 01:47:43
pick_i-880167;2023-04-22 08:55:20
pick_i-880178;2023-04-22 11:31:12
pick_i-880190;2023-04-24 12:53:44
pick_i-880191;2023-04-24 15:24:49
pick_i-880195;2023-04-24 20:23:25
pick_i-880196;2023-04-24 20:24:22
pick_i-880193;2023-04-24 20:31:13
pick_i-880192;2023-04-24 20:45:37
pick_i-880194;2023-04-25 01:09:39
pick_i-880189;2023-04-25 11:01:54
pick_i-880197;2023-04-25 11:28:24
pick_i-880198;2023-04-25 16:26:07
pick_i-880199;2023-04-25 16:54:13
pick_i-880201;2023-04-25 17:24:17
pick_i-880202;2023-04-25 20:53:08
pick_i-880209;2023-04-25 20:57:57
pick_i-880206;2023-04-25 21:01:02
pick_i-880208;2023-04-25 21:21:28
pick_i-880188;2023-04-25 22:37:19
pick_i-880203;2023-04-25 22:55:04
pick_i-880204;2023-04-25 23:32:42
pick_i-880205;2023-04-25 23:45:04
pick_i-880200;2023-04-26 11:59:56
pick_i-880215;2023-04-26 12:58:47
pick_i-880213;2023-04-26 13:09:02
pick_i-880210;2023-04-26 14:19:07
pick_i-880214;2023-04-26 16:06:25
pick_i-880211;2023-04-26 17:50:58
pick_i-880218;2023-04-26 18:22:47
pick_i-880216;2023-04-26 18:25:47
pick_i-880219;2023-04-27 03:17:39
pick_i-880207;2023-04-27 06:55:56
pick_i-880221;2023-04-27 14:16:49
pick_i-880217;2023-04-27 18:12:20
pick_i-880224;2023-04-27 18:54:03
pick_i-880226;2023-04-27 19:01:19
pick_i-880225;2023-04-27 20:34:29
pick_i-880227;2023-04-27 20:56:09
pick_i-880212;2023-04-27 23:00:25
pick_i-880234;2023-04-28 04:47:11
pick_i-880233;2023-04-28 06:31:49
pick_i-880232;2023-04-28 06:43:13
pick_i-880231;2023-04-28 06:46:53
pick_i-880228;2023-04-28 06:50:49
pick_i-880229;2023-04-28 07:40:53
pick_i-880239;2023-04-28 07:47:21
pick_i-880237;2023-04-28 08:00:07
pick_i-880241;2023-04-28 17:51:01
pick_i-880242;2023-04-28 17:54:01
pick_i-880223;2023-04-28 19:13:08
pick_i-880243;2023-04-28 19:50:59
pick_i-880220;2023-04-29 03:41:11
pick_i-880238;2023-04-29 05:03:17
pick_i-880230;2023-04-29 05:10:11
pick_i-880222;2023-04-29 07:17:47
pick_i-880236;2023-04-29 07:37:33
pick_i-880240;2023-04-29 08:31:08
pick_i-880244;2023-04-29 11:28:08
pick_i-880235;2023-04-29 11:53:55
pick_i-880246;2023-04-29 21:06:01
pick_i-880248;2023-04-29 22:15:07
pick_i-880247;2023-04-29 22:17:31
pick_i-880245;2023-04-29 22:26:53
pick_i-880250;2023-05-01 10:27:19
pick_i-880249;2023-05-01 10:40:21
pick_i-880253;2023-05-01 11:47:27
pick_i-880256;2023-05-01 11:48:04
pick_i-880257;2023-05-01 11:56:15
pick_i-880255;2023-05-01 11:59:13
pick_i-880251;2023-05-01 12:27:29
pick_i-880252;2023-05-01 12:29:41
pick_i-880259;2023-05-01 13:55:49
pick_i-880261;2023-05-01 14:08:13
pick_i-880258;2023-05-01 14:21:07
pick_i-880262;2023-05-01 16:36:35
pick_i-880263;2023-05-01 16:55:35
pick_i-880269;2023-05-01 17:47:53
pick_i-880268;2023-05-01 18:00:10
pick_i-880266;2023-05-01 18:24:00
pick_i-880265;2023-05-01 19:50:29
pick_i-880270;2023-05-01 19:50:33
pick_i-880271;2023-05-01 20:33:24
pick_i-880264;2023-05-01 20:35:11
pick_i-880274;2023-05-01 21:41:02
pick_i-880275;2023-05-01 21:47:49
pick_i-880272;2023-05-01 23:49:31
pick_i-880273;2023-05-01 23:53:25
pick_i-880278;2023-05-02 01:29:49
pick_i-880254;2023-05-02 01:43:33
pick_i-880277;2023-05-02 03:27:28
pick_i-880260;2023-05-02 09:52:12
pick_i-880288;2023-05-02 11:35:26
pick_i-880284;2023-05-02 11:55:45
pick_i-880290;2023-05-02 12:04:36
pick_i-880283;2023-05-02 12:18:11
pick_i-880282;2023-05-02 13:54:55
pick_i-880279;2023-05-02 13:57:25
pick_i-880281;2023-05-02 14:00:45
