ocel_source_id;ocel_target_id;ocel_qualifier
Golden Fleece Textiles S.A.R.L.;Mara Nitschke;primarySalesRep
Golden Fleece Textiles S.A.R.L.;Jan Niklas Adams;secondarySalesRep
Iberian Sun Solaridades SA;Christine von Dobbert;primarySalesRep
Iberian Sun Solaridades SA;Mara Nitschke;secondarySalesRep
Nordica Systems GmbH;Wil van der Aalst;primarySalesRep
Nordica Systems GmbH;Istvan Koren;secondarySalesRep
Balkan Minerals d.o.o.;Christine von Dobbert;primarySalesRep
Balkan Minerals d.o.o.;Mara Nitschke;secondarySalesRep
Vesta Fashion House GmbH;Jan Niklas Adams;primarySalesRep
Vesta Fashion House GmbH;Istvan Koren;secondarySalesRep
Danube Pharmaceuticals BV;Christine von Dobbert;primarySalesRep
Danube Pharmaceuticals BV;Mara Nitschke;secondarySalesRep
AlpenTech Innovations AG;Wil van der Aalst;primarySalesRep
AlpenTech Innovations AG;Istvan Koren;secondarySalesRep
Mediterranea Luxury Cruises S.p.A.;Wil van der Aalst;primarySalesRep
Mediterranea Luxury Cruises S.p.A.;Christine von Dobbert;secondarySalesRep
Eastern Oak Insurance Zrt.;Mara Nitschke;primarySalesRep
Eastern Oak Insurance Zrt.;Istvan Koren;secondarySalesRep
SwissPeak Timepieces AG;Christine von Dobbert;primarySalesRep
SwissPeak Timepieces AG;Jan Niklas Adams;secondarySalesRep
Celtica Green Farms Oy;Istvan Koren;primarySalesRep
Celtica Green Farms Oy;Mara Nitschke;secondarySalesRep
Baltic Wave Energies Ltd.;Wil van der Aalst;primarySalesRep
Baltic Wave Energies Ltd.;Christine von Dobbert;secondarySalesRep
Pantheon Art Gallery Kft.;Istvan Koren;primarySalesRep
Pantheon Art Gallery Kft.;Christine von Dobbert;secondarySalesRep
Carpathian Financial Services plc;Jan Niklas Adams;primarySalesRep
Carpathian Financial Services plc;Istvan Koren;secondarySalesRep
Riviera Robotics SAS;Istvan Koren;primarySalesRep
Riviera Robotics SAS;Christine von Dobbert;secondarySalesRep
o-990001;i-880001;comprises
o-990001;i-880002;comprises
o-990001;i-880003;comprises
o-990001;i-880004;comprises
o-990001;i-880005;comprises
o-990001;i-880006;comprises
o-990001;i-880007;comprises
o-990001;i-880008;comprises
o-990001;i-880009;comprises
Riviera Robotics SAS;o-990001;places
i-880001;iPad mini;is a
i-880002;iPad Air;is a
i-880003;iPhone X;is a
i-880004;Echo;is a
i-880005;iPad Air;is a
i-880006;Fire Stick;is a
i-880007;Echo;is a
i-880008;iPhone X;is a
i-880009;MacBook Pro;is a
o-990002;i-880010;comprises
o-990002;i-880011;comprises
o-990002;i-880012;comprises
o-990002;i-880013;comprises
o-990002;i-880014;comprises
o-990002;i-880015;comprises
o-990002;i-880016;comprises
o-990002;i-880017;comprises
o-990002;i-880018;comprises
o-990002;i-880019;comprises
o-990002;i-880020;comprises
o-990002;i-880021;comprises
Danube Pharmaceuticals BV;o-990002;places
i-880010;Echo;is a
i-880011;iPhone X;is a
i-880012;MacBook Air;is a
i-880013;iPhone X;is a
i-880014;iPhone 11 Pro;is a
i-880015;MacBook Air;is a
i-880016;Echo Plus;is a
i-880017;Kindle Paperwhite;is a
i-880018;Echo Studio;is a
i-880019;Echo Studio;is a
i-880020;Fire Stick 4K;is a
i-880021;Echo Plus;is a
o-990003;i-880022;comprises
o-990003;i-880023;comprises
Golden Fleece Textiles S.A.R.L.;o-990003;places
i-880022;iPad;is a
i-880023;Kindle;is a
o-990004;i-880024;comprises
o-990004;i-880025;comprises
o-990004;i-880026;comprises
Danube Pharmaceuticals BV;o-990004;places
i-880024;Echo Show 8;is a
i-880025;Kindle;is a
i-880026;iPad Pro;is a
o-990005;i-880027;comprises
o-990005;i-880028;comprises
o-990005;i-880029;comprises
Pantheon Art Gallery Kft.;o-990005;places
i-880027;Echo Show 8;is a
i-880028;iPhone 11;is a
i-880029;Echo;is a
o-990006;i-880030;comprises
o-990006;i-880031;comprises
o-990006;i-880032;comprises
o-990006;i-880033;comprises
o-990006;i-880034;comprises
o-990006;i-880035;comprises
o-990006;i-880036;comprises
Vesta Fashion House GmbH;o-990006;places
i-880030;Echo;is a
i-880031;MacBook Pro;is a
i-880032;MacBook Air;is a
i-880033;Echo Studio;is a
i-880034;iPad;is a
i-880035;Kindle;is a
i-880036;MacBook Pro;is a
o-990007;i-880037;comprises
o-990007;i-880038;comprises
o-990007;i-880039;comprises
o-990007;i-880040;comprises
o-990007;i-880041;comprises
Vesta Fashion House GmbH;o-990007;places
i-880037;iPhone 11;is a
i-880038;iPad mini;is a
i-880039;iPad Pro;is a
i-880040;Kindle;is a
i-880041;iPad mini;is a
o-990008;i-880042;comprises
