0,1,2,3
place_o-990001,PlaceOrder,2023-04-03 12:08:18,1
confirm_o-990001,ConfirmOrder,2023-04-04 22:51:38,1
pick_i-880001,PickItem,2023-04-05 03:18:18,1
pick_i-880002,PickItem,2023-04-05 03:18:18,1
pick_i-880003,PickItem,2023-04-05 03:18:18,1
reminder_o-990001_1,PaymentReminder,2023-04-05 15:31:38,1
pay_o-990001,PayOrder,2023-04-06 15:08:18,1
create_p-660003,CreatePackage,2023-04-11 14:37:27,1
send_p-660003,SendPackage,2023-04-11 19:37:27,1
deliver_p-660003,PackageDelivered,2023-04-13 04:57:27,1
place_o-990002,PlaceOrder,2023-04-03 16:36:55,2
pick_i-880004,PickItem,2023-04-05 03:18:18,2
confirm_o-990002,ConfirmOrder,2023-04-05 03:20:15,2
pay_o-990002,PayOrder,2023-04-05 17:13:35,2
create_p-660005,CreatePackage,2023-04-11 19:21:53,2
send_p-660005,SendPackage,2023-04-12 00:21:53,2
deliver_p-660005,PackageDelivered,2023-04-13 09:41:53,2
place_o-990003,PlaceOrder,2023-04-03 23:31:23,3
pick_i-880005,PickItem,2023-04-05 03:18:18,3
pick_i-880006,PickItem,2023-04-05 03:18:18,3
pick_i-880007,PickItem,2023-04-05 03:18:18,3
pick_i-880008,PickItem,2023-04-05 03:18:18,3
confirm_o-990003,ConfirmOrder,2023-04-05 10:14:43,3
pay_o-990003,PayOrder,2023-04-06 00:08:03,3
create_p-660002,CreatePackage,2023-04-10 13:50:37,3
send_p-660002,SendPackage,2023-04-10 18:50:37,3
deliver_p-660002,PackageDelivered,2023-04-12 04:10:37,3
place_o-990004,PlaceOrder,2023-04-04 12:30:50,4
out_of_stock_i-880009,ItemOutOfStock,2023-04-05 12:44:58,4
confirm_o-990004,ConfirmOrder,2023-04-05 23:14:10,4
reorder_i-880009,ReorderItem,2023-04-06 05:24:58,4
pick_i-880009,PickItem,2023-04-06 08:44:58,4
reminder_o-990004_2,PaymentReminder,2023-04-07 08:34:10,4
pay_o-990004,PayOrder,2023-04-08 08:10:50,4
create_p-660008,CreatePackage,2023-04-14 22:35:00,4
send_p-660008,SendPackage,2023-04-15 03:35:00,4
fail_p-660008_3,FailedDelivery,2023-04-16 21:15:00,4
deliver_p-660008,PackageDelivered,2023-04-18 14:55:00,4
place_o-990005,PlaceOrder,2023-04-04 17:21:59,5
pick_i-880010,PickItem,2023-04-05 03:18:18,5
pick_i-880011,PickItem,2023-04-05 03:18:18,5
pick_i-880012,PickItem,2023-04-05 03:18:18,5
pick_i-880013,PickItem,2023-04-05 03:18:18,5
pick_i-880014,PickItem,2023-04-05 03:18:18,5
out_of_stock_i-880015,ItemOutOfStock,2023-04-05 12:44:58,5
confirm_o-990005,ConfirmOrder,2023-04-06 04:05:19,5
reorder_i-880015,ReorderItem,2023-04-06 05:24:58,5
pick_i-880015,PickItem,2023-04-06 12:04:58,5
pay_o-990005,PayOrder,2023-04-06 17:58:39,5
create_p-660001,CreatePackage,2023-04-08 01:00:00,5
send_p-660001,SendPackage,2023-04-08 06:00:00,5
fail_p-660001_1,FailedDelivery,2023-04-09 23:40:00,5
deliver_p-660001,PackageDelivered,2023-04-11 17:20:00,5
place_o-990006,PlaceOrder,2023-04-05 06:24:56,6
pick_i-880016,PickItem,2023-04-05 13:04:56,6
pick_i-880017,PickItem,2023-04-05 13:04:56,6
confirm_o-990006,ConfirmOrder,2023-04-06 17:08:16,6
pay_o-990006,PayOrder,2023-04-07 07:01:36,6
create_p-660004,CreatePackage,2023-04-11 19:21:53,6
send_p-660004,SendPackage,2023-04-12 00:21:53,6
fail_p-660004_2,FailedDelivery,2023-04-13 18:01:53,6
deliver_p-660004,PackageDelivered,2023-04-15 11:41:53,6
place_o-990007,PlaceOrder,2023-04-05 13:05:45,7
pick_i-880018,PickItem,2023-04-05 19:45:45,7
pick_i-880020,PickItem,2023-04-05 19:45:45,7
pick_i-880021,PickItem,2023-04-05 19:45:45,7
pick_i-880022,PickItem,2023-04-05 19:45:45,7
out_of_stock_i-880019,ItemOutOfStock,2023-04-06 09:55:45,7
reorder_i-880019,ReorderItem,2023-04-06 21:02:25,7
confirm_o-990007,ConfirmOrder,2023-04-06 23:49:05,7
pick_i-880019,PickItem,2023-04-07 03:42:25,7
pay_o-990007,PayOrder,2023-04-07 13:42:25,7
create_p-660006,CreatePackage,2023-04-12 08:23:51,7
send_p-660006,SendPackage,2023-04-12 13:23:51,7
deliver_p-660006,PackageDelivered,2023-04-13 22:43:51,7
place_o-990008,PlaceOrder,2023-04-05 17:31:49,8
pick_i-880023,PickItem,2023-04-05 21:58:29,8
pick_i-880024,PickItem,2023-04-05 21:58:29,8
confirm_o-990008,ConfirmOrder,2023-04-07 04:15:09,8
pay_o-990008,PayOrder,2023-04-08 08:01:49,8
create_p-660007,CreatePackage,2023-04-13 01:00:00,8
send_p-660007,SendPackage,2023-04-13 06:00:00,8
deliver_p-660007,PackageDelivered,2023-04-14 15:20:00,8
place_o-990009,PlaceOrder,2023-04-06 08:13:07,9
pick_i-880025,PickItem,2023-04-06 12:39:47,9
pick_i-880026,PickItem,2023-04-06 12:39:47,9
pick_i-880027,PickItem,2023-04-06 12:39:47,9
pick_i-880028,PickItem,2023-04-06 12:39:47,9
pick_i-880029,PickItem,2023-04-06 12:39:47,9
pick_i-880030,PickItem,2023-04-06 12:39:47,9
pick_i-880031,PickItem,2023-04-06 12:39:47,9
confirm_o-990009,ConfirmOrder,2023-04-07 18:56:27,9
pay_o-990009,PayOrder,2023-04-08 22:43:07,9
create_p-660002,CreatePackage,2023-04-10 13:50:37,9
send_p-660002,SendPackage,2023-04-10 18:50:37,9
deliver_p-660002,PackageDelivered,2023-04-12 04:10:37,9
place_o-990010,PlaceOrder,2023-04-06 13:09:59,10
pick_i-880032,PickItem,2023-04-06 17:36:39,10
pick_i-880033,PickItem,2023-04-06 17:36:39,10
pick_i-880035,PickItem,2023-04-06 17:36:39,10
out_of_stock_i-880034,ItemOutOfStock,2023-04-07 03:03:19,10
reorder_i-880034,ReorderItem,2023-04-07 08:36:39,10
pick_i-880034,PickItem,2023-04-07 15:16:39,10
confirm_o-990010,ConfirmOrder,2023-04-07 23:53:19,10
reminder_o-990010_3,PaymentReminder,2023-04-08 16:33:19,10
pay_o-990010,PayOrder,2023-04-10 15:46:39,10
create_p-660009,CreatePackage,2023-04-18 01:00:00,10
send_p-660009,SendPackage,2023-04-18 06:00:00,10
deliver_p-660009,PackageDelivered,2023-04-19 15:20:00,10
place_o-990011,PlaceOrder,2023-04-06 17:40:17,11
pick_i-880036,PickItem,2023-04-06 22:06:57,11
pick_i-880037,PickItem,2023-04-06 22:06:57,11
out_of_stock_i-880038,ItemOutOfStock,2023-04-07 07:33:37,11
reorder_i-880038,ReorderItem,2023-04-07 18:40:17,11
pick_i-880038,PickItem,2023-04-07 22:00:17,11
confirm_o-990011,ConfirmOrder,2023-04-08 04:23:37,11
pay_o-990011,PayOrder,2023-04-08 18:16:57,11
create_p-660010,CreatePackage,2023-04-19 09:53:28,11
send_p-660010,SendPackage,2023-04-19 14:53:28,11
deliver_p-660010,PackageDelivered,2023-04-21 00:13:28,11
place_o-990012,PlaceOrder,2023-04-07 08:53:28,12
pick_i-880041,PickItem,2023-04-07 11:06:48,12
pick_i-880045,PickItem,2023-04-07 11:06:48,12
pick_i-880039,PickItem,2023-04-07 13:20:08,12
pick_i-880043,PickItem,2023-04-07 13:20:08,12
out_of_stock_i-880044,ItemOutOfStock,2023-04-07 15:50:08,12
reorder_i-880044,ReorderItem,2023-04-07 21:23:28,12
out_of_stock_i-880040,ItemOutOfStock,2023-04-07 22:46:48,12
out_of_stock_i-880042,ItemOutOfStock,2023-04-07 22:46:48,12
pick_i-880044,PickItem,2023-04-08 00:43:28,12
reorder_i-880040,ReorderItem,2023-04-08 15:26:48,12
reorder_i-880042,ReorderItem,2023-04-08 15:26:48,12
confirm_o-990012,ConfirmOrder,2023-04-08 19:36:48,12
pick_i-880040,PickItem,2023-04-09 01:26:48,12
pick_i-880042,PickItem,2023-04-09 01:26:48,12
pay_o-990012,PayOrder,2023-04-09 09:30:08,12
create_p-660006,CreatePackage,2023-04-12 08:23:51,12
send_p-660006,SendPackage,2023-04-12 13:23:51,12
deliver_p-660006,PackageDelivered,2023-04-13 22:43:51,12
place_o-990013,PlaceOrder,2023-04-07 14:10:31,13
pick_i-880047,PickItem,2023-04-07 16:23:51,13
pick_i-880048,PickItem,2023-04-07 16:23:51,13
pick_i-880046,PickItem,2023-04-07 18:37:11,13
pick_i-880049,PickItem,2023-04-07 18:37:11,13
confirm_o-990013,ConfirmOrder,2023-04-09 00:53:51,13
pay_o-990013,PayOrder,2023-04-09 14:47:11,13
create_p-660008,CreatePackage,2023-04-14 22:35:00,13
send_p-660008,SendPackage,2023-04-15 03:35:00,13
fail_p-660008_3,FailedDelivery,2023-04-16 21:15:00,13
deliver_p-660008,PackageDelivered,2023-04-18 14:55:00,13
place_o-990014,PlaceOrder,2023-04-07 18:41:21,14
pick_i-880051,PickItem,2023-04-07 20:54:41,14
out_of_stock_i-880050,ItemOutOfStock,2023-04-08 08:34:41,14
out_of_stock_i-880052,ItemOutOfStock,2023-04-08 08:34:41,14
reorder_i-880050,ReorderItem,2023-04-08 19:41:21,14
reorder_i-880052,ReorderItem,2023-04-09 01:14:41,14
confirm_o-990014,ConfirmOrder,2023-04-09 05:24:41,14
pick_i-880050,PickItem,2023-04-09 05:41:21,14
pick_i-880052,PickItem,2023-04-09 11:14:41,14
pay_o-990014,PayOrder,2023-04-10 09:11:21,14
create_p-660011,CreatePackage,2023-04-20 11:09:42,14
send_p-660011,SendPackage,2023-04-20 16:09:42,14
deliver_p-660011,PackageDelivered,2023-04-22 01:29:42,14
place_o-990015,PlaceOrder,2023-04-09 14:15:59,15
pick_i-880053,PickItem,2023-04-09 16:29:19,15
pick_i-880057,PickItem,2023-04-09 16:29:19,15
pick_i-880054,PickItem,2023-04-09 18:42:39,15
pick_i-880055,PickItem,2023-04-09 18:42:39,15
out_of_stock_i-880056,ItemOutOfStock,2023-04-09 21:12:39,15
reorder_i-880056,ReorderItem,2023-04-10 08:19:19,15
pick_i-880056,PickItem,2023-04-10 14:59:19,15
confirm_o-990015,ConfirmOrder,2023-04-11 00:59:19,15
pay_o-990015,PayOrder,2023-04-11 14:52:39,15
create_p-660008,CreatePackage,2023-04-14 22:35:00,15
send_p-660008,SendPackage,2023-04-15 03:35:00,15
fail_p-660008_3,FailedDelivery,2023-04-16 21:15:00,15
deliver_p-660008,PackageDelivered,2023-04-18 14:55:00,15
place_o-990016,PlaceOrder,2023-04-10 11:37:17,16
pick_i-880058,PickItem,2023-04-10 13:50:37,16
pick_i-880059,PickItem,2023-04-10 13:50:37,16
pick_i-880060,PickItem,2023-04-10 13:50:37,16
pick_i-880061,PickItem,2023-04-10 13:50:37,16
pick_i-880062,PickItem,2023-04-10 13:50:37,16
confirm_o-990016,ConfirmOrder,2023-04-11 22:20:37,16
pay_o-990016,PayOrder,2023-04-12 12:13:57,16
create_p-660009,CreatePackage,2023-04-18 01:00:00,16
send_p-660009,SendPackage,2023-04-18 06:00:00,16
deliver_p-660009,PackageDelivered,2023-04-19 15:20:00,16
place_o-990017,PlaceOrder,2023-04-10 16:34:53,17
pick_i-880064,PickItem,2023-04-10 18:48:13,17
out_of_stock_i-880063,ItemOutOfStock,2023-04-10 23:31:33,17
reorder_i-880063,ReorderItem,2023-04-11 05:04:53,17
pick_i-880063,PickItem,2023-04-11 11:44:53,17
confirm_o-990017,ConfirmOrder,2023-04-12 03:18:13,17
pay_o-990017,PayOrder,2023-04-13 07:04:53,17
create_p-660012,CreatePackage,2023-04-20 18:31:55,17
send_p-660012,SendPackage,2023-04-20 23:31:55,17
deliver_p-660012,PackageDelivered,2023-04-22 08:51:55,17
place_o-990018,PlaceOrder,2023-04-10 23:25:17,18
pick_i-880065,PickItem,2023-04-11 01:38:37,18
pick_i-880067,PickItem,2023-04-11 01:38:37,18
pick_i-880068,PickItem,2023-04-11 01:38:37,18
