ocel_id;ocel_type
Silo45;Silo
Silo19;Silo
Silo39;Silo
Silo12;Silo
Silo48;Silo
Silo43;Silo
tr44;Truck
tr32;Truck
Cr1136;Cargo
Silo9;Silo
tr46;Truck
tr87;Truck
Cr19;Cargo
Cr154;Cargo
Silo40;Silo
Cr672;Cargo
tr74;Truck
Silo28;Silo
tr52;Truck
Silo25;Silo
tr71;Truck
Silo8;Silo
tr86;Truck
tr69;Truck
Silo1;Silo
Cr1522;Cargo
Silo47;Silo
tr14;Truck
Cr427;Cargo
Cr175;Cargo
Silo6;Silo
tr1;Truck
Cr1197;Cargo
Cr1331;Cargo
Cr698;Cargo
Silo2;Silo
Silo35;Silo
tr19;Truck
Cr1749;Cargo
Silo44;Silo
Cr1963;Cargo
Cr1246;Cargo
tr8;Truck
tr27;Truck
Cr1944;Cargo
Cr1495;Cargo
tr54;Truck
Cr1725;Cargo
Silo33;Silo
tr48;Truck
Cr1657;Cargo
Cr686;Cargo
Cr1007;Cargo
Silo29;Silo
tr34;Truck
Silo36;Silo
Silo37;Silo
tr43;Truck
Silo34;Silo
tr42;Truck
Silo23;Silo
Silo21;Silo
Silo26;Silo
Silo13;Silo
Silo42;Silo
Silo4;Silo
tr98;Truck
Cr364;Cargo
Silo27;Silo
tr9;Truck
Silo24;Silo
Cr1320;Cargo
Silo3;Silo
Cr454;Cargo
Silo14;Silo
tr57;Truck
tr17;Truck
Cr228;Cargo
Cr300;Cargo
tr24;Truck
Silo31;Silo
Cr316;Cargo
tr51;Truck
Silo18;Silo
Cr1824;Cargo
Cr1703;Cargo
tr64;Truck
Silo11;Silo
Cr1720;Cargo
Cr1363;Cargo
tr30;Truck
Cr1738;Cargo
Silo46;Silo
Silo17;Silo
tr21;Truck
tr53;Truck
Cr1016;Cargo
Silo32;Silo
tr7;Truck
tr80;Truck
tr25;Truck
tr15;Truck
Cr655;Cargo
tr68;Truck
tr6;Truck
Cr1961;Cargo
Cr1304;Cargo
tr97;Truck
tr100;Truck
Silo15;Silo
Cr1864;Cargo
tr65;Truck
Silo49;Silo
Cr418;Cargo
tr81;Truck
Cr953;Cargo
tr22;Truck
Cr414;Cargo
tr38;Truck
Cr1670;Cargo
tr61;Truck
tr90;Truck
tr85;Truck
Silo16;Silo
Silo30;Silo
tr47;Truck
tr41;Truck
Cr213;Cargo
tr75;Truck
Cr1780;Cargo
Cr944;Cargo
Silo41;Silo
Silo38;Silo
Silo7;Silo
Cr1641;Cargo
tr83;Truck
tr29;Truck
tr72;Truck
Cr579;Cargo
tr20;Truck
tr82;Truck
Cr458;Cargo
Cr255;Cargo
Silo5;Silo
Silo22;Silo
Silo20;Silo
Cr428;Cargo
tr58;Truck
Cr1744;Cargo
Silo50;Silo
Cr567;Cargo
Cr1594;Cargo
Cr1528;Cargo
Cr1236;Cargo
Cr6;Cargo
Cr929;Cargo
Silo10;Silo
tr12;Truck
Cr608;Cargo
tr10;Truck
tr16;Truck
tr93;Truck
Cr635;Cargo
Cr145;Cargo
Cr1526;Cargo
Cr1604;Cargo
Cr1155;Cargo
Cr36;Cargo
tr37;Truck
tr77;Truck
tr23;Truck
tr96;Truck
Cr1290;Cargo
tr59;Truck
tr50;Truck
Cr1026;Cargo
tr95;Truck
Cr542;Cargo
tr55;Truck
tr45;Truck
tr67;Truck
Cr320;Cargo
tr31;Truck
Cr1420;Cargo
tr49;Truck
tr35;Truck
Cr771;Cargo
tr56;Truck
Cr1129;Cargo
Cr468;Cargo
Cr227;Cargo
tr70;Truck
tr18;Truck
tr26;Truck
Cr1511;Cargo
tr28;Truck
tr33;Truck
tr62;Truck
Cr1791;Cargo
tr92;Truck
tr63;Truck
Cr587;Cargo
tr78;Truck
tr13;Truck
Cr360;Cargo
tr66;Truck
tr88;Truck
tr89;Truck
tr40;Truck
Cr127;Cargo
Cr1888;Cargo
Cr1723;Cargo
tr84;Truck
tr2;Truck
tr76;Truck
Cr1757;Cargo
Cr1257;Cargo
tr73;Truck
Cr1485;Cargo
tr5;Truck
Cr155;Cargo
Cr1843;Cargo
tr94;Truck
Cr1286;Cargo
Cr1298;Cargo
tr99;Truck
tr79;Truck
Cr523;Cargo
tr4;Truck
Cr1785;Cargo
tr11;Truck
tr91;Truck
tr39;Truck
tr3;Truck
Cr1967;Cargo
tr36;Truck
tr60;Truck
Cr1856;Cargo
Cr505;Cargo
Cr1556;Cargo
Cr187;Cargo
Cr1470;Cargo
Cr307;Cargo
Cr1233;Cargo
Cr321;Cargo
Cr1145;Cargo
Cr1729;Cargo
Cr1334;Cargo
Cr110;Cargo
Cr748;Cargo
Cr1600;Cargo
Cr1431;Cargo
Cr177;Cargo
Cr904;Cargo
Cr858;Cargo
Cr682;Cargo
Cr1370;Cargo
Cr1463;Cargo
Cr1636;Cargo
Cr788;Cargo
Cr49;Cargo
Cr358;Cargo
Cr1328;Cargo
Cr1842;Cargo
Cr1740;Cargo
Cr1666;Cargo
Cr1070;Cargo
Cr1986;Cargo
Cr30;Cargo
Cr379;Cargo
Cr1364;Cargo
Cr1743;Cargo
Cr1281;Cargo
Cr179;Cargo
Cr1621;Cargo
Cr409;Cargo
Cr832;Cargo
Cr1726;Cargo
Cr1867;Cargo
Cr1415;Cargo
Cr287;Cargo
Cr1598;Cargo
Cr23;Cargo
Cr846;Cargo
Cr384;Cargo
Cr1956;Cargo
Cr368;Cargo
Cr1890;Cargo
Cr1380;Cargo
Cr1895;Cargo
Cr903;Cargo
Cr1081;Cargo
Cr1910;Cargo
Cr819;Cargo
Cr1111;Cargo
Cr93;Cargo
Cr1762;Cargo
Cr1570;Cargo
Cr633;Cargo
Cr1881;Cargo
Cr1296;Cargo
Cr1951;Cargo
Cr899;Cargo
Cr1943;Cargo
Cr1702;Cargo
Cr1220;Cargo
Cr1097;Cargo
Cr1032;Cargo
Cr463;Cargo
Cr1975;Cargo
Cr798;Cargo
Cr664;Cargo
Cr1788;Cargo
Cr215;Cargo
Cr1736;Cargo
Cr355;Cargo
Cr1342;Cargo
Cr180;Cargo
Cr1852;Cargo
Cr101;Cargo
Cr504;Cargo
Cr373;Cargo
Cr457;Cargo
Cr125;Cargo
Cr144;Cargo
Cr208;Cargo
Cr921;Cargo
Cr1330;Cargo
Cr424;Cargo
Cr811;Cargo
Cr1322;Cargo
Cr1755;Cargo
Cr763;Cargo
Cr2000;Cargo
Cr1260;Cargo
Cr391;Cargo
Cr1845;Cargo
Cr1278;Cargo
Cr550;Cargo
Cr111;Cargo
