ocel_id;ocel_type
fl3;Forklift
fl9;Forklift
tr1;Truck
fl7;Forklift
fl4;Forklift
fl8;Forklift
fl1;Forklift
fl5;Forklift
fl2;Forklift
fl6;Forklift
co1;Customer Order
co2;Customer Order
td1;Transport Document
hu4;Handling Unit
cr3;Container
hu2;Handling Unit
hu6;Handling Unit
hu5;Handling Unit
hu1;Handling Unit
hu3;Handling Unit
cr4;Container
hu7;Handling Unit
cr2;Container
hu13;Handling Unit
hu8;Handling Unit
hu11;Handling Unit
hu12;Handling Unit
hu9;Handling Unit
hu10;Handling Unit
cr1;Container
hu14;Handling Unit
hu18;Handling Unit
hu15;Handling Unit
hu17;Handling Unit
hu19;Handling Unit
hu16;Handling Unit
td2;Transport Document
cr6;Container
hu23;Handling Unit
hu25;Handling Unit
hu22;Handling Unit
hu20;Handling Unit
hu24;Handling Unit
hu21;Handling Unit
cr7;Container
hu27;Handling Unit
hu31;Handling Unit
hu26;Handling Unit
hu30;Handling Unit
hu28;Handling Unit
hu29;Handling Unit
cr5;Container
hu32;Handling Unit
hu33;Handling Unit
hu37;Handling Unit
hu35;Handling Unit
hu34;Handling Unit
hu36;Handling Unit
cr8;Container
hu38;Handling Unit
hu39;Handling Unit
hu41;Handling Unit
hu43;Handling Unit
hu42;Handling Unit
hu40;Handling Unit
co3;Customer Order
cr9;Container
hu44;Handling Unit
hu45;Handling Unit
co4;Customer Order
td3;Transport Document
hu47;Handling Unit
cr13;Container
hu48;Handling Unit
hu51;Handling Unit
hu46;Handling Unit
hu49;Handling Unit
hu50;Handling Unit
hu52;Handling Unit
cr10;Container
hu53;Handling Unit
hu57;Handling Unit
hu56;Handling Unit
hu54;Handling Unit
hu55;Handling Unit
cr12;Container
hu62;Handling Unit
hu60;Handling Unit
hu59;Handling Unit
hu61;Handling Unit
hu58;Handling Unit
hu63;Handling Unit
hu65;Handling Unit
cr11;Container
hu69;Handling Unit
hu67;Handling Unit
hu66;Handling Unit
hu64;Handling Unit
hu68;Handling Unit
td4;Transport Document
cr15;Container
hu70;Handling Unit
hu75;Handling Unit
hu72;Handling Unit
hu74;Handling Unit
hu71;Handling Unit
hu73;Handling Unit
cr14;Container
hu81;Handling Unit
hu76;Handling Unit
hu79;Handling Unit
hu77;Handling Unit
hu78;Handling Unit
hu80;Handling Unit
co5;Customer Order
cr16;Container
hu82;Handling Unit
hu87;Handling Unit
hu85;Handling Unit
hu83;Handling Unit
hu86;Handling Unit
hu84;Handling Unit
cr17;Container
hu89;Handling Unit
hu88;Handling Unit
hu93;Handling Unit
hu92;Handling Unit
hu91;Handling Unit
hu90;Handling Unit
cr18;Container
hu97;Handling Unit
hu95;Handling Unit
hu99;Handling Unit
hu96;Handling Unit
hu98;Handling Unit
hu94;Handling Unit
co6;Customer Order
td5;Transport Document
cr20;Container
hu104;Handling Unit
hu105;Handling Unit
hu102;Handling Unit
hu103;Handling Unit
hu101;Handling Unit
hu100;Handling Unit
cr22;Container
hu106;Handling Unit
hu107;Handling Unit
cr19;Container
hu109;Handling Unit
hu110;Handling Unit
hu111;Handling Unit
hu113;Handling Unit
hu112;Handling Unit
hu108;Handling Unit
hu118;Handling Unit
cr21;Container
hu117;Handling Unit
td6;Transport Document
hu115;Handling Unit
hu114;Handling Unit
hu116;Handling Unit
hu119;Handling Unit
hu123;Handling Unit
cr27;Container
hu122;Handling Unit
hu120;Handling Unit
hu121;Handling Unit
cr25;Container
hu124;Handling Unit
hu127;Handling Unit
hu126;Handling Unit
co7;Customer Order
hu125;Handling Unit
hu128;Handling Unit
hu129;Handling Unit
hu130;Handling Unit
cr24;Container
hu133;Handling Unit
hu131;Handling Unit
hu132;Handling Unit
hu134;Handling Unit
hu135;Handling Unit
hu138;Handling Unit
cr26;Container
hu139;Handling Unit
hu141;Handling Unit
hu136;Handling Unit
hu137;Handling Unit
hu140;Handling Unit
hu144;Handling Unit
cr23;Container
hu142;Handling Unit
hu145;Handling Unit
hu146;Handling Unit
co8;Customer Order
hu147;Handling Unit
hu143;Handling Unit
td7;Transport Document
hu152;Handling Unit
cr31;Container
hu148;Handling Unit
hu151;Handling Unit
hu153;Handling Unit
hu149;Handling Unit
hu150;Handling Unit
td8;Transport Document
hu157;Handling Unit
cr30;Container
hu158;Handling Unit
hu156;Handling Unit
hu154;Handling Unit
hu159;Handling Unit
hu155;Handling Unit
cr32;Container
hu160;Handling Unit
hu161;Handling Unit
hu165;Handling Unit
cr29;Container
hu163;Handling Unit
hu164;Handling Unit
hu166;Handling Unit
hu162;Handling Unit
hu167;Handling Unit
cr34;Container
hu170;Handling Unit
hu172;Handling Unit
hu171;Handling Unit
hu169;Handling Unit
hu168;Handling Unit
hu173;Handling Unit
co9;Customer Order
hu178;Handling Unit
cr36;Container
hu174;Handling Unit
hu175;Handling Unit
hu176;Handling Unit
hu177;Handling Unit
hu179;Handling Unit
hu182;Handling Unit
cr33;Container
hu181;Handling Unit
hu184;Handling Unit
hu185;Handling Unit
hu180;Handling Unit
hu183;Handling Unit
cr37;Container
hu187;Handling Unit
hu186;Handling Unit
hu188;Handling Unit
hu191;Handling Unit
cr35;Container
hu193;Handling Unit
hu189;Handling Unit
hu192;Handling Unit
hu190;Handling Unit
hu194;Handling Unit
td9;Transport Document
hu198;Handling Unit
cr28;Container
hu199;Handling Unit
hu196;Handling Unit
hu200;Handling Unit
hu195;Handling Unit
hu197;Handling Unit
hu206;Handling Unit
cr39;Container
hu204;Handling Unit
hu205;Handling Unit
hu202;Handling Unit
hu203;Handling Unit
hu201;Handling Unit
hu212;Handling Unit
cr40;Container
hu210;Handling Unit
hu207;Handling Unit
hu209;Handling Unit
hu211;Handling Unit
hu208;Handling Unit
hu214;Handling Unit
cr42;Container
hu216;Handling Unit
hu215;Handling Unit
hu213;Handling Unit
cr41;Container
hu220;Handling Unit
hu222;Handling Unit
hu217;Handling Unit
hu221;Handling Unit
hu219;Handling Unit
hu218;Handling Unit
hu224;Handling Unit
cr38;Container
hu228;Handling Unit
hu227;Handling Unit
hu226;Handling Unit
hu223;Handling Unit
hu225;Handling Unit
co10;Customer Order
co11;Customer Order
td10;Transport Document
hu232;Handling Unit
cr43;Container
hu230;Handling Unit
hu234;Handling Unit
hu229;Handling Unit
hu231;Handling Unit
hu233;Handling Unit
cr44;Container
hu236;Handling Unit
td11;Transport Document
hu240;Handling Unit
hu238;Handling Unit
hu239;Handling Unit
hu237;Handling Unit
hu235;Handling Unit
hu246;Handling Unit
cr45;Container
hu245;Handling Unit
hu241;Handling Unit
hu243;Handling Unit
hu242;Handling Unit
hu244;Handling Unit
vh1;Vehicle
hu249;Handling Unit
cr48;Container
co12;Customer Order
hu250;Handling Unit
hu248;Handling Unit
hu247;Handling Unit
hu252;Handling Unit
cr47;Container
hu251;Handling Unit
hu256;Handling Unit
hu254;Handling Unit
hu253;Handling Unit
hu255;Handling Unit
hu258;Handling Unit
cr46;Container
hu261;Handling Unit
co13;Customer Order
hu259;Handling Unit
hu262;Handling Unit
hu257;Handling Unit
hu260;Handling Unit
td12;Transport Document
hu265;Handling Unit
cr51;Container
hu268;Handling Unit
hu264;Handling Unit
hu266;Handling Unit
hu267;Handling Unit
hu263;Handling Unit
td13;Transport Document
hu271;Handling Unit
cr52;Container
hu274;Handling Unit
hu270;Handling Unit
hu273;Handling Unit
hu269;Handling Unit
hu272;Handling Unit
cr55;Container
hu280;Handling Unit
hu279;Handling Unit
hu275;Handling Unit
hu278;Handling Unit
hu276;Handling Unit
hu277;Handling Unit
co14;Customer Order
hu283;Handling Unit
cr54;Container
hu284;Handling Unit
hu282;Handling Unit
hu286;Handling Unit
hu285;Handling Unit
