ocel_id;ocel_type
place_o-990001;place order
place_o-990002;place order
place_o-990003;place order
place_o-990004;place order
place_o-990005;place order
confirm_o-990001;confirm order
confirm_o-990002;confirm order
pick_i-880008;pick item
pick_i-880006;pick item
pick_i-880004;pick item
pick_i-880003;pick item
pick_i-880012;pick item
pick_i-880005;pick item
pick_i-880014;pick item
pick_i-880013;pick item
pick_i-880002;pick item
pick_i-880007;pick item
pick_i-880010;pick item
pick_i-880011;pick item
pick_i-880001;pick item
place_o-990006;place order
confirm_o-990003;confirm order
pick_i-880016;pick item
pick_i-880017;pick item
out_of_stock_i-880009;item out of stock
place_o-990007;place order
out_of_stock_i-880015;item out of stock
reminder_o-990001_1;payment reminder
reminder_o-990002_2;payment reminder
pick_i-880019;pick item
pick_i-880018;pick item
place_o-990008;place order
pick_i-880022;pick item
pick_i-880021;pick item
pick_i-880020;pick item
pick_i-880024;pick item
pick_i-880025;pick item
reorder_i-880009;reorder item
confirm_o-990004;confirm order
pay_o-990003;pay order
confirm_o-990005;confirm order
reorder_i-880015;reorder item
out_of_stock_i-880023;item out of stock
pick_i-880009;pick item
pick_i-880015;pick item
place_o-990009;place order
reorder_i-880023;reorder item
pick_i-880026;pick item
pick_i-880028;pick item
pick_i-880027;pick item
place_o-990010;place order
pay_o-990001;pay order
pick_i-880030;pick item
pick_i-880031;pick item
place_o-990011;place order
pick_i-880023;pick item
pick_i-880032;pick item
out_of_stock_i-880029;item out of stock
confirm_o-990006;confirm order
pick_i-880035;pick item
confirm_o-990007;confirm order
pick_i-880033;pick item
pick_i-880034;pick item
pay_o-990004;pay order
confirm_o-990008;confirm order
pay_o-990005;pay order
reorder_i-880029;reorder item
place_o-990012;place order
pick_i-880036;pick item
place_o-990013;place order
pick_i-880037;pick item
pick_i-880038;pick item
pick_i-880041;pick item
pick_i-880029;pick item
place_o-990014;place order
pay_o-990002;pay order
pick_i-880050;pick item
pick_i-880040;pick item
pick_i-880047;pick item
pick_i-880042;pick item
pick_i-880045;pick item
confirm_o-990009;confirm order
out_of_stock_i-880044;item out of stock
confirm_o-990010;confirm order
create_p-660001;create package
