ocel_id;ocel_type
reg_co1;Register Customer Order
reg_co2;Register Customer Order
create_td1;Create Transport Document
book_vehs_td1;Book Vehicles
order_crs_td1;Order Empty Containers
pick_cr4;Pick Up Empty Container
collect_hu6;Collect Goods
collect_hu2;Collect Goods
load_truck_hu6;Load Truck
collect_hu5;Collect Goods
load_truck_hu2;Load Truck
collect_hu1;Collect Goods
load_truck_hu5;Load Truck
collect_hu4;Collect Goods
load_truck_hu1;Load Truck
collect_hu3;Collect Goods
load_truck_hu4;Load Truck
load_truck_hu3;Load Truck
drive_term_cr4;Drive to Terminal
collect_hu8;Collect Goods
pick_cr2;Pick Up Empty Container
weigh_cr4;Weigh
collect_hu11;Collect Goods
load_truck_hu8;Load Truck
stock_cr4;Place in Stock
collect_hu7;Collect Goods
load_truck_hu11;Load Truck
collect_hu10;Collect Goods
load_truck_hu7;Load Truck
collect_hu9;Collect Goods
load_truck_hu10;Load Truck
collect_hu12;Collect Goods
load_truck_hu9;Load Truck
load_truck_hu12;Load Truck
drive_term_cr2;Drive to Terminal
pick_cr3;Pick Up Empty Container
collect_hu18;Collect Goods
weigh_cr2;Weigh
collect_hu16;Collect Goods
load_truck_hu18;Load Truck
stock_cr2;Place in Stock
collect_hu17;Collect Goods
load_truck_hu16;Load Truck
collect_hu13;Collect Goods
load_truck_hu17;Load Truck
collect_hu14;Collect Goods
load_truck_hu13;Load Truck
collect_hu15;Collect Goods
load_truck_hu14;Load Truck
load_truck_hu15;Load Truck
drive_term_cr3;Drive to Terminal
collect_hu19;Collect Goods
pick_cr5;Pick Up Empty Container
weigh_cr3;Weigh
load_truck_hu19;Load Truck
stock_cr3;Place in Stock
drive_term_cr5;Drive to Terminal
collect_hu21;Collect Goods
pick_cr1;Pick Up Empty Container
weigh_cr5;Weigh
load_truck_hu21;Load Truck
collect_hu23;Collect Goods
stock_cr5;Place in Stock
collect_hu20;Collect Goods
load_truck_hu23;Load Truck
collect_hu24;Collect Goods
load_truck_hu20;Load Truck
collect_hu25;Collect Goods
load_truck_hu24;Load Truck
collect_hu22;Collect Goods
load_truck_hu25;Load Truck
load_truck_hu22;Load Truck
drive_term_cr1;Drive to Terminal
weigh_cr1;Weigh
stock_cr1;Place in Stock
create_td2;Create Transport Document
book_vehs_td2;Book Vehicles
order_crs_td2;Order Empty Containers
pick_cr7;Pick Up Empty Container
collect_hu30;Collect Goods
collect_hu29;Collect Goods
load_truck_hu30;Load Truck
collect_hu26;Collect Goods
load_truck_hu29;Load Truck
collect_hu28;Collect Goods
load_truck_hu26;Load Truck
collect_hu27;Collect Goods
load_truck_hu28;Load Truck
collect_hu31;Collect Goods
load_truck_hu27;Load Truck
load_truck_hu31;Load Truck
drive_term_cr7;Drive to Terminal
collect_hu32;Collect Goods
pick_cr10;Pick Up Empty Container
weigh_cr7;Weigh
load_truck_hu32;Load Truck
collect_hu35;Collect Goods
stock_cr7;Place in Stock
collect_hu34;Collect Goods
load_truck_hu35;Load Truck
collect_hu36;Collect Goods
load_truck_hu34;Load Truck
collect_hu33;Collect Goods
load_truck_hu36;Load Truck
load_truck_hu33;Load Truck
drive_term_cr10;Drive to Terminal
pick_cr6;Pick Up Empty Container
collect_hu42;Collect Goods
weigh_cr10;Weigh
collect_hu40;Collect Goods
load_truck_hu42;Load Truck
stock_cr10;Place in Stock
collect_hu41;Collect Goods
load_truck_hu40;Load Truck
collect_hu37;Collect Goods
load_truck_hu41;Load Truck
collect_hu39;Collect Goods
load_truck_hu37;Load Truck
collect_hu38;Collect Goods
load_truck_hu39;Load Truck
load_truck_hu38;Load Truck
drive_term_cr6;Drive to Terminal
pick_cr9;Pick Up Empty Container
collect_hu47;Collect Goods
weigh_cr6;Weigh
collect_hu46;Collect Goods
load_truck_hu47;Load Truck
stock_cr6;Place in Stock
collect_hu44;Collect Goods
load_truck_hu46;Load Truck
collect_hu45;Collect Goods
load_truck_hu44;Load Truck
collect_hu43;Collect Goods
load_truck_hu45;Load Truck
collect_hu48;Collect Goods
load_truck_hu43;Load Truck
load_truck_hu48;Load Truck
drive_term_cr9;Drive to Terminal
pick_cr8;Pick Up Empty Container
collect_hu53;Collect Goods
weigh_cr9;Weigh
load_truck_hu53;Load Truck
collect_hu50;Collect Goods
reg_co3;Register Customer Order
stock_cr9;Place in Stock
collect_hu54;Collect Goods
load_truck_hu50;Load Truck
collect_hu51;Collect Goods
